	accession	url	title	projectDescription	species	tissues	ptms	instrumentNames	projectTags	experimentTypes	quantificationMethods	keywords	dataProcessingProtocol	submissionDate	references
262	PXD001861	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001861	platelet hyperreactivity project	The aim of this study is to identify candidate genes modulating platelet reactivity in aspirin-treated cardiovascular patients using an integrative network-based approach. Platelet reactivity was assessed in 110 cardiovascular patients treated with aspirin 100mg/d by aggregometry using several agonists. Patients with extreme high or low PR were selected for further analysis. Data derived from quantitative proteomic of platelets and platelet sub-cellular fractions, as well as from transcriptomic analysis were integrated with a network biology approach.	"[""Homo sapiens (Human)""]"		"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""LTQ Orbitrap Velos""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"	"[""TMT""]"	Platelets, secretory granules, releasate, cardiovascular patients, network biology, aspirin, high platelet reactivity	Peak lists were generated from raw data using the embedded software from the instrument vendor (extract_MSN.exe). After peak list generation, the CID and HCD spectra were merged for simultaneous identification and quantification (http://www.expasy.org/tools/HCD_CID_merger.html). The monoisotopic masses of the selected precursor ions were corrected using an in-house written Perl script. The corrected mgf files, combined from the analyzed off-gel fractions, were searched against UniProt database (2011_02 of 08-Feb-2011) using EasyProt. Homo Sapiens taxonomy was specified for database searching. The parent ion tolerance was set to 20 ppm. Variable amino acid modifications were oxidized methionine. Trypsin was selected as the enzyme, with two potential missed cleavages, and the normal cleavage mode was used. Only one search round was used with selection of “turbo” scoring. The peptide p value was 1 E-2 for LTQ-OT data. False-positive ratios were estimated using a reverse decoy database. All datasets where searched once in the forward and once in the reverse database. Separate searches were used to keep the database size constant. Protein and peptide score were then set up to maintain the false positive peptide ratio below 1%. Briefly, intensities of reporter tags of the peptides were corrected in term of isotopic distribution of each tag and normalized according to the total signal of each tag to correct any difference in the amount of each tagged sample. Finally, relative intensity of each reporter was calculated by dividing it by each peptide tags sum. Indeed, the different peptides of a single protein show variable intensities depending on the physic-chemical properties. This normalization allows thus making comparable all the peptides of a given protein each other. Peptides matching more than one protein were removed prior to the quantitative analysis	2015-03-03	"[[""DOI:null"",""PMID:26883867""]]"
264	PXD006574	https://www.ebi.ac.uk/pride/ws/archive/project/PXD006574	An Evaluation of the Crystal Structure of C-terminal Truncated Apolipoprotein A-I in Solution Reveals Structural Dynamics Related to Lipid Binding	Apolipoprotein (apo)A-I mediates many of the anti-atherogenic functions attributed to high density lipoprotein (HDL). Unfortunately, efforts toward a high-resolution structure of full-length apoA-I have not been fruitful, though there have been successes with deletion mutants. Recently, a C-terminal truncation (apoA-IΔ185-243) was crystallized as a dimer. The structure showed two helical bundles connected by a long, curved pair of swapped helical domains. To compare this structure to that existing under solution conditions, we applied small angle X-ray scattering and isotope-assisted chemical cross-linking to apoA-IΔ185-243 in its dimeric and monomeric forms. For the dimer, we found evidence for the shared domains and aspects of the N-terminal bundles, but not the molecular curvature seen in the crystal. We also found that the N-terminal bundles equilibrate between open and closed states. Interestingly, this movement is one of the transitions proposed during lipid binding. The monomer was consistent with a model in which the long shared helix doubles back onto the helical bundle. Combined with the crystal structure, these data offer an important starting point to understand the molecular details of HDL biogenesis.	"[""Homo sapiens (Human)""]"		"[{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""TripleTOF 5600""]"	"[""Biological""]"	"[""Chemical cross-linking coupled with mass spectrometry proteomics""]"		apolipoprotein,structural model, structural biology, small-angle X-ray scattering (SAXS), mass spectrometry (MS), oligomerization	Mascot generic files were loaded into the SIM-XL search engine (18) for cross-linked peptides link version 1.1. Briefly, this latest version is optimized for characterizing interaction between homodimers by allowing the user to specify which proteins(s) in the sequence database have light (e.g., 14N) and heavy (e.g., 15N) versions. The carbamidomethylation of the cysteine and the BS3 cross-linker mass modification of 138.0681 at the N-terminus and lysine was considered as fixed. A tolerance of 20 ppm was accepted at the MS1 and MS2 levels. All initial identification of cross-linked peptides required a SIM-XL primary score greater than 1.5. As a single incorrect cross-link identification may lead to an erroneous model, a manual post-validation of the search engine results, at the MS/MS level, was independently performed by two experienced analysts.	2017-05-26	"[[""DOI:10.1074/jbc.M115.706093"",""PMID:26755744""]]"
265	PXD001418	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001418	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - nuclear proteins of inflammatory stimulated cells	Inflammation is a physiological process involved in many diseases. Monitoring proteins involved in regulatory effects may help to improve our understanding of inflammation. We have analyzed proteome alterations induced in peripheral blood mononuclear cells (PBMCs) upon inflammatory activation in great detail using high resolution mass spectrometry. Moreover, the activated cells were treated with dexamethasone to investigate their response to this antiphlogistic drug. From a total of 6886 identified proteins, 469 proteins were significantly regulated upon inflammatory activation. Most of these proteins were counter-regulated by dexamethasone, with some exceptions concerning members of the interferon-induced protein family. To confirm some of these results, we performed targeted MRM analyses of selected peptides. The inflammation-induced up-regulation of proteins such as IL-1beta, IL-6, CXCL2 and GROα was confirmed, however with strong quantitative inter-individual differences. Furthermore, the inability of dexamethasone to down-regulate inflammation-induced proteins such as PTX3 and TSG6 was clearly demonstrated. In conclusion, the relation of cell function as well as drug-induced modulation thereof was successfully mapped to proteomes, suggesting targeted analysis as a novel and powerful drug evaluation method. While most consequences of dexamethasone were found compatible with the expected way of action, some unexpected but significant observations may relate with adverse effects.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Adverse drug effects, cell biology, drug effects, inflammatory response, mass spectrometry, PBMCs, proteomics, secretome	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification and qualitative data analysis. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	2014-10-20	"[[""DOI:null"",""PMID:25347463""]]"
266	PXD006576	https://www.ebi.ac.uk/pride/ws/archive/project/PXD006576	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of young B cells	Chronic lymphocytic leukemia (CLL), the most common type of leukemia in adults, is still incurable despite the development of novel therapeutic strategies. This reflects the incomplete understanding of the pathophysiology of this disease. In order to get more detailed insights into CLL development, we performed a comprehensive proteome analysis of primary human CLL cells and B cells from young and age-matched healthy individuals. For comparison, we also analyzed the chronic B cell leukemia cell line JVM-13 showing rather limited similarity to the primary cells. A principal component analysis comprising 6945 proteins separated these four groups, placing B cells of aged-matched controls between those of young donors and CLL patients. Remarkably, B cells from aged controls displayed significant regulation of proteins related to metabolic processes and stress response in mitochondria such as DLAT, FIS1 and NDUFAB1 as well as DNA repair including RAD9A, MGMT and XPA. Interestingly, these alterations apparently correlating with aging of B cells may also be essential for tumorigenesis and were observed similarly in CLL cells. In CLL cells, in addition, some remarkable unique features like the loss of tumor suppressor molecules PNN and JARID2, and high expression of CCDC88A, PIGR and ID3 otherwise associated with epithelial mesenchymal transition and stemness were determined. Furthermore, while typical hallmarks of cancer such as cell proliferation were hardly apparent for CLL cells, alterations of metabolic enzymes were another outstanding feature in comparison to normal B cells, indicating increased beta-oxidation of fatty acids and increased consumption of glutamine. Targeted metabolomics assays corroborated these results. The present findings identify previously unrecognized features of CLL cells and suggest that aging may be accompanied by proteome alterations functionally relevant for predisposing B cells to transform to CLL cells.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""residues isobaric at 128.058578 Da"",""UNIMOD"":""188""}]"	"[""Q Exactive""]"	"[""Biological"",""Biomedical""]"	"[""Shotgun proteomics""]"		Chronic lymphocytic leukemia, primary human B lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, Q Exactive orbitrap	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification and qualitative data analysis. Protein identification was achieved searching against the SwissProt Database (version 11/2015 with 20 193 entries) allowing a mass tolerance of 50ppm for MS spectra and 100mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	2017-05-24	"[[""PMID:29196338"",""DOI:10.1074/mcp.ra117.000425""]]"
267	PXD004280	https://www.ebi.ac.uk/pride/ws/archive/project/PXD004280	Quantitative Secretome Analysis of Activated Jurkat Cells	A quantitative label-free secretome analysis protocol using a click chemistry-based approach for the enrichment of secreted glycoproteins was adapted for and applied to a T cell model. There, Jurkat cells were activated via PMA/ionomycin and the dynamic modulation of the T cell secretome was investigated and compared to the dynamic modulation of the T cell proteome of the same model.	"[""Homo sapiens (Human)""]"	"[""JURKAT cell""]"	"[{""ptm"":""L-histidine residue"",""UNIMOD"":""39#C""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Propionamide"",""UNIMOD"":""24""}]"	"[""Q Exactive""]"	"[""Biological""]"	"[""Shotgun proteomics""]"	"[""MS1 intensity based label-free quantification method""]"	Secretome, Jurkat, T cell model, quantitative label-free LC-MS/MS	The mass spectrometric measurements were perfomed on a Q-Exactive mass spectrometer (Thermo Fisher Scientific, Bremen, Germany) coupled online to an upstream connected Ultimate 3000 RSLCnano HPLC System (Dionex, Idstein, Germany. 350 ng of peptides were injected and pre-concentration of peptides was carried out on a trap column (Acclaim PepMap 100, 100 μm x 2 cm, C18, 5 μm, 100 Å) within 7 min at a flow rate of 30 μl/min with 0.1 % TFA. Peptides were then transferred onto an analytical column (Acclaim PepMap RSLC, 75 μm x 50 cm, nano Viper, C18, 2 μm, 100 Å). There, peptide separation was achieved with a gradient from 5-40 % solvent B over 98 min at 400 nl/min at 60 °C (solvent A: 0.1 % FA, solvent B: 0.1 % FA, 84 % acetonitrile). Acquisition of MS/MS spectra followed in a data-dependent mode. Full scan mass spectra in the Orbitrap analyzer were acquired in profile mode at a resolution of 70,000 at 400 m/z and within a mass range of 350-1400 m/z. The spray voltage was 1,600 V (+), and the capillary temperature was 250 °C. For MS/MS measurements the ten most abundant peptide ions (charge state + 2, + 3, + 4) were chosen and fragmented via higher-energy collisional dissociation (HCD) at a normalized collision energy of 27% and a fixed first mass at 130 m/z and measured in the orbitrap mass analyzer (m/z values initiating MS/MS were set on a dynamic exclusion list for 30 s, 35,000 resolution at 200 m/z).	2016-06-27	"[[""DOI:null"",""PMID:27696881""]]"
268	PXD002462	https://www.ebi.ac.uk/pride/ws/archive/project/PXD002462	Human Protein Tyrosine Phosphatase Interaction Network	As the remarkable prevalence of activated protein tyrosine kinases (TKs) as oncoproteins and their mutations being identified in numerous cancers, the control of protein tyrosine phosphorylation has been considered to play a central role in ensuring the homeostasis of cellular physiology and thus, preventing tumorigenesis. Protein tyrosine phosphatases (PTPs) can contribute to this equilibrium of protein tyrosine phosphorylation and thereby antagonize the oncogenic activities of tyrosine kinases, therefore, PTPs are prominently considered to act as tumor suppressors. To achieve a comprehensive understanding of the protein-protein interaction network for this PTP family, we isolated the ~ 70 PTP-associated protein complexes from HEK293T cells and provided a systematically proteomic analysis for this tumor suppressor family.	"[""Homo sapiens (Human)""]"	"[""HEK-293T cell""]"	"[{""ptm"":""L-methionine sulfoxide"",""UNIMOD"":""35#M""},{""ptm"":""iodoacetamide - site C""},{""ptm"":""S-carboxamidoethyl-L-cysteine"",""UNIMOD"":""24#C""}]"	"[""LTQ Velos""]"	"[""Biological"",""Biomedical""]"	"[""Affinity purification coupled with mass spectrometry proteomics"",""Shotgun proteomics""]"	"[""Spectrum counting""]"	Human, PTP, TAP-MS, HEK293T, LC-MSMS	Peptide sequences (and hence protein identity) were determined by matching protein databases with the acquired fragmentation pattern by the software program, SEQUEST (ver. 28). (ThermoFisher, San Jose, CA). Enzyme specificity was set to partially tryptic with 2 missed cleavages. Modifications included carboxyamidomethyl (cysteines, fixed) and oxidation (methionine, variable). Mass tolerance was set to 2.0 for precursor ions and 1.0 for fragment ions. The database searched was the Human IPI databases version 3.6. The number of entries in the database was 160,900 which included both the target (forward) and the decoy (reversed) human sequences. Spectral matches were filtered to contain less than 1% FDR at the peptide level based on the target-decoy method. Finally, only tryptic matches were reported and spectral matches were manually examined. When peptides matched to multiple proteins, the peptide was assigned so that only the most logical protein was included (Occam's razor). This same principle was used for isoforms when present in the database.	2015-07-01	"[[""DOI:null"",""PMID:27432908""]]"
269	PXD000445	https://www.ebi.ac.uk/pride/ws/archive/project/PXD000445	Proteomic profiling of colorectal adenomas	Colorectal adenomas are cancer precursor lesions of the large bowel. In these preinvasive lesions, a vast array of genomic and epigenomic changes have been detailed, but the consequence of these molecular alterations on the effectors of biological function (proteins) has not been comprehensively explored.	"[""Homo sapiens (Human)""]"	"[""colon""]"	"[{""ptm"":""iTRAQ8plex-116 reporter+balance reagent acylated residue""},{""ptm"":""iTRAQ8plex-114 reporter+balance reagent O4\u0026apos;-acylated tyrosine""},{""ptm"":""iTRAQ8plex-114 reporter+balance reagent acylated N-terminal""},{""ptm"":""iTRAQ8plex-114 reporter+balance reagent N6-acylated lysine""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""methylthiolated residue"",""UNIMOD"":""39""}]"	"[""LTQ Orbitrap Velos"",""instrument model""]"	"[""Highlighted"",""Biomedical""]"	"[""Bottom-up proteomics""]"		adenoma, proteomics, iTRAQ 8-plex	Non-redundant protein families (4325 in tissues, 2017 in cell lines) were identified and quantified across four orders of magnitude. Principal component analysis clearly distinguished adenomas from normal mucosal samples, and cancer cell lines from HCEC cells. Two hundred twelve (212) proteins displayed significant expression changes in adenomatous tissues in comparison with normal mucosa samples (q-value < 0.02, mean fold change vs. normal mucosa  +/-1.4). These proteomic data showed correlation (r=0.7) with transcriptomic data from our previous studies. One-fourth of these proteins (51) had similar expression changes in colorectal cancer cells (vs. HCEC cells) and were therefore confidently attributed to the epithelial component of adenomas. Although benign, adenomas already displayed cancer-associated proteomic changes since the vast majority (91%) of the 76 upregulated proteins in these lesions have been previously reported in cancer. Validation studies were performed on one of the most significantly upregulated proteins, sorbitol dehydrogenase (SORD), a key enzyme in the polyol pathway. SORD concentrations and activity were dramatically increased in adenomas and cancer cell lines, where important changes were also noted in the expression of other enzymes in the same (AKR1B1) and related (KHK) pathways. Dysregulation of the polyol pathway may represent a novel aspect/facet of the metabolome remodelling associated with tumorigenesis.	2014-04-03	"[[""DOI:null"",""PMID:24567419""]]"
270	PXD001271	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001271	HT-29 treated with mature fragilysin LC-MSMS	Fragilysin is a protein secreted by toxigenic Bacteroides fragilis strains. Fragilysin has  a motive HEXXHXXGXXH, which is a zinc-binding motif found in metalloproteinases clan   termed metzincins. In this study we obtained all three known recombinant fragilysin isoforms   in Escherichia coli and tested its activity. We detected no cleavage of gelatin and chromogenic   substrates (such as azocoll and azocasein) by all isoforms. We demonstrated that treatment of   HT-29 cells with fragilysins caused E-cadherin cleavage, nevertheless cleavage of recombinant   E-cadherins was not observe as well as E-cadherin in isolated cell fractions. It was shown that   the native structure of active site characteristic for metalloproteinases is necessary for fragilysin   biologic activity. We detected proteins that are released in cultural medium after HT-29 cells   treatment with fragilysin. These proteins are potential substrates for fragilysin.	"[""Homo sapiens (Human)""]"	"[""colon""]"	"[{""ptm"":""S-methyl-L-methionine"",""UNIMOD"":""213#N""},{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""}]"	"[""TripleTOF 5600""]"	"[""Biological""]"	"[""Shotgun proteomics""]"		HT-29, fragilysin, BFT	For protein identification we used the Mascot search engine v2.2.07 against Swiss-Prot sequence database. Before Mascot searches the raw LC/MS-MS datasets were converted to Mascot Generic Format using AB SCIEX MS Data Converter v1.3. The Mascot searches were conducted with the following parameters:tryptic digestion, the peptide mass tolerance of 10 ppm, fragment mass tolerance of 0.5 Da, variable modifications caused by Oxidation(M) and Carbomidimethylation(C), maximum one missed cleavages, the taxonomy was selected as Homosapiens.	2014-08-28	"[[""PMID:25998017"",""DOI:10.1016/j.micpath.2015.05.003""]]"
271	PXD000302	https://www.ebi.ac.uk/pride/ws/archive/project/PXD000302	Proteomic analysis of urine and stone matrix of patients with kidney calculi	Proteins have been extracted from kidney calculi with SDS buffer. Proteins were seperated by 1D-SDS-PAGE and stained with coomassie. Each gel lane was cut into 5 (or 6) pieces. Proteins were digested in gel with trypsin. Tryptic peptides were analysed by nanoLC-MS/MS on an ion trap instrument (6340 Ion Trap, Agilent) with CID. Peak lists were generated with Mascot Distiller, and database searching was performed with Mascot. The data from 5 (or 6) LC-MS/MS runs from one patient ware merged into one mgf file, which was searched against IPI (human) database.	"[""Homo sapiens (Human)""]"	"[""kidney"",""urine""]"	"[{""ptm"":""Glu-\u003epyro-Glu"",""UNIMOD"":""27""},{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""deaminated residue"",""UNIMOD"":""385""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""}]"	"[""instrument model""]"		"[""Bottom-up proteomics""]"		kidney stone, inflammation, fibrosis, biomarker	Mascot Distiller 2.1 was used for raw data processing and for generating peak lists, essentially with standard settings for the Agilent ion trap.  Mascot Server 2.2 was used for database searching with the following parameters: peptide mass tolerance: 1.1 Da, MS/MS mass tolerance: 0.3 Da, 13C: 1, enzyme: trypsin with max. 2 missed cleavage, variable modifications: Gln->pyroGlu (N-term. Q), oxidation (M) and carbamidomethyl (C).	2016-07-11	"[[""DOI:10.1016/j.cca.2013.11.036"",""PMID:24333391""]]"
273	PXD002047	https://www.ebi.ac.uk/pride/ws/archive/project/PXD002047	CPTAC proteomic analysis of TCGA colon and rectal carcinomas using standard and customized databases, part 7	The goal of the CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue is to analyze the proteomes of TCGA tumor samples that have been comprehensively characterized by molecular methods. Ninety-five TCGA tumor samples were used in this study.	"[""Homo sapiens (Human)""]"	"[""rectal cancer cell"",""colonic cancer cell""]"	"[{""ptm"":""Glu-\u003epyro-Glu"",""UNIMOD"":""27""},{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Gln-\u003epyro-Glu"",""UNIMOD"":""28""}]"	"[""LTQ Orbitrap Velos""]"	"[""Highlighted"",""CPTAC Consortium"",""Biomedical""]"	"[""Shotgun proteomics""]"		CPTAC CPTAC-TCGA_Colorectal_Cancer CPTAC-VU	Peptide identification employed the RefSeq Human protein sequence database using three different database search engines: myrimatch, pepitome and MS-GF+. Spectral identification files were converted to IDPicker SQLite databases (idpDB) using IDPicker 3. The resulting files were used for final protein assembly providing the minimal list of proteins that could explain the available peptides identified. Initially, spectrum-to-peptide match stringency was set at 0.1% FDR with a minimum of 2 distinct peptides identified per protein. The dataset was limited to the 7526 protein groups identified while spectral counts were increased by relaxing the spectrum-to-peptide match FDR to 1%. Assembly at the gene level resulted in the identification of 7211 gene groups for the full dataset. Variant peptide sequences were identified by separate database searches using data from RNA-seq of the individual carcinomas using the R package customProDB. A total of 796 single amino acid variants were identified.	2015-04-13	"[[""PMID:26110064"",""DOI:10.1038/sdata.2015.22""]]"
274	PXD008217	https://www.ebi.ac.uk/pride/ws/archive/project/PXD008217	Proteomic Evidence of Ancient Mongolian Dietary Dairy Sources in Ancient Dental Calculus	To investigate dairy consumption in ancient Mongolia, we analysed dental calculus samples from four Late Bronze Age (LBA, 1500-1000 BCE) individuals for proteomic evidence of milk proteins. As many archaeological sites before Mongolia's Iron Age suffer from a dearth of occupational materials, looking to biomolecular markers of dietary intake can open new investigational avenues into ancient economies. In this case, we use a previously established method of extracting proteins from calculus to explore the consumption of dairy products at LBA Khirigsuur sites in northern Mongolia's Hovsgol Aimag. Seven of nine individual's calculus contained peptides from the whey protein Beta-lactoglobulin from Ovis, Capra hircus, Bos, and general Bovidae species.  Aside from proteomics, these and 16 other individuals from the site were analysed for aDNA. We found that 18 of the 20 were primarily from one genetic ancestral group, and Ancient North Eurasian (ANE). One of the outliers represents a combination of ANE and Western Steppe Herder (WSH), with the other a combination of ANE and Eastern Asian (EE). This finding, while important in its own right, evidences the earliest known dairy consumption in Mongolia, and supports a widely held assumption that pastoralism was a primary subsistence strategy in the ancient Eastern Steppes. The combined proteomic and DNA evidence suggest that Western Steppe dairy animals and technology entered Mongolia before genetic admixture.	"[""Homo sapiens (Human)""]"	"[""dental plaque""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Gln-\u003epyro-Glu"",""UNIMOD"":""28""},{""ptm"":""Deamidated"",""UNIMOD"":""7""}]"	"[""Q Exactive""]"	"[""Biological""]"	"[""Shotgun proteomics""]"		Human, Dental Calculus, Dental Plaque, LC-MS/MS, Dairy	Raw spectral data from the MS/MS analysis was converted into Mascot generic format (mgf) using the MSConvert program using the 100 most intense peaks in each spectrum. These files were searched concurrently against two databases with included decoys: Swissprot and the Human Oral Microbiome Database. To avoid including unreliable results false discovery rates were adjusted to 5% and peptide hits were filtered to include only peptides with ion scores >59, as suggested by the Mascot search program (Matrix Science TM, version 2.5). Tryptic peptides were searched using the enzyme setting for Trypsin, with up to three missed cleavages allowed. Searches included carbamidomethylation set as a fixed modification. Deamidation of asparagine and glutamine (NQ), oxidation of methionine (M), and Oxidation of proline (P) were set as variable modifications. Additionally, peptide tolerance was set at 10 ppm, with an MS/MS ion tolerance of 0.01 Da. Using an in house data analysis tool, we only considered peptides with an E-value < 0.001. Peptide FDR was generally under 1%, and protein FDR was under 5% for each individual search. Peptides matching to dairy proteins were further investigated using BLAST (NCBI) to further confirm protein identifications.	2018-04-12	
276	PXD001359	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001359	Direct evidence of milk consumption from ancient human dental calculus, northern southwest Asia	This study investigated the consumption of milk products in the archaeological record, utilizing human dental calculus as a reservoir of dietary proteins from archaeological samples from across Eurasia. Protein extraction and generation of tryptic peptides from dental calculus was performed using a filter-aided sample preparation (FASP) protocol, modified for ancient samples, on 92 samples of archaeological dental calculus. Samples were extracted at three laboratories; the Functional Genomics Centre Zürich (FGCZ), the Centre for GeoGenetics at the National History Museum of Denmark, and BioArCh at the University of York. Sample extracts were sequenced (LC-MS/MS) using an LTQ-Orbitrap Velos (FGCZ), a Q-Exactive Hybrid Quadrupole Orbitrap and an LTQ-Orbitrap Elite (Central Proteomics Facility, Target Discovery Institute, Oxford).	"[""Homo sapiens (Human)""]"	"[""dental plaque""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Gln-\u003epyro-Glu"",""UNIMOD"":""28""}]"	"[""Q Exactive""]"	"[""Metaproteomics"",""Technical""]"	"[""Shotgun proteomics""]"		Human, Dental Calculus, Dental Plaque, LC-MS/MS, Beta-lactoglobulin	Raw MS/MS spectra were converted to searchable Mascot generic format using Proteowizard version 3.0.4743 using the 200 most intense peaks in each MS/MS spectrum. MS/MS ion database searching was performed on Mascot (Matrix ScienceTM, version 2.4.01), against all available sequences in UniProt and the Human Oral Microbiome Database (HOMD)34. Searches were performed against a decoy database to generate false discovery rates. Peptide tolerance was 10ppm, and with a semi-tryptic search with up to two missed cleavages. MS/MS ion tolerance was set to 0.07 Da. Based on previous observations of ancient proteome degradation, we set post-translational modifications were as carbamidomethylation (fixed modification) and acetyl (protein N-term), deamidated (NQ), glutamine to pyroglutamate, methionine oxidation and hydroxylation of proline (variable modifications). Mascot search results were filtered using an ion score cut-off of 25 and significance threshold of p<0.05. BLAST was used to verify matches to β-lactoglobulin, and taxonomic assignment is reported based on the consensus peptide assignments for each individual.	2014-09-24	"[[""DOI:10.1038/srep07104"",""PMID:25429530""]]"
277	PXD002089	https://www.ebi.ac.uk/pride/ws/archive/project/PXD002089	CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 10	The goal of the CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue is to analyze the proteomes of TCGA tumor samples that have been comprehensively characterized by molecular methods. Ninety-five TCGA tumor samples were used in this study.	"[""Homo sapiens (Human)""]"	"[""rectal cancer cell"",""colonic cancer cell""]"	"[{""ptm"":""Glu-\u003epyro-Glu"",""UNIMOD"":""27""},{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Gln-\u003epyro-Glu"",""UNIMOD"":""28""},{""ptm"":""Deamidated"",""UNIMOD"":""7""}]"	"[""LTQ Orbitrap Velos""]"	"[""Biomedical"",""CPTAC Consortium""]"	"[""Shotgun proteomics""]"		CPTAC CPTAC-TCGA_Colorectal_Cancer CPTAC-VU	Processed using the CPTAC Common Data Analysis Pipeline at NIST. Peptide identifications from MSGF+. Filtered at 1% FDR. See associated protocols and methods documents at https://cptac-data-portal.georgetown.edu.	2015-04-20	"[[""PMID:25043054"",""DOI:10.1038/nature13438""]]"
278	PXD000119	https://www.ebi.ac.uk/pride/ws/archive/project/PXD000119	Nano HPLC Chip Ion Trap MS/MS of human pancreatic cancer cells	Proteins extracted from Panc1 cells (untreated or treated with ACPA or GW), were analyzed by 2-DE. Modulated proteins were identified by nanoHPLC Chip Ion trap. Bioinformatics pipeline: Mascot search was applied using the MS/MS ion search of Mascot against human entries of the non-redundant NCBI database, with propionamide formation of cysteines as fixed modification and oxidized methionine, acetylated protein N terminus, and phosphorylation of serine, threonine, and tyrosine as variable modifications. Trypsin was specified as the proteolytic enzyme and one missed cleavage was allowed. The mass tolerance of the precursor and fragment ions was set to +- 0.9 Da.	"[""Homo sapiens (Human)""]"		"[{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""S-carboxamidoethyl-L-cysteine"",""UNIMOD"":""24#C""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""}]"	"[""instrument model""]"	"[""Biomedical""]"	"[""Bottom-up proteomics""]"		Human, Panc1 cells, LC MS/MS	Not available	2013-01-10	"[[""DOI:10.1002/elps.201200402"",""PMID:23463621""]]"
