accession	url	title	projectDescription	species	tissues	ptms	instrumentNames	projectTags	experimentTypes	quantificationMethods	keywords	dataProcessingProtocol	submissionDate	references
PXD003965	https://www.ebi.ac.uk/pride/ws/archive/project/PXD003965	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - secreted proteins of inflammatory stimulated cells	Fibroblasts have only recently been identified as important effector cells in inflammation. In this study, human dermal fibroblasts were inflammatory stimulated with interleukin-1beta and comprehensively analysed with respect to proteins, eicosanoids and metabolites. For eicosadomics, we have established a data-dependent shotgun analysis method capable of identifying inflammation-regulated lipids of yet unknown function. Several classical inflammatory agonists were found induced, including PGA2, PGB2, PGE2 and TXB2, but also modulators such as PGA3 and PGE3, while 8-HETE and several HODE family members remained unaffected. Using targeted metabolomics, several acylcarnithins, phosphatitylcholins and sphingomyelins were found significantly downregulated. Proteome profiling with orbitrap-MS demonstrated the strong induction of several chemokines, metalloproteinases and other effector molecules. Treatment of stimulated fibroblasts with dexamethasone almost completely abrogated the formation of all inflammation-induced eicosanoids and restored levels of acylcarnithins back to normal. As expected, the secretion of IL-6, MMP1, MMP3, CXCL2 and CXCL3 was strongly down-regulated. However, instead of counter-regulating, dexamethasone further enhanced consequences of inflammatory stimulation with respect to CXCL1, CXCL6, complement C3 as well as sphingomyelins. Shotgun secretome data were confirmed by targeted analysis with triple-quadrupol-MS. These molecules have been described to be involved in chronic inflammation. In peripheral blood mononuclear cells, actually dexamethasone successfully downregulated the formation of all detectable inflammation mediators. The present data suggest that successful pharmacological abrogation of the formation of lipid inflammatory mediators in fibroblasts may not suffice to suppress the release of several other powerful inflammatory mediators which we thus understand to be capable of establishing chronic inflammation states.	"[""Homo sapiens (Human)""]"	"[""skin""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Human fibroblasts, chronic inflammation, shotgun proteomics, shotgun lipidomics, eicosadomics, metabolomics, multiple reaction monitoring	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification and qualitative data analysis. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	14/04/2016	"[[""DOI:10.1021/acs.analchem.6b04433"",""PMID:28208246""]]"
PXD008440	https://www.ebi.ac.uk/pride/ws/archive/project/PXD008440	The response to neoadjuvant chemoradiotherapy to 5-fluorouracil in locally advanced colorectal cancer patients: a predictive proteomic signature.	Background: Colorectal cancer is the third most common and the fourth most lethal cancer in the world. In the majority of cases, patients are diagnosed at an advanced stage or even metastatic, thus explaining the high mortality. The standard protocol for treating patients with locally advanced non-metastatic colorectal cancer (CRC) is neoadjuvant radio-chemotherapy (NRCT) with 5-fluorouracil (5-FU), but the resistance rate to this treatment remains high with approximately 30% of non-responders. The lack of evidence available in clinical practice to predict NRCT resistance to 5-FU and to guide clinical practice therefore encourages the search for biomarkers of this resistance. Methods: From twenty-three formalin-fixed paraffin-embedded (FFPE) biopsies performed before NRCT with 5-FU of locally advanced non-metastatic CRC patients, we extracted and analysed the tumor proteome of these patients. From clinical data, we were able to classify the twenty-two patients in our cohort into three treatment response groups: non-responders (NR), partial responders (PR) and total responders (TR), and to compare the proteomes of these different groups.  Results: We have highlighted 384 differentially expressed proteins between NR and PR, 248 between NR and TR and 417 between PR and TR. Among these proteins, we have identified many differentially expressed proteins identified as having a role in cancer (IFIT1, FASTKD2, PIP4K2B, ARID1B, SLC25A33: overexpressed in TR; CALD1, CPA3, B3GALT5, CD177, RIPK1: overexpressed in NR). We have also identified that DPYD, the main degradation enzyme of 5-FU, was overexpressed in NR, as well as several ribosomal and mitochondrial proteins also overexpressed in NR.  Conclusions: From these retrospective study, we implemented a protein extraction protocol from FFPE biopsy to highlight protein differences between different response groups to RCTN with 5-FU in patients with locally advanced non-metastatic CRC. These results will pave the way for a larger cohort for better sensitivity and specificity of the signature to guide decisions in the choice of treatment.	"[""Homo sapiens (Human)""]"	"[""colon""]"	"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Gel-based experiment""]"	"[""APEX - Absolute Protein Expression""]"	colorectal cancer, resistance to neoadjuvant radio-chemotherapy, 5-fluorouracil, proteomics, mass spectrometry, predictive biomarkers	Quantification and bioinformatics analysis.  Data were processed, searched and quantified using the MaxQuant software package employing the Human Uniprot database [15]. The following settings were used for the MaxQuant analysis: 2 miscleavages allowed; fixed modification was carbamidomethylation on cysteine; enzyme was trypsin (K/R not before P); variable modifications included in the analysis were methionine oxidation and protein N-terminal acetylation; mass tolerance of 7 ppm for precursor ions and 20 ppm for fragment ions. The analysis of mass spectrometry data were next carried out with the Perseus software [16] and subjected to a normalization (z-score) and an ANOVA statistical test (comparison of the three groups) or Student�s T-test (comparison of two groups), both corrected with a p-value of 0.05.  Statistical analysis.  The different groups of patients were first compared according to clinicopathological parameters. Due to a small number of patients per group, Fisher's exact test was done with the R software [17]. When the p-value was less than 0.05, the result was considered to have statistical significance.	13/12/2017	"[[""DOI:10.1186/s12014-018-9192-2"",""PMID:29681787""]]"
PXD010271	https://www.ebi.ac.uk/pride/ws/archive/project/PXD010271	Individual variability of protein expression in human tissues	A retrospective analysis of proteomics data from nine different human tissues, to understand the inter-individual and inter-tissue variability in protein expression. We used the data to build robust classifiers to predict the tissue of origin.	"[""Homo sapiens (Human)""]"	"[""temporal lobe"",""substantia nigra"",""ovary"",""blood plasma"",""liver"",""pancreas"",""blood serum"",""cerebrospinal fluid"",""monocyte""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""LTQ Orbitrap Velos"",""Q Exactive""]"		"[""Shotgun proteomics""]"		machine learning, human proteome, tissue classification	Data was searched with MSGF+ using PNNL's DMS Processing pipeline	29/06/2018	"[[""PMID:30300549"",""DOI:10.1021/acs.jproteome.8b00580""]]"
PXD003967	https://www.ebi.ac.uk/pride/ws/archive/project/PXD003967	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - nuclear proteins of dexamethasone-treated inflammatory stimulated cells	Fibroblasts have only recently been identified as important effector cells in inflammation. In this study, human dermal fibroblasts were inflammatory stimulated with interleukin-1beta and comprehensively analysed with respect to proteins, eicosanoids and metabolites. For eicosadomics, we have established a data-dependent shotgun analysis method capable of identifying inflammation-regulated lipids of yet unknown function. Several classical inflammatory agonists were found induced, including PGA2, PGB2, PGE2 and TXB2, but also modulators such as PGA3 and PGE3, while 8-HETE and several HODE family members remained unaffected. Using targeted metabolomics, several acylcarnithins, phosphatitylcholins and sphingomyelins were found significantly downregulated. Proteome profiling with orbitrap-MS demonstrated the strong induction of several chemokines, metalloproteinases and other effector molecules. Treatment of stimulated fibroblasts with dexamethasone almost completely abrogated the formation of all inflammation-induced eicosanoids and restored levels of acylcarnithins back to normal. As expected, the secretion of IL-6, MMP1, MMP3, CXCL2 and CXCL3 was strongly down-regulated. However, instead of counter-regulating, dexamethasone further enhanced consequences of inflammatory stimulation with respect to CXCL1, CXCL6, complement C3 as well as sphingomyelins. Shotgun secretome data were confirmed by targeted analysis with triple-quadrupol-MS. These molecules have been described to be involved in chronic inflammation. In peripheral blood mononuclear cells, actually dexamethasone successfully downregulated the formation of all detectable inflammation mediators. The present data suggest that successful pharmacological abrogation of the formation of lipid inflammatory mediators in fibroblasts may not suffice to suppress the release of several other powerful inflammatory mediators which we thus understand to be capable of establishing chronic inflammation states.	"[""Homo sapiens (Human)""]"	"[""skin""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Human fibroblasts, chronic inflammation, shotgun proteomics, shotgun lipidomics, eicosadomics, metabolomics, multiple reaction monitoring	Proteome Discoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification and qualitative data analysis. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	14/04/2016	"[[""DOI:10.1021/acs.analchem.6b04433"",""PMID:28208246""]]"
PXD005477	https://www.ebi.ac.uk/pride/ws/archive/project/PXD005477	Quantitative Proteomics Reveals Specialized Wiring of Signaling Pathways that Protects Human Regulatory T Cell Identity - 5 populations ex vivo	Regulatory CD4+ T cells (Tregs) are functionally distinct from conventional CD4+ T cells (Tconvs). To understand Treg identity, we compared by proteomics and transcriptomics human na�ve (n) and effector (e)Tregs, Tconvs and transitional FOXP3+ cells. Only 12% of 422 differentially expressed proteins was identified as such at the mRNA level, demonstrating the importance of direct proteome measurement. Fifty-one proteins discriminated Tregs from Tconvs. This common Treg protein signature indicates altered signaling by TCR-, TNF receptor-, NF?B-, PI3 kinase/mTOR-, NFAT- and STAT pathways, and unique cell biological and metabolic features. Another protein signature uniquely identified eTregs and revealed active cell division, apoptosis sensitivity and suppression of NF?B- and STAT signaling. eTreg fate appears consolidated by FOXP3 outnumbering its partner transcription factors. These features explain why eTregs cannot produce inflammatory cytokines, whereas transitional FOXP3+ cells can. Collectively, our data reveal that Treg identity is defined and protected by uniquely �wired� signaling pathways.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""}]"	"[""Orbitrap Fusion ETD""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"	"[""MS1 intensity based label-free quantification method""]"	Human, CD4+ T cells, LFQ	Data Processing and Analysis  RAW mass spectrometry files were processed with the MaxQuant computational platform (Cox and Mann, 2008) version 1.5.2.8 using label-free quantitation (LFQ). Peptides were identified using the Andromeda search engine by querying the human Uniprot database (2015-02, 89796 entries) with a 1% false discovery rate (FDR) cut-off both at peptide and protein level. Potential contaminants and reverse hits were eliminated using Perseus version 1.5.0.31. To compare proteomes of different cell populations, LFQ values were log2-transformed and the 3 technical replicates per experimental condition grouped. For further analysis, only proteins with 3 valid values in at least one of the groups were included. Missing values were imputed by normal distribution (width= 0.3, shift= 1.8). Intergroup differences in protein levels were calculated using ANOVA using Benjamini Hochberg FDR of 0.05 and S0 0. General relatedness of samples was assessed through Principal Component Analysis (PCA) using Perseus� built-in tool. Calculation of Pearson�s correlations was assessed using Gitools (version 2.2.3)(Perez-Llamas and Lopez-Bigas, 2011). Clusters of proteins with specific expression patterns were identified using unsupervised hierarchical clustering based on K-means and Euclidian distance after z-score normalization. Cell type specific clusters were further analyzed for enrichment of functional and biological categories, using STRING and DAVID bioinformatics tools. Pathway diagrams were generated through the use of Ingenuity� Pathway Analysis (IPA�, QIAGEN). GO biological processes redundancy was removed using REVIGO (Supek et al., 2011).  Absolute protein abundance was estimated using the proteomic ruler approach using a plug-in built in Perseus as described by the authors (Wi?niewski et al., 2014). The abundances were expressed as protein copy numbers and the values were log10 transformed and presented in graphs using Prism 6.0 (GraphPad Software, San Diego, CA, USA).  Gene set enrichment analysis was performed using the geneset collection C3 from the Molecular Signatures Database (MsigDB v4.0) that contains information about curated-, motif-, transcription factor targets gene sets. The genes that share a transcription factor binding site are defined and annotated by TRANSFAC (Matys et al., 2006) (version 7.4).   Protein and RNA comparison The comparison of protein and transcript abundances across cell types was performed as published before (Wilhelm et al., 2014). Briefly, absolute transcript abundances (expressed as fragment per kilobase per million, FPKM) were extracted from the RNA-Seq data. Absolute protein abundance was estimated using the intensity based absolute protein quantification (iBAQ)(Schwanh�usser et al., 2011) approach with few modifications described elsewhere (Wilhelm et al., 2014). Briefly, peptide intensities were summed up and divided by the number of observable peptides per protein. The iBAQ values were then normalized based on the total sum of all protein intensities in order to be able to compare abundances across samples. Proteins were mapped to transcripts using the Uniprot.ws package (Bioconductor) resulting in 4,782 transcripts/proteins with expression data. For the comparison of protein and mRNA abundances, protein and transcript expression of 409 differentially expressed proteins/RNAs was z-score-transformed. All the analyses were performed using R (v 3.2.0).	15/09/2017	"[[""DOI:10.1016/j.immuni.2018.04.008"",""PMID:29752063""]]"
PXD001524	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001524	Human testicular matrix -  Derivation and characterization of a cytocompatible scaffold from human testis	ITo derive a scaffold from human testis for the purpose of tissue engineering and regenerative medicine, we developed a method to produce a cytocompatible decellularized testicular matrix (DTM) while maintaining the native tissue-specific characteristics and components. The potential benefits of tissue-specific scaffolds consisting of naturally-derived extracellular matrix (ECM) have been demonstrated using a wide variety of animal and human tissue sources. However, so far, testis scaffolds have never been considered for constructive remodelling purposes. We have therefore developed a protocol for the preparation of cell-free extracellular matrix and characterized the material extensively using a combination of proteomics, immunohistochemsitry, and cell population assays. To prepare cell-free matrix, human cadaveric testicular tissue was exposed for 24 h or 48 h to 1% Triton X-100 and/or 1% sodium dodecyl sulfate (SDS). The extent of decellularization was evaluated by histology. Confirmation of cell removal in DTM was done by a DNA quantification technique. The protein composition was analysed by LC-MS/MS. The retention of testicular tissue-specific characteristics was evaluated by immunohistochemistry, Alcian blue staining and scanning electron microscopy. Soluble toxicity and testicular cell attachment was assessed to check the cytocompatibility of DTM scaffolds.  Histological analysis showed that DTM could be obtained by mechanical agitation in 1% SDS for 24 h. The resulting DTM was found to be clear of cells while retaining the typical three-dimensional structure. Proteomics analysis revelaed the presence of  the major components of the native tissue scaffold, including collagen type I and IV, fibronectin, laminin and glycosaminoglycans. In addition, numerous additional ECM proteins in DTM were detected, indicating its complex nature. Importantly, we demonstrated that DTM scaffolds are not cytotoxic, as evidenced by MTT assay showing a normal fibroblast proliferation activity after indirect exposure, and support testicular cell attachment and infiltration.	"[""Homo sapiens (Human)""]"	"[""testis""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Deamidated"",""UNIMOD"":""7""}]"	"[""LTQ Orbitrap""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Extracellular matrix, 3D cell culture, testicular structure	Tandem mass spectra were extracted using Raw2MGF (in-house developed software), and the resulting mascot generic files were searched against the concatenated human SwissProt protein database (vs. 2014_01) using the Mascot 2.3.0 (Matrix Science Ltd). Peptide mass tolerance was set to 10 ppm and 0.02 Da for the fragment ions. Carbamidomethylation of cysteine was specified as a fixed modification, whereas oxidation of methionine and deamidation of asparagine and glutamine were defined as variable modifications. Data were visualized using the Scaffold software package (Proteome Software Inc.).	20/11/2014	"[[""PMID:25505010"",""DOI:10.1093/humrep/deu330""]]"
PXD009343	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009343	ZIKV-infected human NPCs LC-MS	In this study, proteomic analysis on ZIKV-infected primary human fetal neural progenitor cells (NPCs) revealed that virus infection altered levels of cellular proteins involved in NPC proliferation, differentiation and migration.	"[""Homo sapiens (Human)""]"	"[""brain""]"	"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Top-down proteomics""]"		Human NPCs, ZIKV infection	For nanoLC-MS/MS analysis, the peptide mixture was loaded onto a reverse phase trap column (Thermo Scientific Acclaim PepMap100, 100 ?m�2 cm, nanoViper C18) connected to a C18-reversed phase analytical column (Thermo Scientific Easy Column, 10 cm long, 75 ?m inner diameter, 3?m resin) in buffer A (0.1% Formic acid) and separated with a linear gradient of buffer B (84% acetonitrile and 0.1% Formic acid) at a flow rate of 300 nl/min controlled by IntelliFlow technology. LC-MS/MS analysis was performed on a Q Exactive mass spectrometer (Thermo Scientific) coupled to an Easy nLC nano-flow UHPLC (Proxeon Biosystems, now Thermo Fisher Scientific) for 90 min. The mass spectrometer was operated in positive ion mode. MS data were acquired using a data-dependent top 10 method dynamically choosing the most abundant precursor ions from the survey scan (300�1800 m/z) for HCD fragmentation. Automatic gain control (AGC) target was set to 3�106, and maximum injection time was 10 ms. Dynamic exclusion duration was 40.0 s.	27/03/2018	"[[""PMID:29922247"",""DOI:10.3389/fmicb.2018.01067""]]"
PXD007846	https://www.ebi.ac.uk/pride/ws/archive/project/PXD007846	A systematic evaluation of the use of human plasma and serum for mass spectrometry-based shotgun proteomics - commercial pooled samples	Over the last two decades, EDTA-plasma has been used as the preferred sample matrix for human blood proteomic profiling. Serum has also been employed widely. Only a few studies have assessed the difference and relevance of the proteome profiles obtained from plasma samples, such as EDTA-plasma or lithium-heparin-plasma, and serum. A complete evaluation of the use of EDTA-plasma, heparin-plasma, and serum would greatly expand the comprehensiveness of shotgun proteomics of blood samples. In this study, we evaluated the use of heparin-plasma with respect to EDTA-plasma and serum to profile blood proteomes using a scalable automated proteomic pipeline (ASAP2). The use of plasma and serum for mass spectrometry-based shotgun proteomics was tested with commercial pooled samples. The proteome coverage consistency and the quantitative performance were compared.	"[""Homo sapiens (Human)""]"	"[""blood plasma"",""blood serum""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Dehydrated"",""UNIMOD"":""23""},{""ptm"":""Ammonia-loss"",""UNIMOD"":""385""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Deamidated"",""UNIMOD"":""7""},{""ptm"":""TMT6plex"",""UNIMOD"":""737""}]"	"[""Orbitrap Fusion Lumos""]"	"[""Technical""]"	"[""Shotgun proteomics""]"	"[""TMT""]"	Human, Plasma, Serum, MS/MS, Tandem Mass Tag, EDTA, Li-heparin	Proteome Discoverer (version 1.4, Thermo Scientific) was used as the data processing interface. Identification was performed against the human UniProtKB/Swiss-Prot database (10/2015 release) including the ?-lactoglobulin from bovine milk sequence (20198 sequences in total). Mascot (version 2.4.2, Matrix Sciences, London, UK) was used as the search engine. Variable amino acid modifications were oxidized methionine, deamidated asparagine/glutamine, and 6-plexTMT-labeled peptide amino terminus (+229.163 Da); 6-plex TMT-labeled lysine (+229.163 Da) was set as fixed modification as well as carbamidomethylation of cysteine. Trypsin was selected as the proteolytic enzyme, with a maximum of two potential missed cleavages. Peptide and fragment ion tolerance were set to, respectively, 10 ppm and 0.02 Da.  All Mascot results files were loaded separately into Scaffold Q+S 4.6 (Proteome Software, Portland, OR) to be further searched with X! Tandem (version CYCLONE (2010.12.01.1)). Both peptide and protein FDRs were fixed at 1% maximum, with a two-unique-peptide criterion to report protein identification.	26/09/2017	"[[""DOI:10.1021/acs.jproteome.7b00788"",""PMID:29451788""]]"
PXD006176	https://www.ebi.ac.uk/pride/ws/archive/project/PXD006176	Syntaxin-3 is a Weibel-Palade body localized SNARE protein that regulates Von Willebrand factor secretion from endothelial cells	Endothelial cells store von Willebrand factor (VWF) in rod-shaped secretory organelles, called Weibel-Palade bodies (WPBs). WPB exocytosis is coordinated by a complex network of Rab GTPases, Rab-effectors and SNARE proteins. We have previously identified STXBP1 as the link between the Rab27A-Slp4-a complex on WPBs and the SNARE proteins syntaxin-2 and -3. In this study we investigate the function of syntaxin-3 in VWF secretion. In human umbilical vein endothelial cells (HUVECs) and in blood outgrowth endothelial cells (BOECs) from healthy controls endogenous syntaxin-3 immunolocalized to WPBs. A detailed analysis of BOECs isolated from a patient with variant microvillus inclusion disease (MVID), carrying a homozygous mutation in STX3 (STX3-/-), showed a loss of syntaxin-3 protein and absence of WPB-associated syntaxin-3 immunoreactivity. Ultrastructural analysis revealed no detectable differences in morphology or prevalence of immature or mature WPBs in control versus STX3-/- BOECs. VWF multimer analysis showed normal patterns in plasma of the MVID patient, and media from STX3-/- BOECs, together indicating WPB formation and maturation are unaffected by absence of syntaxin-3. However, a clear defect in Ca2+ and cAMP-mediated VWF secretion was found in the STX3-/- BOECs. Co-immunoprecipitation studies showed that syntaxin-3 associates with the WPB SNAREs SNAP23 and VAMP8. Our data reveal syntaxin-3 as a novel WPB-associated SNARE controlling VWF secretion and highlight the complex regulation of WPB exocytosis by multiple SNARE complexes.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""}]"	"[""Orbitrap Fusion ETD""]"	"[""Biological""]"	"[""Shotgun proteomics""]"	"[""Label free""]"	endothelial cells, syntaxin-3, SNARE machinery, Von Willebrand factor, Weibel-Palade body, proteomics	Tryptic peptides were separated by nanoscale C18 reverse chromatography coupled online to an Orbitrap Fusion Tribrid mass spectrometer (Thermo Scientific) via a nanoelectrospray ion source (Nanospray Flex Ion Source, Thermo Scientific), using the same settings as described in 3. All MS data were acquired with Xcalibur software (Thermo Scientific).  The RAW mass spectrometry files were processed with the MaxQuant computational platform, 1.5.2.8.4 Proteins and peptides were identified using the Andromeda search engine by querying the human Uniprot database (downloaded February 2015).5 Standard settings with the additional options match between runs, Label Free Quantification (LFQ), and unique peptides for quantification were selected. The generated �proteingroups.txt� table was filtered for reverse hits, �only identified by site� and potential contaminants using Perseus 1.5.1.6. The LFQ values were transformed in log2 scale. Samples were grouped per BOEC donor (STX3-/- patient, 4 healthy controls) (5 groups, 3 samples per group) and proteins were filtered for at least 3 valid values in at least one of the 5 groups. Missing values were imputed by normal distribution (width = 0.3, shift = 1.8), assuming these proteins were close to the detection limit. Global changes in protein levels were assessed employing four separate volcano plots where the syntaxin-3 patient BOECs were pair wise compared with the healthy control BOECs (FDR 0.05, S0: 0.4). Proteins with a significantly changed level were defined as proteins with a significantly changed expression in all four pair wise comparisons. References 3. Gazendam RP, van de Geer A, van Hamme JL, Tool ATJ, van Rees DJ, Aarts CEM, van den Biggelaar M, van Alphen F, Verkuijlen P, Meijer AB, Janssen H, Roos D, van den Berg TK and Kuijpers TW. Impaired killing of Candida albicans by granulocytes mobilized for transfusion purposes: A role for granule components. Haematologica. 2016;101(5):587�596.  4. Cox J and Mann M. MaxQuant enables high peptide identification rates, individualized p.p.b.-range mass accuracies and proteome-wide protein quantification. Nat. Biotechnol. 2008;26(12):1367�72.  5. Bateman A, Martin MJ, O�Donovan C, Magrane M, Apweiler R, Alpi E, Antunes R, Zhang J, et al. UniProt: A hub for protein information. Nucleic Acids Res. 2015;43(D1):D204�D212.	27/03/2017	"[[""PMID:29880488"",""DOI:10.1161/atvbaha.117.310701""]]"
PXD001417	https://www.ebi.ac.uk/pride/ws/archive/project/PXD001417	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - secreted proteins of untreated cells	Inflammation is a physiological process involved in many diseases. Monitoring proteins involved in regulatory effects may help to improve our understanding of inflammation. We have analyzed proteome alterations induced in peripheral blood mononuclear cells (PBMCs) upon inflammatory activation in great detail using high resolution mass spectrometry. Moreover, the activated cells were treated with dexamethasone to investigate their response to this antiphlogistic drug. From a total of 6886 identified proteins, 469 proteins were significantly regulated upon inflammatory activation. Most of these proteins were counter-regulated by dexamethasone, with some exceptions concerning members of the interferon-induced protein family. To confirm some of these results, we performed targeted MRM analyses of selected peptides. The inflammation-induced up-regulation of proteins such as IL-1beta, IL-6, CXCL2 and GRO? was confirmed, however with strong quantitative inter-individual differences. Furthermore, the inability of dexamethasone to down-regulate inflammation-induced proteins such as PTX3 and TSG6 was clearly demonstrated. In conclusion, the relation of cell function as well as drug-induced modulation thereof was successfully mapped to proteomes, suggesting targeted analysis as a novel and powerful drug evaluation method. While most consequences of dexamethasone were found compatible with the expected way of action, some unexpected but significant observations may relate with adverse effects.	"[""Homo sapiens (Human)""]"	"[""blood""]"	"[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]"	"[""Q Exactive""]"	"[""Biomedical""]"	"[""Shotgun proteomics""]"		Adverse drug effects, cell biology, drug effects, inflammatory response, mass spectrometry, PBMCs, proteomics, secretome	ProteomeDiscoverer 1.4 (Thermo Fisher Scientific, Austria) running Mascot 2.4 (Matrix Science, UK) was used for protein identification and qualitative data analysis. Protein identification was achieved searching against the SwissProt Database (version August 2014 with 20 194 entries) allowing a mass tolerance of 10ppm for MS spectra and 50mmu for MS/MS spectra as well as a maximum of 2 missed cleavages. Furthermore, search criteria included carbamidomethylation on cysteins as fixed modification and methionine oxidation as well as N-terminal protein acetylation as variable modifications.	20/10/2014	"[[""DOI:null"",""PMID:25347463""]]"
PXD009645	https://www.ebi.ac.uk/pride/ws/archive/project/PXD009645	Revealing the immune perturbation of black phosphorus nanomaterials to macrophages by understanding the protein corona	The increasing number of biological applications for black phosphorus (BP) nanomaterials has precipitated considerable concern about their interactions with physiological systems. Here, we demonstrate the adsorption of plasma protein onto BP nanomaterials and the subsequent immune perturbation effect on macrophages. Using liquid chromatography tandem mass spectrometry, we discovered that BP nanosheets (BPNSs) were able to bind 23.3 percent of immune proteins from plasma, while BP quantum dots (BPQDs) bound 41.8 percent of immune proteins. In particular, the protein corona dramatically reshaped BP nanomaterial-corona complexes, influenced cellular uptake, activated the NF-?B pathway and even increased cytokine secretion by 2-5-fold. BP nanomaterials induced immunotoxicity and immune perturbation in macrophages in the presence of a plasma corona. These findings offer important insights into the development of safe and effective BP nanomaterial-based therapies.	"[""Homo sapiens (Human)""]"	"[""blood plasma""]"	"[{""ptm"":""No PTMs are included in the dataset""}]"	"[""Q Exactive""]"	"[""Biological""]"	"[""Shotgun proteomics""]"		black phosphorus nanomaterials, corona, human plasma, LC-MS/MS	Each fraction was injected into a Q Exactive mass spectrometer (Thermo Scientific) for nanoLC-MS/MS analysis. MS/MS spectra were searched using the MASCOT engine (Matrix Science, London, UK; version 2.4). For protein identification, the following option were used: peptide mass tolerance=20 ppm, MS/MS tolerance=0.1 Da, enzyme=Trypsin, missed cleavage=2, fixed modification: carbamidomethyl (C), and variable modification: oxidation (M). The identified proteins were retrieved from the UniProtKB human database (Release 2017 _02) in FASTA format.	2/05/2018	"[[""DOI:10.1038/s41467-018-04873-7"",""PMID:29946125""]]"
