PXD;RAW;Useable;cell_line;disease;tissue_type;treatment;sub_cell
PXD004280;QEXI12477_C6.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12479_I6.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12481_Ac6.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI12483_MM2.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15598_MM1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15600_C1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15602_I1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15604_Ac1.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15606_C2.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15608_I2.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15610_Ac2.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15612_C3.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15614_I3.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15616_Ac3.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15618_C4.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15620_I4.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15622_Ac4.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15624_C5.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15626_I5.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15628_Ac5.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15630_C6.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15632_I6.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15634Ac6.raw;no;Jurkat;T-cell leukemia;blood;;
PXD004280;QEXI15636_MM2.raw;no;Jurkat;T-cell leukemia;blood;;
;;;;;;;
PXD006176;7908_1.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7908_2.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7908_3.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7935_1.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7935_2.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7935_3.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7950_1.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7950_2.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7950_3.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7958_1.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7958_2.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7958_3.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7977_1.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7977_2.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
PXD006176;7977_3.raw;no;Blood endothelial outgrowth cell;healthy;endothelial cell;;
;;;;;;;
PXD002842;FASP_1_01.raw;yes;LAN5;neuroblastoma;brain;;
PXD002842;FASP_1_02.raw;yes;LAN5;neuroblastoma;brain;;
PXD002842;FASP_2_01.raw;yes;LAN5;neuroblastoma;brain;;
PXD002842;FASP_2_02.raw;yes;LAN5;neuroblastoma;brain;;
PXD002842;FASP_A_01.raw;yes;LAN5;neuroblastoma;brain;A? Peptide;
PXD002842;FASP_A_02.raw;yes;LAN5;neuroblastoma;brain;A? Peptide;
PXD002842;FASP_B_01.raw;yes;LAN5;neuroblastoma;brain;A? Peptide;
PXD002842;FASP_B_02.raw;yes;LAN5;neuroblastoma;brain;A? Peptide;
;;;;;;;
PXD003408;HUVEC_ne_con_1a_1.raw;no;;;;;
PXD003408;HUVEC_ne_con_1a_2.raw;no;;;;;
PXD003408;HUVEC_ne_con_1a_3.raw;no;;;;;
PXD003408;HUVEC_ne_con_1a_4.raw;no;;;;;
PXD003408;HUVEC_ne_con_1b_1.raw;no;;;;;
PXD003408;HUVEC_ne_con_1b_2.raw;no;;;;;
PXD003408;HUVEC_ne_con_1b_3.raw;no;;;;;
PXD003408;HUVEC_ne_con_1b_4.raw;no;;;;;
PXD003408;HUVEC_ne_con_2a.raw;no;;;;;
PXD003408;HUVEC_ne_con_2b.raw;no;;;;;
PXD003408;HUVEC_ne_con_3a.raw;no;;;;;
PXD003408;HUVEC_ne_con_3b.raw;no;;;;;
PXD003408;HUVEC_ne_con_4a.raw;no;;;;;
PXD003408;HUVEC_ne_con_4b.raw;no;;;;;
PXD003408;HUVEC_ne_con_5a_1.raw;no;;;;;
PXD003408;HUVEC_ne_con_5a_2.raw;no;;;;;
PXD003408;HUVEC_ne_con_5a_3.raw;no;;;;;
PXD003408;HUVEC_ne_con_5a_4.raw;no;;;;;
PXD003408;HUVEC_ne_con_5b_1.raw;no;;;;;
PXD003408;HUVEC_ne_con_5b_2.raw;no;;;;;
PXD003408;HUVEC_ne_con_5b_3.raw;no;;;;;
PXD003408;HUVEC_ne_con_5b_4.raw;no;;;;;
PXD003408;HUVEC_ne_con_6a.raw;no;;;;;
PXD003408;HUVEC_ne_con_6b.raw;no;;;;;
PXD003408;HUVEC_ne_con_7a.raw;no;;;;;
PXD003408;HUVEC_ne_con_7b.raw;no;;;;;
;;;;;;;
PXD003594;b1369p080_sample_01_a.raw;?;?;;;;
PXD003594;b1369p080_sample_01_b.raw;?;?;;;;
PXD003594;b1369p080_sample_02_a.raw;?;?;;;;
PXD003594;b1369p080_sample_02_b.raw;?;?;;;;
PXD003594;b1369p080_sample_03_a.raw;?;?;;;;
PXD003594;b1369p080_sample_03_b.raw;?;?;;;;
PXD003594;b1369p080_sample_04_a.raw;?;?;;;;
PXD003594;b1369p080_sample_04_b.raw;?;?;;;;
PXD003594;b1369p080_sample_05_a.raw;?;?;;;;
PXD003594;b1369p080_sample_05_b.raw;?;?;;;;
PXD003594;b1369p080_sample_06_a.raw;?;?;;;;
PXD003594;b1369p080_sample_06_b.raw;?;?;;;;
PXD003594;b1369p080_sample_07_a.raw;?;?;;;;
PXD003594;b1369p080_sample_07_b.raw;?;?;;;;
PXD003594;b1369p080_sample_08_a.raw;?;?;;;;
PXD003594;b1369p080_sample_08_b.raw;?;?;;;;
PXD003594;b1369p080_sample_09_a.raw;?;?;;;;
PXD003594;b1369p080_sample_09_b.raw;?;?;;;;
PXD003594;b1369p080_sample_10_a.raw;?;?;;;;
PXD003594;b1369p080_sample_10_b.raw;?;?;;;;
PXD003594;b1369p080_sample_11_a.raw;?;?;;;;
PXD003594;b1369p080_sample_11_b.raw;?;?;;;;
PXD003594;b1369p080_sample_12_a.raw;?;?;;;;
PXD003594;b1369p080_sample_12_b.raw;?;?;;;;
PXD003594;b1369p080_sample_13_a.raw;?;?;;;;
PXD003594;b1369p080_sample_13_b.raw;?;?;;;;
PXD003594;b1369p080_sample_14_a.raw;?;?;;;;
PXD003594;b1369p080_sample_14_b.raw;?;?;;;;
PXD003594;b1369p601_DMSO_G1_B1_S2.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G1_B2_S10.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G1_B3_S18.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G1_B4_S26.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G2_B1_S3.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G2_B2_S11.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G2_B3_S19.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G2_B4_S27.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G3_B1_S4.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G3_B2_S12.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G3_B3_S20.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_G3_B4_S28.RAW;yes;MCF7;adenocarcinoma;breast;;GDC-0941 restistant
PXD003594;b1369p601_DMSO_parental_B1_S1.RAW;yes;MCF7;adenocarcinoma;breast;;
PXD003594;b1369p601_DMSO_parental_B2_S9.RAW;yes;MCF7;adenocarcinoma;breast;;
PXD003594;b1369p601_DMSO_parental_B3_S17.RAW;yes;MCF7;adenocarcinoma;breast;;
PXD003594;b1369p601_DMSO_parental_B4_S25.RAW;yes;MCF7;adenocarcinoma;breast;;
PXD003594;b1369p601_GDC_G1_B1_S6.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G1_B2_S14.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G1_B3_S22.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G1_B4_S30.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G2_B1_S7.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G2_B2_S15.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G2_B3_S23.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G2_B4_S31.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G3_B1_S8.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G3_B2_S16.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G3_B3_S24.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_G3_B4_S32.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;GDC-0941 restistant
PXD003594;b1369p601_GDC_parental_B1_S5.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;
PXD003594;b1369p601_GDC_parental_B2_S13.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;
PXD003594;b1369p601_GDC_parental_B3_S21.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;
PXD003594;b1369p601_GDC_parental_B4_S29.RAW;yes;MCF7;adenocarcinoma;breast;PI3K-inhibitor;
PXD003594;b1369p65_PP1.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP1_R.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP2.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP2_R.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP3.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP3_R.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP4.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP4_R.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP5.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP5_R.RAW;no;MCF7;;;;
PXD003594;b1369p65_PP6.RAW;no;MCF7;;;;
