assay_id,project_id,filename,cell_id,cell_line,disease,treatment,tissue_type,sub_cell,organ_id,PXD_accession,all_PSM,sign_PSM,peptides,proteins,experiment_type,instrument,pmid,pool_id,ionbot_version
31003,1815,3B7-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10293,9746,8615,2278,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31004,1815,3B8-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11837,11146,10123,2574,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31005,1815,3B8-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11788,11094,10096,2529,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31006,1815,3B9-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12315,11756,10651,2657,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31007,1815,3B9-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11999,11430,10329,2563,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31008,1815,H10-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11151,10296,9384,2368,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31009,1815,H10-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11335,10567,9593,2390,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31010,1815,H1-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11289,10350,9325,2450,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31011,1815,H11-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10993,10378,9077,2371,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31012,1815,H11-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11237,10481,9164,2390,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31013,1815,H1-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11282,10389,9399,2455,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31014,1815,H12-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11778,10909,9734,2415,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31015,1815,H12-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11859,11046,9875,2401,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31016,1815,H13-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13006,12152,10936,2737,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31017,1815,H13-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12746,11759,10596,2672,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31018,1815,H14-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13336,12498,11110,2823,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31019,1815,H14-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13710,12820,11354,2830,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31020,1815,H15-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12990,12279,10738,2747,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31021,1815,H15-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13096,12264,10796,2780,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31022,1815,H16-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13100,12063,10748,2747,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31023,1815,H16-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13842,13001,11530,2832,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31024,1815,H17-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13155,12278,10868,2762,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31025,1815,H17-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12850,12016,10716,2678,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31026,1815,H18-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13497,12435,11088,2764,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31027,1815,H18-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13930,12926,11601,2819,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31028,1815,H19-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13455,12340,11079,2848,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31029,1815,H19-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13544,12585,11234,2827,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31030,1815,H20-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12960,11888,10507,2731,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31031,1815,H20-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13616,12401,10931,2790,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31032,1815,H2-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11867,11042,9407,2482,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31033,1815,H21-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10533,9728,8756,2628,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31034,1815,H21-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10200,9341,8401,2551,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31035,1815,H2-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11903,10921,9292,2420,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31036,1815,H22-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,9098,8313,7489,2377,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31037,1815,H22-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8953,8232,7411,2379,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31038,1815,H23-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8951,8265,7437,2316,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31039,1815,H23-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8884,8177,7382,2294,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31040,1815,H24-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8422,7610,6828,2234,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31041,1815,H24-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,7995,7280,6501,2197,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31042,1815,H3-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11087,10330,8950,2332,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31043,1815,H3-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11195,10421,9017,2323,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31044,1815,H4-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10948,10120,8971,2337,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31045,1815,H4-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11400,10536,9266,2360,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31046,1815,H5-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12195,11287,9932,2540,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31047,1815,H5-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12189,11278,9875,2538,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31048,1815,H6-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12477,11673,10479,2548,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31049,1815,H6-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11831,11047,9909,2483,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31050,1815,H7-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11472,10665,9492,2461,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31051,1815,H7-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12385,11597,10257,2645,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31052,1815,H8-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12548,11742,10515,2537,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31053,1815,H8-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12400,11597,10418,2479,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31054,1815,H9-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11700,10937,9903,2444,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
31055,1815,H9-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10905,10149,9150,2302,in-solution,Q-exactive,24328083,4,IONBOT_v0.8.0
31488,1832,CHPP_97H_RP1_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7110,6598,5840,2181,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31489,1832,CHPP_97H_RP1_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7874,7300,6496,2349,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31490,1832,CHPP_97H_RP10_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10133,9427,8374,2705,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31491,1832,CHPP_97H_RP10_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9978,9314,8290,2726,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31492,1832,CHPP_97H_RP11_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9942,9237,8121,2736,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31493,1832,CHPP_97H_RP11_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9574,8865,7781,2655,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31494,1832,CHPP_97H_RP12_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9421,8934,7886,2709,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31495,1832,CHPP_97H_RP12_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9597,8988,7942,2691,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31496,1832,CHPP_97H_RP13_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9013,8466,7478,2618,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31497,1832,CHPP_97H_RP13_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8747,8239,7291,2581,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31498,1832,CHPP_97H_RP14_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9230,8579,7605,2672,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31499,1832,CHPP_97H_RP14_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9037,8371,7399,2629,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31500,1832,CHPP_97H_RP15_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,6716,6209,5408,1988,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31501,1832,CHPP_97H_RP15_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7772,7216,6312,2263,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31502,1832,CHPP_97H_RP16_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9207,8429,7348,2438,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31503,1832,CHPP_97H_RP16_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9060,8385,7410,2527,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31504,1832,CHPP_97H_RP17_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8522,7871,6879,2417,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31505,1832,CHPP_97H_RP17_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8585,7967,6968,2445,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31506,1832,CHPP_97H_RP18_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8166,7628,6614,2328,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31507,1832,CHPP_97H_RP18_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8674,7993,6983,2413,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31508,1832,CHPP_97H_RP19_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,6778,6329,5439,2006,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31509,1832,CHPP_97H_RP19_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7268,6784,5763,2079,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31510,1832,CHPP_97H_RP2_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9556,8866,7917,2674,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31511,1832,CHPP_97H_RP2_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10034,9317,8381,2788,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31512,1832,CHPP_97H_RP20_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8191,7668,6581,2336,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31513,1832,CHPP_97H_RP20_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8273,7767,6698,2413,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31514,1832,CHPP_97H_RP21_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7836,7287,6284,2279,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31515,1832,CHPP_97H_RP21_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7933,7435,6410,2276,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31516,1832,CHPP_97H_RP22_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7553,7060,6109,2193,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31517,1832,CHPP_97H_RP22_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,6857,6332,5470,2074,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31518,1832,CHPP_97H_RP23_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7924,7430,6622,2406,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31519,1832,CHPP_97H_RP23_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8294,7682,6820,2464,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31520,1832,CHPP_97H_RP24_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7612,7098,6195,2298,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31521,1832,CHPP_97H_RP24_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7763,7228,6294,2264,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31522,1832,CHPP_97H_RP3_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,12759,11634,10514,2759,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31523,1832,CHPP_97H_RP3_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,13076,11934,10740,2788,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31524,1832,CHPP_97H_RP4_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,11726,10501,9423,2737,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31525,1832,CHPP_97H_RP4_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,11989,10901,9784,2859,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31526,1832,CHPP_97H_RP5_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10442,9488,8428,2746,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31527,1832,CHPP_97H_RP5_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10282,9473,8413,2768,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31528,1832,CHPP_97H_RP6_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10146,9288,8328,2762,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31529,1832,CHPP_97H_RP6_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10365,9599,8552,2822,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31530,1832,CHPP_97H_RP7_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10054,9376,8314,2845,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31531,1832,CHPP_97H_RP7_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10112,9449,8371,2786,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31532,1832,CHPP_97H_RP8_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9987,9316,8368,2721,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31533,1832,CHPP_97H_RP8_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10089,9462,8491,2775,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31534,1832,CHPP_97H_RP9_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10417,9615,8592,2807,in-solution,Q-exactive,24328083,1,IONBOT_v0.8.0
31535,1832,CHPP_97H_RP9_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10331,9540,8501,2766,in-solution,Q-exactive,24328083,2,IONBOT_v0.8.0
31536,1832,CHPP_LM3_RP1_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10611,9691,8626,2698,in-solution,Q-exactive,24328083,3,IONBOT_v0.8.0
