PXD;RAW;Useable;cell_line;disease;tissue_type;treatment;sub_cell;pool_id;
PXD004051;MCF7_4.RAW;yes;MCF7;;;insulin;;1;
PXD004051;MCF7_5.RAW;yes;MCF7;;;insulin;;1;
PXD004051;MCF7_6.RAW;yes;MCF7;;;insulin;;1;
PXD004051;MCF7_7.RAW;yes;MCF7;;;insulin;;1;
PXD004051;MCF7_8.RAW;yes;MCF7;;;insulin;;1;
PXD004051;MCF7_9.RAW;yes;MCF7;;;insulin;;1;
PXD000535;;error;;;;;;;
PXD002676;;error;;;;;;;
PXD001952;old1_2h.raw;yes;MSC;;;;old;;
PXD001952;old2_2h.raw;yes;MSC;;;;old;;
PXD001952;old3_2h.raw;yes;MSC;;;;old;;
PXD001952;old4_2h.raw;yes;MSC;;;;old;;
PXD001952;y3_2h.raw;yes;MSC;;;;young;;
PXD001952;y4_2h.raw;yes;MSC;;;;young;;
PXD001952;y5_2h.raw;yes;MSC;;;;young;;
PXD001952;y6_2h.raw;yes;MSC;;;;young;;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep1_pH11.raw;yes;HeLa;;;;HeLa S3;1;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep1_pH3.raw;yes;HeLa;;;;HeLa S3;1;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep1_pH4.raw;yes;HeLa;;;;HeLa S3;1;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep1_pH5.raw;yes;HeLa;;;;HeLa S3;1;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep1_pH6.raw;yes;HeLa;;;;HeLa S3;1;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep1_pH8.raw;yes;HeLa;;;;HeLa S3;1;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep2_pH11.raw;yes;HeLa;;;;HeLa S3;2;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep2_pH3.raw;yes;HeLa;;;;HeLa S3;2;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep2_pH4.raw;yes;HeLa;;;;HeLa S3;2;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep2_pH5.raw;yes;HeLa;;;;HeLa S3;2;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep2_pH6.raw;yes;HeLa;;;;HeLa S3;2;
PXD000612;20111219_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep2_pH8.raw;yes;HeLa;;;;HeLa S3;2;
PXD000612;20111222_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep3_pH11.raw;yes;HeLa;;;;HeLa S3;3;
PXD000612;20111222_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep3_pH3.raw;yes;HeLa;;;;HeLa S3;3;
PXD000612;20111222_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep3_pH4.raw;yes;HeLa;;;;HeLa S3;3;
PXD000612;20111222_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep3_pH5.raw;yes;HeLa;;;;HeLa S3;3;
PXD000612;20111222_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep3_pH6.raw;yes;HeLa;;;;HeLa S3;3;
PXD000612;20111222_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep3_pH8.raw;yes;HeLa;;;;HeLa S3;3;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep4_pH11.raw;yes;HeLa;;;;HeLa S3;4;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep4_pH3.raw;yes;HeLa;;;;HeLa S3;4;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep4_pH4.raw;yes;HeLa;;;;HeLa S3;4;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep4_pH5.raw;yes;HeLa;;;;HeLa S3;4;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep4_pH6.raw;yes;HeLa;;;;HeLa S3;4;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep4_pH8.raw;yes;HeLa;;;;HeLa S3;4;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep5_pH11.raw;yes;HeLa;;;;HeLa S3;5;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep5_pH3.raw;yes;HeLa;;;;HeLa S3;5;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep5_pH4.raw;yes;HeLa;;;;HeLa S3;5;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep5_pH5.raw;yes;HeLa;;;;HeLa S3;5;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep5_pH6.raw;yes;HeLa;;;;HeLa S3;5;
PXD000612;20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep5_pH8.raw;yes;HeLa;;;;HeLa S3;5;
PXD000612;20120125_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep6_pH11.raw;yes;HeLa;;;;HeLa S3;6;
PXD000612;20120125_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep6_pH3.raw;yes;HeLa;;;;HeLa S3;6;
PXD000612;20120125_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep6_pH4.raw;yes;HeLa;;;;HeLa S3;6;
PXD000612;20120125_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep6_pH5.raw;yes;HeLa;;;;HeLa S3;6;
PXD000612;20120125_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep6_pH6.raw;yes;HeLa;;;;HeLa S3;6;
PXD000612;20120125_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Control_rep6_pH8.raw;yes;HeLa;;;;HeLa S3;6;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_FT3a.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120202_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH11.raw;yes;HeLa;;;Nocodazole;HeLa S3;7;
PXD000612;20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH3.raw;yes;HeLa;;;Nocodazole;HeLa S3;7;
PXD000612;20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH4.raw;yes;HeLa;;;Nocodazole;HeLa S3;7;
PXD000612;20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH5.raw;yes;HeLa;;;Nocodazole;HeLa S3;7;
PXD000612;20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH6.raw;yes;HeLa;;;Nocodazole;HeLa S3;7;
PXD000612;20120203_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep1_pH8.raw;yes;HeLa;;;Nocodazole;HeLa S3;7;
PXD000612;20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH11.raw;yes;HeLa;;;Nocodazole;HeLa S3;8;
PXD000612;20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH3.raw;yes;HeLa;;;Nocodazole;HeLa S3;8;
PXD000612;20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH4.raw;yes;HeLa;;;Nocodazole;HeLa S3;8;
PXD000612;20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH5.raw;yes;HeLa;;;Nocodazole;HeLa S3;8;
PXD000612;20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH6.raw;yes;HeLa;;;Nocodazole;HeLa S3;8;
PXD000612;20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH8.raw;yes;HeLa;;;Nocodazole;HeLa S3;8;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr6.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH11.raw;yes;HeLa;;;Nocodazole;HeLa S3;9;
PXD000612;20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH3.raw;yes;HeLa;;;Nocodazole;HeLa S3;9;
PXD000612;20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH4.raw;yes;HeLa;;;Nocodazole;HeLa S3;9;
PXD000612;20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH5.raw;yes;HeLa;;;Nocodazole;HeLa S3;9;
PXD000612;20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH6.raw;yes;HeLa;;;Nocodazole;HeLa S3;9;
PXD000612;20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH8.raw;yes;HeLa;;;Nocodazole;HeLa S3;9;
PXD000612;20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH11.raw;yes;HeLa;;;Nocodazole;HeLa S3;10;
PXD000612;20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH3.raw;yes;HeLa;;;Nocodazole;HeLa S3;10;
PXD000612;20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH4.raw;yes;HeLa;;;Nocodazole;HeLa S3;10;
PXD000612;20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH5.raw;yes;HeLa;;;Nocodazole;HeLa S3;10;
PXD000612;20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH6.raw;yes;HeLa;;;Nocodazole;HeLa S3;10;
PXD000612;20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH8.raw;yes;HeLa;;;Nocodazole;HeLa S3;10;
PXD000612;20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr1.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr2.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr3.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr4.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr5.raw;no;HeLa;;;;HeLa S3;;
PXD000612;20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr6.raw;no;HeLa;;;;HeLa S3;;
