PXD;RAW;cell_line;valid;treated;comment;disease;tissue_type
PXD007906;PSY_NT_CM4_C.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM2_A.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM3_C.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM1_B.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM2_B.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM4_A.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM1_C.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM4_C.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM1_C.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM1_A.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM4_B.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM1_B.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM2_B.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM3_C.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM4_B.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM3_A.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM2_C.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM3_B.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM4_A.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM3_A.raw;HepG2;no;;;;
PXD007906;PSY_NT_CM2_C.raw;HepG2;no;;;;
PXD007906;PSY_Ole_CM3_B.raw;HepG2;no;;;;
;;;;;;;
PXD002842;FASP_2_01.raw;LAN5;yes/no;no;;neuroblastoma;bone marrow
PXD002842;FASP_1_01.raw;LAN5;yes/no;no;;neuroblastoma;bone marrow
PXD002842;FASP_1_02.raw;LAN5;yes/no;no;;neuroblastoma;bone marrow
PXD002842;FASP_A_01.raw;LAN5;yes/no;recombinant A?42;;neuroblastoma;bone marrow
PXD002842;FASP_A_02.raw;LAN5;yes/no;recombinant A?42;;neuroblastoma;bone marrow
PXD002842;FASP_B_02.raw;LAN5;yes/no;recombinant A?42;;neuroblastoma;bone marrow
PXD002842;FASP_2_02.raw;LAN5;yes/no;no;;neuroblastoma;bone marrow
PXD002842;FASP_B_01.raw;LAN5;yes/no;recombinant A?42;;neuroblastoma;bone marrow
;;;;;;;
PXD003594;b1369p080_sample_01_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_01_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_02_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_02_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_03_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_03_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_04_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_04_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_05_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_05_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_06_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_06_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_07_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_07_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_08_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_08_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_09_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_09_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_10_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_10_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_11_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_11_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_12_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_12_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_13_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_13_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_14_a.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p080_sample_14_b.raw;MCF7;yes/no;?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G1_B1_S2.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G1_B2_S10.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G1_B3_S18.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G1_B4_S26.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G2_B1_S3.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G2_B2_S11.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G2_B3_S19.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G2_B4_S27.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G3_B1_S4.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G3_B2_S12.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G3_B3_S20.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_G3_B4_S28.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_parental_B1_S1.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_parental_B2_S9.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_parental_B3_S17.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_DMSO_parental_B4_S25.RAW;MCF7;yes;no?;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G1_B1_S6.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G1_B2_S14.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G1_B3_S22.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G1_B4_S30.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G2_B1_S7.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G2_B2_S15.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G2_B3_S23.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G2_B4_S31.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G3_B1_S8.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G3_B2_S16.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G3_B3_S24.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_G3_B4_S32.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_parental_B1_S5.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_parental_B2_S13.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_parental_B3_S21.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p601_GDC_parental_B4_S29.RAW;MCF7;yes/no;GDC-0941;;breast carcinoma;breast
PXD003594;b1369p65_PP1_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP1.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP2_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP2.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP3_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP3.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP4_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP4.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP5_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP5.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP6_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP6.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP7_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP7.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP8_R.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
PXD003594;b1369p65_PP8.RAW;MCF7;no;;phosphoproteome;breast carcinoma;breast
;;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_01_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_01_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_02_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_02_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_03_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_03_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_04_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_04_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_05_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_05_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_06_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_06_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_07_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_07_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_08_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_08_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_09_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_09_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_10_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_10_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_11_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_11_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_12_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_12_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_13_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_13_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_14_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_14_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_15_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_15_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_16_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_16_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_17_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_17_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_18_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_18_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_19_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_19_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_20_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_20_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_21_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_21_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_22_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_22_B.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_23_A.raw;;;;;;
PXD006035;161021_deSDS_Digested_cells_1SDS_23_B.raw;;;;;;
PXD006035;170322_HEK_RP_01_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_01_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_02_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_02_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_03_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_03_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_04_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_04_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_05_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_05_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_06_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_06_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_07_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_07_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_08_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_08_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_09_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_09_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_10_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_10_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_11_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_11_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_12_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_12_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_13_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_13_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_14_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_14_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_15_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_15_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_16_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_16_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_17_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_17_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_18_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_18_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_19_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_19_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_20_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_20_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_21_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_21_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_22_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_22_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_23_A.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;170322_HEK_RP_23_B.raw;HEK293F;yes;;;Transformed;fetal kidney
PXD006035;RP_Promix15_01.RAW;;;;;;
PXD006035;RP_Promix16_02.RAW;;;;;;
PXD006035;RP_Promix17_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G70_promix_1uL_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G70_promix_1uL_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_1SDS_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_1SDS_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_1SDS_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_2SDS_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_2SDS_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_2SDS_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_5SDS_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_5SDS_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0_5SDS_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0SDS_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0SDS_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_0SDS_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_1SDS_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_1SDS_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_1SDS_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_promix_1ul_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_promix_1ul_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G75_promix_1ul_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G80_promix_1ul_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G80_promix_1ul_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G85_promix_1ul_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G85_promix_1ul_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G85_promix_1ul_03.RAW;;;;;;
PXD006035;WCX_2Traps200um_G90_promix_1ul_01.RAW;;;;;;
PXD006035;WCX_2Traps200um_G90_promix_1ul_02.RAW;;;;;;
PXD006035;WCX_2Traps200um_G90_promix_1ul_03.RAW;;;;;;
;;;;;;;
PXD008719;HMF_TGFB_1a.raw;CAF;yes;no;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_1b.raw;CAF;yes;no;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_2a.raw;CAF;yes;no;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_2b.raw;CAF;yes;no;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_3a.raw;CAF;yes;no;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_3b.raw;CAF;yes;no;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_curcumin_1a.raw;CAF;yes/no;curcumin;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_curcumin_1b.raw;CAF;yes/no;curcumin;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_curcumin_2a.raw;CAF;yes/no;curcumin;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_curcumin_2b.raw;CAF;yes/no;curcumin;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_curcumin_3a.raw;CAF;yes/no;curcumin;;Carcinoma-associated;fibroblast
PXD008719;HMF_TGFB_curcumin_3b.raw;CAF;yes/no;curcumin;;Carcinoma-associated;fibroblast
PXD008719;MCF7_1a.raw;MCF7;yes;no;;breast carcinoma;breast
PXD008719;MCF7_1b.raw;MCF7;yes;no;;breast carcinoma;breast
PXD008719;MCF7_2a.raw;MCF7;yes;no;;breast carcinoma;breast
PXD008719;MCF7_2b.raw;MCF7;yes;no;;breast carcinoma;breast
PXD008719;MCF7_3a.raw;MCF7;yes;no;;breast carcinoma;breast
PXD008719;MCF7_3b.raw;MCF7;yes;no;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_1a.raw;MCF7 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_1b.raw;MCF7 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_2a.raw;MCF7 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_2b.raw;MCF7 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_3a.raw;MCF7 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_3b.raw;MCF7 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_curcumin_1a.raw;MCF7 CAF coculture;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_curcumin_1b.raw;MCF7 CAF coculture;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_curcumin_2a.raw;MCF7 CAF coculture;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_curcumin_2b.raw;MCF7 CAF coculture;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_curcumin_3a.raw;MCF7 CAF coculture;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_cc_HMF_TGFB_curcumin_3b.raw;MCF7 CAF coculture;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_curcumin_1a.raw;MCF7;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_curcumin_1b.raw;MCF7;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_curcumin_2a.raw;MCF7;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_curcumin_2b.raw;MCF7;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_curcumin_3a.raw;MCF7;yes/no;curcumin;;breast carcinoma;breast
PXD008719;MCF7_curcumin_3b.raw;MCF7;yes/no;curcumin;;breast carcinoma;breast
PXD008719;ZR751_1a.raw;ZR751;yes;no;;breast carcinoma;breast
PXD008719;ZR751_1b.raw;ZR751;yes;no;;breast carcinoma;breast
PXD008719;ZR751_2a.raw;ZR751;yes;no;;breast carcinoma;breast
PXD008719;ZR751_2b.raw;ZR751;yes;no;;breast carcinoma;breast
PXD008719;ZR751_3a.raw;ZR751;yes;no;;breast carcinoma;breast
PXD008719;ZR751_3b.raw;ZR751;yes;no;;breast carcinoma;breast
PXD008719;ZR751_cc_HMF_TGFB_1a.raw;ZR751 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;ZR751_cc_HMF_TGFB_1b.raw;ZR751 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;ZR751_cc_HMF_TGFB_2a.raw;ZR751 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;ZR751_cc_HMF_TGFB_2b.raw;ZR751 CAF coculture;yes/no;no;;breast carcinoma;breast
PXD008719;ZR751_cc_HMF_TGFB_3a.raw;ZR751 CAF coculture;yes/no;no;;breast carcinoma;breast
