accession	title	projectDescription	publicationDate	submissionType	numAssays	species	tissues	ptmNames	instrumentNames	projectTags
PXD006517	Analysis of human glomeruli of a patient with NPHS1 mutation - part 1	We analyzed the proteome of glomeruli obtained by sieving.	2018-06-28	PARTIAL	0	['Homo sapiens (Human)']	['kidney']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD009118	Secretome of trophoblast organoids	Characterisation of the secretome of placental organoids using L	2018-11-29	COMPLETE	1	['Homo sapiens (Human)']	['trophoblast']	['Carbamidomethyl', 'Amidated', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	['Biological']
PXD003971	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - secreted proteins of dexamethasone-treated inflammatory stimulated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	6	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD006805	In-depth protein profiling of cytology samples in urothelial carcinoma	Urine cytologic examination is a widely used primary pathologic 	2018-07-04	PARTIAL	0	['Homo sapiens (Human)']	['urinary bladder']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD001325	Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - tumor-distant tissue sections	Breast cancer is still the most common type of cancer in women; 	2014-09-23	COMPLETE	6	['Homo sapiens (Human)']	['breast']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD000533	CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3	The fresh cells as described above were harvested and lysed in b	2013-12-16	COMPLETE	96	['Homo sapiens (Human)']	['liver']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q-Exactive']	['Chromosome-centric Human Proteome Project (C-HPP)', 'Human Proteome Project']
PXD003963	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - secreted proteins of untreated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	6	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD003410	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - secreted proteins of untreated endothelial cells	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	6	['Homo sapiens (Human)']	['umbilical vein']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD003966	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - cytoplasmic proteins of dexamethasone-treated inflammatory stimulated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	4	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD004510	Mapping and Quantification of Brain Protein O-GlcNAcylation in Alzheimer’s Disease	Comprehensive, quantitative proteomics analysis of protein O-Glc	2017-09-03	COMPLETE	50	['Homo sapiens (Human)']	['cerebral gray matter']	['Carbamidomethyl', 'Oxidation', 'TMT6plex', 'AMTzHexNAc2']	['LTQ Orbitrap Velos']	[]
PXD001418	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - nuclear proteins of inflammatory stimulated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	7	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD006576	Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of young B cells	Chronic lymphocytic leukemia (CLL), the most common type of leuk	2017-12-05	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'residues isobaric at 128.058578 Da']	['Q Exactive']	['Biological', 'Biomedical']
PXD000445	Proteomic profiling of colorectal adenomas	Colorectal adenomas are cancer precursor lesions of the large bo	2014-04-03	COMPLETE	11	['Homo sapiens (Human)']	['colon']	['iTRAQ8plex-116 reporter+balance reagent acylated residue', 'iTRAQ8plex-114 reporter+balance reagent O4&apos;-acylated tyrosine', 'iTRAQ8plex-114 reporter+balance reagent acylated N-terminal', 'iTRAQ8plex-114 reporter+balance reagent N6-acylated lysine', 'monohydroxylated residue', 'methylthiolated residue']	['LTQ Orbitrap Velos']	['Highlighted', 'Biomedical']
PXD008217	Proteomic Evidence of Ancient Mongolian Dietary Dairy Sources in Ancient Dental Calculus	To investigate dairy consumption in ancient Mongolia, we analyse	2018-10-19	COMPLETE	28	['Homo sapiens (Human)']	['dental plaque']	['Carbamidomethyl', 'Oxidation', 'Gln->pyro-Glu', 'Deamidated']	['Q Exactive']	['Biological']
PXD001359	Direct evidence of milk consumption from ancient human dental calculus, northern southwest Asia	This study investigated the consumption of milk products in the 	2015-02-26	COMPLETE	7	['Homo sapiens (Human)']	['dental plaque']	['Carbamidomethyl', 'Acetyl', 'Oxidation', 'Gln->pyro-Glu']	['Q Exactive']	['Metaproteomics', 'Technical']
PXD008311	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles (exosomes) released from glioblastoma cells	Glioblastoma multiforme (GBM) is a highly aggressive and heterog	2018-07-30	COMPLETE	6	['Homo sapiens (Human)']	['brain']	['Carboxymethyl', 'Oxidation', 'Deamidated']	['Orbitrap Fusion']	[]
PXD008493	Assessment of sample preparation bias in mass spectrometry-based proteomics	For mass spectrometry-based proteomics, the selected sample prep	2018-04-05	COMPLETE	80	['Homo sapiens (Human)']	['palatine tonsil', 'parotid gland', 'nasal polyp']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Chromosome-centric Human Proteome Project (C-HPP)', 'Technical', 'Human Proteome Project']
PXD001326	Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - bulk tumor tissue	Breast cancer is still the most common type of cancer in women; 	2014-09-23	COMPLETE	7	['Homo sapiens (Human)']	['breast']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD000004	Identification and quantification of human postmortem frontal cortex proteome with a SILAM mouse brain standard	Prefrontal cortex tissue slices from a cognitively and neurpatho	2012-12-10	COMPLETE	5	['Homo sapiens (Human)']	['brain']	['iodoacetamide derivatized residue', 'monohydroxylated residue', '6x(13)C labeled residue']	['QExactive', 'Q Exactive']	[]
PXD003415	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - nuclear proteins of inflammatory stimulated fibroblasts	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	12	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD001416	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - Cytoplasmic Proteins of Untreated Cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD003215	A Novel Method for Isolating Whole Protein from Human Cranial Bone	The presence of the extracellular matrix within human bone limit	2016-10-05	COMPLETE	10	['Homo sapiens (Human)']	['cranium']	['formylated residue', 'ubiquitination signature dipeptidyl lysine', 'iodoacetamide derivatized residue', 'phosphorylated residue', 'monohydroxylated residue']	['Q Exactive']	['Technical']
PXD005733	Comparison of Lung Cancer Proteome Profiles 4: DDA	The goal of this project is to compare label free quantification	2017-02-16	COMPLETE	16	['Homo sapiens (Human)']	['lung']	['Carbamidomethyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD001422	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - cytoplasmic proteins of dexamethasone-treated inflammatory stimulated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	6	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD003412	Contribution of primary human fibroblasts and endothelial cells to the hallmarks of inflammation as determined by proteome profiling - cytoplasmic proteins of untreated fibroblasts	While the most important players of inflammation have been well 	2016-04-04	COMPLETE	12	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'residues isobaric at 113.084064 Da', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biological', 'Biomedical']
PXD003965	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - secreted proteins of inflammatory stimulated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	6	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD008440	The response to neoadjuvant chemoradiotherapy to 5-fluorouracil in locally advanced colorectal cancer patients: a predictive proteomic signature.	Background: Colorectal cancer is the third most common and the f	2018-06-25	PARTIAL	0	['Homo sapiens (Human)']	['colon']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Q Exactive']	['Biomedical']
PXD010271	Individual variability of protein expression in human tissues	A retrospective analysis of proteomics data from nine different 	2018-10-22	COMPLETE	252	['Homo sapiens (Human)']	['temporal lobe', 'substantia nigra', 'ovary', 'blood plasma', 'liver', 'pancreas', 'blood serum', 'cerebrospinal fluid', 'monocyte']	['Carbamidomethyl', 'Oxidation']	['LTQ Orbitrap Velos', 'Q Exactive']	[]
PXD003967	Eicosadomics, proteomics and metabolomics of inflammatory stimulated human fibroblasts reveals specific functions related to chronic inflammation - nuclear proteins of dexamethasone-treated inflammatory stimulated cells	Fibroblasts have only recently been identified as important effe	2017-02-22	COMPLETE	4	['Homo sapiens (Human)']	['skin']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD005477	Quantitative Proteomics Reveals Specialized Wiring of Signaling Pathways that Protects Human Regulatory T Cell Identity - 5 populations ex vivo	Regulatory CD4+ T cells (Tregs) are functionally distinct from c	2018-05-18	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Orbitrap Fusion ETD']	['Biomedical']
PXD001524	Human testicular matrix	ITo derive a scaffold from human testis for the purpose of tissu	2015-01-30	COMPLETE	1	['Homo sapiens (Human)']	['testis']	['Carbamidomethyl', 'Oxidation', 'Deamidated']	['LTQ Orbitrap']	['Biomedical']
PXD009343	ZIKV-infected human NPCs LC-MS	In this study, proteomic analysis on ZIKV-infected primary human	2018-06-25	PARTIAL	0	['Homo sapiens (Human)']	['brain']	['No PTMs are included in the dataset']	['Q Exactive']	['Biomedical']
PXD007846	A systematic evaluation of the use of human plasma and serum for mass spectrometry-based shotgun proteomics - commercial pooled samples	Over the last two decades, EDTA-plasma has been used as the pref	2018-02-27	COMPLETE	36	['Homo sapiens (Human)']	['blood plasma', 'blood serum']	['Carbamidomethyl', 'Dehydrated', 'Ammonia-loss', 'Acetyl', 'Oxidation', 'Deamidated', 'TMT6plex']	['Orbitrap Fusion Lumos']	['Technical']
PXD006176	Syntaxin-3 is a Weibel-Palade body localized SNARE protein that regulates Von Willebrand factor secretion from endothelial cells	Endothelial cells store von Willebrand factor (VWF) in rod-shape	2018-07-04	PARTIAL	0	['Homo sapiens (Human)']	['blood']	['iodoacetamide derivatized residue', 'monohydroxylated residue', 'acetylated residue']	['Orbitrap Fusion ETD']	['Biological']
PXD001417	Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - secreted proteins of untreated cells	Inflammation is a physiological process involved in many disease	2014-11-04	COMPLETE	3	['Homo sapiens (Human)']	['blood']	['Carbamidomethyl', 'Acetyl', 'Oxidation']	['Q Exactive']	['Biomedical']
PXD009645	Revealing the immune perturbation of black phosphorus nanomaterials to macrophages by understanding the protein corona	The increasing number of biological applications for black phosp	2018-05-18	PARTIAL	0	['Homo sapiens (Human)']	['blood plasma']	['No PTMs are included in the dataset']	['Q Exactive']	['Biological']
PXD003666	TFMI-3 plasma pull-down	MASP-3 is the third protease of the lectin pathway of the comple	2016-08-24	COMPLETE	6	['Homo sapiens (Human)']	['blood plasma']	['Carboxymethyl', 'Oxidation', 'Deamidated']	['LTQ Orbitrap']	['Biological']
PXD006465	Human Testis LC-MS/MS	Missing proteins(MPs) investigation is one of the critical missi	2017-10-09	COMPLETE	9	['Homo sapiens (Human)']	['testis']	['iodoacetamide derivatized residue', 'monohydroxylated residue']	['Q Exactive HF']	['Chromosome-centric Human Proteome Project (C-HPP)', 'Human Proteome Project', 'Biological']
PXD010786	Functional proteomics of midostaurin in lung cancer cells: IMAC Phosphoproteomics	Lung cancer is associated with high prevalence and mortality, an	2018-09-24	COMPLETE	24	['Homo sapiens (Human)']	['lung']	['Carbamidomethyl', 'Phospho', 'Oxidation', 'TMT6plex']	['Q Exactive']	['Cancer (B/D-HPP)', 'Biological']
