accession,url,title,projectDescription,species,tissues,ptms,instrumentNames,projectTags,experimentTypes,quantificationMethods,keywords,dataProcessingProtocol,submissionDate,references
PXD006095,https://www.ebi.ac.uk/pride/ws/archive/project/PXD006095,Comparison of Targeted MS Methods in Activity-Based Protein Profiling 1: DDA,"To examine the different mass spectrometry approaches to monitoring kinases after enrichment with desthiobiotinylating probes for activity-based protein profiling (ABPP), two experiments were performed with H1993 lung cancer cells.  First, cell lysates were pre-treated with DMSO vehicle, dasatinib, or erlotinib prior to addition of the ATP probe for ABPP to compare the differences in kinase labeling associated with examples of kinase inhibitors that vary in target selectivity.  Then, to examine changes in cellular signaling, H1993 cells were treated with vehicle controls, BEX-235 (PI3K inhibitor), or Crizotinib.  LC-MS/MS using data dependent acquisition, data-independent acquisition (pSMART), parallel reaction monitoring, and selected reaction monitoring (or multiple reaction monitoring) mass spectrometry were used to detect and relatively quantify the desthiobiotinylated kinase peptides.","[""Homo sapiens (Human)""]","[""lung""]","[{""ptm"":""No PTMs are included in the dataset""}]","[""Q Exactive""]","[""Technical""]","[""Affinity purification coupled with mass spectrometry proteomics""]","[""TIC""]","DDA, DIA, PRM, SRM/MRM, Activity-Based Protein Profiling, Lung Cancer","Data Processing: For PRIDE upload, LC-MS/MS DDA data were searched against human entries in UniProt (2016_07) with Mascot v.2.5.1.  Enzyme specificity was set to fully tryptic peptides with up to 3 missed cleavages (due to the lysine desthiobiotinylation); the fragmentation model was selected as ESI-QUAD.  Variable modifications included carbamidomethyl-cysteine, desthiobiotinyl-lysine, and oxidized methionine.  Peptide mass tolerance was set to +/-15 ppm; fragment ion tolerance was set to +/-0.05 Th. The spectral library used for DIA analysis was generated using DDA files from many lung cancer cell lines. DIA data files were analyzed using Pinnacle software (OPTYS). DDA LC-MS/MS analysis was carried out using Andromeda and MaxQuant for peptide identification and quantification searching data against human entries in UniProt (Version or date of download) with the following dynamic modifications: methionine oxidation, cysteine carbamidomethylation, and lysine desthiobiotinylation (+196.121178 Da).  Spiked PRTC peptides were assessed for internal QC metrics: retention time stability and ion signal consistency. Peptides lacking peaks in the control samples (DMSO) were removed from the dataset.  Statistical Analysis: Raw peak area values for DDA and DIA datasets were processed to remove minor variability using iterative rank order normalization (IRON), implemented in Galaxy. Statistical analysis and data visualization was performed using R programming in R Studio. The following R packages were used for data processing and visualization: ggplot243, dplyr44, reshape245, LSD46, VennDiagram47, and stringr.  In DIA and DDA datasets, all peptides with less than 3 values across the dataset (n = 18) or that were not seen in the control (DMSO) sample were removed. Peptides with a score less than 3 from the Pinncle software, meaning inadequate MS/MS data for identification or poor MS1 ion signal that was not sufficient for quantification, were removed from DIA datasets. Retention time correlations were also used to remove outliers from the datasets. Concordance across quantitative analysis methods was assessed between peak areas for each data point (protein, peptide, treatment) computing Pearson’s correlation coefficient (R).   Relative quantification (without stable-isotope labeled standards) was performed by log2 transforming the peak areas and the calculating fold changes of inhibitor treat-ment compared to DMSO vehicle controls. If a DMSO peak area was missing or deviated by more than 4x the average peak area across the control replicates, the DMSO peak area for a different technical replicate was used to calculate the fold change (5-15% of peptides, depending on the dataset). Standard error (SE), 95% confidence intervals, and boxplot statistics were calculated for each drug treatment MRM, PRM, and DIA datasets. Significance between SE boxplots was determined using the Wilcoxon Rank-Sum Test for data that does not fit normal distribution.  Significance of log2-fold change values was determined using the student’s one-tailed t-test when identifying proteins or peptides that are down-regulated in response to treatment (p < 0.05). To identify peptides that were differentially regulated (up or down), a two-tailed t-test was used. Forest plots show 95% confidence intervals for all peptides observed across MRM, PRM, and DIA that had a fold change of less than -2 and a p-value ≤ 0.05 in at least one MS quantification platform.",2017-03-15,"[[""PMID:29164889"",""DOI:10.1021/acs.jproteome.7b00329""]]"
PXD004219,https://www.ebi.ac.uk/pride/ws/archive/project/PXD004219,Identification of protein biomarkers for pneumococcal meningitis in children C4PR_LIV ,"Bacterial meningitis is usually fatal without treatment. Prompt and accurate diagnosis coupled with the timely administration of parenteral antibiotics is necessary in order to save lives. We used label-free mass spectrometry based quantitative proteomics to identify specific protein signatures in cerebrospinal fluid from Malawian children with Streptococcus pneumoniae infection, the leading cause of bacterial meningitis in children, elderly and people infected with Human Immunodeficiency Virus. Samples were analysed in two independent cohorts (cases and controls, n=12 for the discovery cohort and n=16 for the verification cohort). The protein profiles clearly discriminated cases and controls. Proteins involved in the immune response and exosome cell signaling were significantly enriched in the infected samples. Several S. pneumoniae membrane proteins were identified suggesting these as potential therapeutic targets. For both cohorts, over 200 human proteins were up and down-regulated in children with confirmed S. pneumoniae infection in comparison with controls. Compiling proteins up- and down- regulated in both discovery and verification cohorts, we generated a comprehensive list of over 140 proteins from which diagnostic biomarkers could be nominated. For a panel of five selected proteins (cathelicidin, ceruloplasmin, myeloperoxidase, cystatin C and protein S100A8/S100 A9), we additionally verified the label-free results by automated quantitative western blot immunoassays (Simple Western™), with excellent agreement between the two experimental approaches. The proteins identified in our study could form the basis of development of a biomarker panel for rapid diagnosis. Our results could lead to the development of point-of-care assays to inform diagnosis, and to nominate new targets for drugs and vaccines to improve disease management and consequently to enhance the prognosis of children with bacterial meningitis.","[""Homo sapiens (Human)""]","[""cerebrospinal fluid""]","[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""}]","[""LTQ Orbitrap Velos""]","[""Biological"",""Biomedical""]","[""Shotgun proteomics""]",,"bacterial meningitis, Streptococcus pneumoniae, protein quantification",We use the Report builder in mascot to compile identifications using a threshold of at least 2 significant peptides and FDR <1%.,2016-05-24,"[[""DOI:10.1038/s41598-017-07127-6"",""PMID:28765563""]]"
PXD009295,https://www.ebi.ac.uk/pride/ws/archive/project/PXD009295,I/L-discrimination by MS3 of dimethylated peptides,"A novel mass spectrometric method for discriminating isoleucine and leucine by MS3. The dimethylation of peptide N-termini leads to intense a1 ions in CID and MS3 fragmentation of the isoleucine/leucine a1-ion leads to spectra with fragments that can discriminate between the two isomers.  The method was applied to two antibodies in combination with a set of protease treatments using trypsin, thermolysin, chymotrypsin and pepsin to generate peptides exposing N-terminal I/L residues.","[""Homo sapiens (Human)""]",,"[{""ptm"":""Dimethyl"",""UNIMOD"":""36""},{""ptm"":""Dimethyl:2H(4)"",""UNIMOD"":""199""},{""ptm"":""Glu-\u003epyro-Glu"",""UNIMOD"":""27""},{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Deamidated"",""UNIMOD"":""7""}]","[""Orbitrap Fusion Lumos""]","[""Technical""]","[""Shotgun proteomics""]",,"LC-MS, isoleucine, leucine, I/L-discrimination, Orbitrap Fusion, MS3, Antibody",MS raw files were processed with Proteome Discoverer (version 2.0). The MS2 peak lists were searched using Mascot (v. 2.4.0) against a FASTA database containing the SiluMab and Trastuzumab antibody protein sequences and the protease sequences (10 entries). Carbamidomethylation of cysteines and light/medium dimethylation of N-termini and lysine residues were set as fixed modifications and oxidation of methionine and deamidation of asparagine as variable modifications. Enzyme specificity was set as None and peptide identification was performed with a precursor mass tolerance of 10 p.p.m. and fragment mass tolerance of 0.05 Th.,2018-03-22,
PXD009498,https://www.ebi.ac.uk/pride/ws/archive/project/PXD009498,SILAC APMS analysis of CCDC103 interactome,"To get insights into the function of CCD103, we characterized its partners by performing a proteomic analysis in human cells. We fused this domain to GFP and stably expressed it in HeLa cells using site-specific integration with the Flp-In system. Following differential labeling of GFP-CCDC103 and control cells with isotopically labelled amino-acids (SILAC), whole cell extracts were immuno-precipitated (IP) with anti-GFP antibodies and immunoprecipitates were subjected to quantitative mass-spectrometry analysis.  SILAC labels: K0R0 control Hela H9 vs K4R6 x-FLAG- GFP-CCDC103","[""Homo sapiens (Human)""]","[""HeLa cell""]","[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""isotope labeled residue"",""UNIMOD"":""259""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""}]","[""LTQ Orbitrap Elite""]","[""Biological""]","[""Affinity purification coupled with mass spectrometry proteomics""]","[""SILAC""]","Human, Hela cells, SILAC, APMS, LTQ-Orbitrap","Data were acquired using the Xcalibur software v2.2. Protein identification and quantitation were performed using the program MaxQuant (version 1.5.2.8; http://www.maxquant.org/). Few parameters were not default: database: human reference proteome set (canonical isoforms downloaded from Expasy on May 29th 2017); enzyme specificity trypsin/P; variable modifications: methionine oxidation and protein N-Acetylation; Fixed modifications: Cysteine carbamidomethylation; MS/MS tolerance: 0.5 Da; False Discovery Rate (FDR): 1%. In addition to the FDR, proteins were considered to be identified if they had at least two peptides including one unique/Razor peptide and they were considered quantified if they had at least one quantified SILAC pairs. Proteins labeled as REV (non-real proteins from the reverse database) and CONT (contaminants) were automatically discarded, as well as proteins that did not show any SILAC M/L, H/L and H/M ratio. B Significance calculation were done with the software Perseus v1.4.2 as previously described 59 to highlight statistically significant protein ratios (pvalue<0.05).",2018-04-13,"[[""DOI:null"",""PMID:5974087""]]"
PXD000653,https://www.ebi.ac.uk/pride/ws/archive/project/PXD000653,"CSF proteome mapping: Human cerebrospinal fluid LC-MS/MS, Part 3","3 mL CSF from a pool of 21 neurologically healthy donors was in-solution trypsin digested followed by Solid-phase enrichment of N-linked glycopeptides (SPEG) using hydrazide modified beads. Glycopeptides were further fractionated into 20 fractions by mixed-mode reversed phase anion exchange (MM(RP-AX) using a Promix MP column. Each fraction was analyzed separately by LC-MS/MS on an Orbitrap Velos Pro mass spectrometer. Resulting data was searched using SeachGui, summarized in PeptideShaker and exported to the CSF-PR.","[""Homo sapiens (Human)""]","[""cerebrospinal fluid""]","[{""ptm"":""2-pyrrolidone-5-carboxylic acid (Glu)"",""UNIMOD"":""27#E""},{""ptm"":""iodoacetamide derivatized amino-terminal residue"",""UNIMOD"":""4#N-term""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""deamidated residue"",""UNIMOD"":""7""},{""ptm"":""acetylated residue"",""UNIMOD"":""1""},{""ptm"":""2-pyrrolidone-5-carboxylic acid (Gln)"",""UNIMOD"":""28#Q""}]","[""LTQ Orbitrap"",""instrument model""]","[""Biomedical""]","[""Bottom-up proteomics""]",,"Cerebrospinal fluid, Homo Sapiens, LC-MS/MS",Not available,2013-12-18,"[[""DOI:null"",""PMID:25038066""]]"
PXD009350,https://www.ebi.ac.uk/pride/ws/archive/project/PXD009350,Proteomics at large: Discovery and replication of plasma proteomic biomarkers in independent cohorts - Overweight and obese patients of the Weight Management Clinical program of The Ottawa Hospital,"Holistic human proteome maps are expected to complement comprehensive profile assessment of health and disease phenotypes. However, methodologies to analyze proteomes in human tissue or body fluid samples at relevant scale and performance are still limited in clinical research. Their deployment and demonstration in large enough human populations are even sparser. In the present study, we have characterized and compared the plasma proteomes of two large independent cohorts of obese and overweight individuals using shotgun MS-based proteomics. One cohort comes from a Canadian single-center clinical weight management program while the other one belongs to a multicenter pan-European weight loss study (i.e., the DiOGenes study for which MS proteomic data have been already deposited to the ProteomeXchange Consortium with the dataset identifier PXD005216).  The MS proteomic data deposited herein corresponds to the cohort coming from the Weight Management Clinical program of The Ottawa Hospital.","[""Homo sapiens (Human)""]","[""blood plasma""]","[{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Dehydrated"",""UNIMOD"":""23""},{""ptm"":""Ammonia-loss"",""UNIMOD"":""385""},{""ptm"":""Acetyl"",""UNIMOD"":""1""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Deamidated"",""UNIMOD"":""7""},{""ptm"":""TMT6plex"",""UNIMOD"":""737""}]","[""LTQ Orbitrap Elite""]","[""Biological"",""Biomedical""]","[""Shotgun proteomics""]","[""TMT""]","Biomarker, Mass spectrometry, Plasma association map, Proteomics, Obesity, Overweight, Replication","The UniProtKB/Swiss-Prot database (08/12/2014 release) including the bovine β-lactoglobulin (LACB) sequence (20194 sequences in total) was used for protein identification. Mascot 2.4.2, (Matrix Sciences) was used as search engine. Variable amino acid modifications were oxidized methionine, deamidated asparagine/glutamine, and sixplex TMT-labeled peptide amino terminus. Sixplex TMT-labeled lysine was set as fixed modifications as well as carbamidomethylation of cysteine. Trypsin was selected as the proteolytic enzyme, with a maximum of two potential missed cleavages. Peptide and fragment ion tolerances were set to, respectively, 10 ppm and 0.02 Da.  All Mascot result files were loaded into Scaffold Q+ 4.4.3 (Proteome Software) to be further searched with X! Tandem. Both peptide and protein false discovery rates were fixed at 1%, with a two unique peptide criterion to report protein identification. Relative quantitative protein values were calculated with respect to their measurements in the biological references. The biological references were identical pools of individual plasma samples.",2018-03-28,"[[""DOI:10.1038/s41598-018-35321-7"",""PMID:30451909""]]"
PXD008674,https://www.ebi.ac.uk/pride/ws/archive/project/PXD008674,Plasticity of inter-protein contacts confers selectivity in ligand induced protein degradation dataset 2,"Heterobifunctional small molecule degraders that induce protein degradation through ligase-mediated ubiquitination have shown considerable promise as a new pharmacological modality. However, we currently lack a detailed understanding of the molecular basis for target recruitment and selectivity, which is critically required to enable rational design of degraders. Here we utilize comprehensive characterization of the ligand dependent CRBN/BRD4 interaction to demonstrate that binding between proteins that have not evolved to interact is plastic. Multiple X-ray crystal structures show that plasticity results in several distinct low energy binding conformations, which are selectively bound by ligands. We demonstrate that computational protein-protein docking can reveal the underlying inter-protein contacts and inform the design of the first BRD4 selective degrader that can discriminate between highly homologous BET bromodomains. Our findings that plastic inter-protein contacts confer selectivity for ligand-induced protein dimerization provide a conceptual framework for the development of heterobifunctional ligands.","[""Homo sapiens (Human)""]",,"[{""ptm"":""No PTMs are included in the dataset""}]","[""Orbitrap Fusion Lumos""]","[""Biological""]","[""Shotgun proteomics""]","[""TMT""]","Ubiquitin, human, ligase, protac, degrader, cereblon","Proteome Discoverer 2.1 (Thermo Fisher) was used to for .RAW file processing and controlling peptide and protein level false discovery rates, assembling proteins from peptides, and protein quantification from peptides. MS/MS spectra were searched against a Uniprot human database (September 2016) with both the forward and reverse sequences. Database search criteria are as follows: tryptic with two missed cleavages, a precursor mass tolerance of 50 ppm, fragment ion mass tolerance of 1.0 Da, static alkylation of cysteine (57.02146 Da), static TMT labelling of lysine residues and N-termini of peptides (229.16293 Da), and variable oxidation of methionine (15.99491 Da). TMT reporter ion intensities were measured using a 0.003 Da window around the theoretical m/z for each reporter ion in the MS3 scan. Peptide spectral matches with poor quality MS3 spectra were excluded from quantitation (< summed signal-to-noise across 10 channels and < 0.5 precursor isolation specificity). Reporter ion intensities were normalized and scaled using in house scripts and the R framework. Statistical analysis was carried out using the limma package within the R framework.",2018-01-15,
PXD002080,https://www.ebi.ac.uk/pride/ws/archive/project/PXD002080,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 1","The goal of the CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue is to analyze the proteomes of TCGA tumor samples that have been comprehensively characterized by molecular methods. Ninety-five TCGA tumor samples were used in this study.","[""Homo sapiens (Human)""]","[""rectal cancer cell"",""colonic cancer cell""]","[{""ptm"":""Glu-\u003epyro-Glu"",""UNIMOD"":""27""},{""ptm"":""Carbamidomethyl"",""UNIMOD"":""4""},{""ptm"":""Oxidation"",""UNIMOD"":""35""},{""ptm"":""Gln-\u003epyro-Glu"",""UNIMOD"":""28""},{""ptm"":""Deamidated"",""UNIMOD"":""7""}]","[""LTQ Orbitrap Velos""]","[""Biomedical"",""CPTAC Consortium""]","[""Shotgun proteomics""]",,CPTAC CPTAC-TCGA_Colorectal_Cancer CPTAC-VU,Processed using the CPTAC Common Data Analysis Pipeline at NIST. Peptide identifications from MSGF+. Filtered at 1% FDR. See associated protocols and methods documents at https://cptac-data-portal.georgetown.edu.,2015-04-20,"[[""PMID:25043054"",""DOI:10.1038/nature13438""]]"
PXD000760,https://www.ebi.ac.uk/pride/ws/archive/project/PXD000760,SILAC study on the effect of trans fatty acids in HepG2 cells,The response of HepG2-SF cells exposed to 100 µM fatty acids during 7 days was investigated using stable isotope labeling by amino acids in cell culture (SILAC) for analysis of the full proteome,"[""Homo sapiens (Human)""]","[""liver"",""HepG2 cell""]","[{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""6x(13)C labeled residue"",""UNIMOD"":""188""},{""ptm"":""6x(13)C,4x(15)N labeled L-arginine"",""UNIMOD"":""267""},{""ptm"":""S-carboxamidoethyl-L-cysteine"",""UNIMOD"":""24#C""}]","[""TripleTOF 5600""]","[""Biological"",""Biomedical""]","[""Shotgun proteomics""]","[""SILAC""]","HepG2, elaidic acid, vaccenic acid, SILAC","All raw MS files were processed using Mascot Distiller 2.5.0 (Matrix Science).The MS data obtained by the analysis of gel lanes were merged into a multi-file-project using the default settings from the ABSciex_5600.opt file except that the MS/MS Peak Picking “Same as MS Peak Picking” was deselected and “Fit method” was set to “Single Peak”. After peak picking all scans, the data were searched against Swiss-Prot Homo Sapiens database (version 2013_11/12) using Mascot v. 2.3.02 (Matrix Science). The Search parameters allowed one missed trypsin cleavage site, propionamide as a fixed modification, and oxidation of methionine as a variable modification. The mass accuracy of the precursor and product ions were set to 10 ppm and 0.2 Da, respectively, the instrument setting was specified as ESI-QUAD-TOF, and a significance threshold of 0.01 was used. The default SILAC R+6 R+10 [MD] quantitation protocol was selected using a significance threshold at 0.01, matched rho was 0.7, XIC threshold was 0.1, isolated precursor threshold was set at 0.5 and normalization set to median.",2014-02-17,"[[""DOI:null"",""PMID:26628894""]]"
PXD005190,https://www.ebi.ac.uk/pride/ws/archive/project/PXD005190,"DDX54 regulates transcriptome dynamics during DNA damage response, DDX54 co-IP","The cellular response to genotoxic stress is a well-characterized network of DNA surveillance pathways. The contribution of posttranscriptional gene regulatory networks to the DNA damage response (DDR) has not been extensively studied. Here, we systematically identified RNA-binding proteins differentially interacting with polyadenylated transcripts upon exposure of human breast carcinoma cells to ionizing irradiation (IR). Interestingly, more than 260 proteins showed increased binding to poly(A) RNA in IR-exposed cells and were comprised of many nucleolar proteins. The functional analysis of DDX54, a candidate genotoxic stress responsive RNA helicase, revealed that DDX54 is an immediate-to-early DDR regulator required for the splicing efficacy of its target IR-induced pre-mRNAs. Upon IR exposure, DDX54 acts by increased interaction with a well defined class of pre-mRNAs which harbor introns with weak acceptor splice sites, as well as by protein-protein contacts within components of U2 snRNP and spliceosomal B complex, resulting in lower intron retention and higher processing rates of its target transcripts. Since DDX54 promotes survival after exposure to IR its expression and/or mutation rate may impact DDR-related pathologies. Our work indicates the relevance of many uncharacterized RBPs potentially involved in the DDR.","[""Homo sapiens (Human)""]",,"[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""}]","[""Q Exactive""]","[""Biological"",""Biomedical""]","[""Shotgun proteomics""]",,"Human, RBPome, DNA damage, co-IP","All raw data were analyzed and processed by MaxQuant (v1.3.0.5 or 1.5.1.2). Search parameters included two missed cleavage sites, cysteine carbamidymethyl fixed modification, and variable modifications including methionine oxidation and protein N-terminal acetylation. The peptide mass tolerance was 6 ppm and the MS/MS tolerance was 20 ppm. Database search was performed with against UniProt/Swiss-Prot human database (downloaded on June 2012) with common serum contaminants and enzyme sequences. False discovery rate (FDR) was set to 1% at peptide and at protein level.",2016-10-19,"[[""PMID:28596291"",""DOI:10.1101/gr.218438.116""]]"
PXD006035,https://www.ebi.ac.uk/pride/ws/archive/project/PXD006035,On-line desalting of sodium dodecyl sulfate in mass spectrometry,We tested here the ability of weak cation exchange (WCX) stationary phase to retain positively charged proteinaceous whilst negatively charged SDS molecules can be washed out from the capillary during on-line desalting.  This novel chromatographic method named as online desalting of sodium dodecyl sulfate  (online deSDS) satisfactorily allows for the first time the unforeseen straightforward LC-MS/MS analysis of SDS-containing samples without the requirement of any additional pre-processing step.,"[""Homo sapiens (Human)""]","[""cell culture""]","[{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""},{""ptm"":""deamidated residue"",""UNIMOD"":""7""}]","[""LTQ FT"",""LTQ Orbitrap Velos""]","[""Technical""]","[""Shotgun proteomics""]",,"Sodium dodecyl sulfate, SDS, LC-MS/MS, mass spectrometry, weak cation exchange, WCX","Raw MS/MS data was converted into Mascot Generic Format (mgf) files with Thermo Proteome Discoverer (version 1.4.1.14, Thermo Fisher Scientific Inc., Bremen, Germany). An in-house Mascot server (version 2.3.02, Matrix Science, Boston, MA, USA) was used to perform database search with MS of 10 ppm and MS/MS tolerance of 0.8 Da for the analysis of data obtained using the LTQ-FT Ultra mass spectrometer and 0.05 Da for the analysis of data obtained using the Orbitrap Elite mass spectrometer. Carbamidomethylation at Cys was set as a fixed modification. Oxidation at Met and deamidation at Asn and Glu were considered as variable modifications. For the analysis of the data obtained from the protein mixture a small tailored database was constructed. The UniProt human database downloaded on July 25, 2016, with 70849 sequences and 23 964 784 residues, was used for the protein database search of the HEK 293F cell proteome.",2017-04-21,"[[""DOI:10.1021/acs.jproteome.8b00156"",""PMID:29888605""]]"
PXD009366,https://www.ebi.ac.uk/pride/ws/archive/project/PXD009366,protein-protein interaction dataset TNFR1-mediated NFkB signaling,"Most MS-based approaches to study protein-protein interactions require homogenization of the cells, which leads to loss of the cellular structures, dilution of proteins and formation of incorrect protein complexes. Furthermore, several purification and washing steps are needed, which can lead to the loss of (weaker) interactions. We recently developed a new method for studying protein complexes without interfering with the cellular integrity; Virotrap. By trapping and purifying protein complexes in virus-like particles, we avoid cell lysis and preserve intact complexes during the purification process.  Here, we present a protein-protein interaction network of the TNFR1-induced NF-κB and apoptosis pathway, using TRADD, FADD, TRAF2, cIAP1, NEMO, TANK, HOIL1, HOIP, SHARPIN, A20, ABIN1 and ABIN2 as baits in Virotrap. Virotrap was applied both under resting conditions as well as upon TNF stimulation, which reveals dynamic interactions in TNFR1-induced NF-κB signaling. The found interactions compromise both known interactors as well as novel ones that might serve as valuable resource for further unraveling the molecular mechanisms controlling inflammation, cellular proliferation and cell death.","[""Homo sapiens (Human)""]","[""cell culture""]","[{""ptm"":""Oxidation"",""UNIMOD"":""35""}]","[""Q Exactive""]","[""Biological""]","[""Affinity purification coupled with mass spectrometry proteomics""]",,"TNF, NFkB, Virotrap, protein-protein interactions","The obtained peptide mixtures were introduced into an LC-MS/MS system through an Ultimate 3000 RSLC nano LC (Thermo Fisher Scientific) in-line connected to a Q Exactive mass spectrometer (Thermo Fisher Scientific). The sample mixture was first loaded on a trapping column (made in-house, 100 μm internal diameter (I.D.) × 20 mm, 5 μm beads C18 Reprosil-HD, Dr. Maisch). After flushing from the trapping column, the sample was loaded on an analytical column (made in-house, 75 μm I.D. × 150 mm, 5 μm beads C18 Reprosil-HD, Dr. Maisch) packed in the needle (PicoFrit SELF/P PicoTip emitter, PF360-75-15-N-5, New Objective). Peptides were loaded with loading solvent (0.1% TFA in water/ACN, 98/2 (v/v)) and separated with a linear gradient from 98% solvent A’ (0.1% formic acid in water) to 40% solvent B′ (0.1% formic acid in water/ACN, 20/80 (v/v)) in 30 min at a flow rate of 300 nL/min. This was followed by a 5 min wash reaching 99% solvent B’. Two trapping columns and two analytical columns were configured in tandem LC mode, with switching between two flow paths – an analysis flow path and a regeneration flow path – allowing for column washing and re-equilibration off-line; thus, while one column is re-equilibrated, the system separates a sample on the other column. The mass spectrometer was operated in data-dependent, positive ionization mode, automatically switching between MS and MS/MS acquisition for the 10 most abundant peaks in a given MS spectrum. The source voltage was 3.5 kV and the capillary temperature was set to 275°C. One MS1 scan (m/z 400-2,000, AGC target 3 × 106  ions, maximum ion injection time 80 ms) acquired at a resolution of 70,000 (at m/z 200) was followed by up to 10 tandem MS scans (resolution 17,500 at m/z 200) of the most intense ions fulfilling predefined selection criteria (AGC target 5 × 104  ions , maximum ion injection time 60 ms, isolation window 2 Da, fixed first mass m/z 140, spectrum data type: centroid, underfill ratio 2%, intensity threshold 1.7 x 104,  exclusion of unassigned, 1, 5-8, >8  charged precursors,  peptide match preferred, exclude isotopes on, dynamic exclusion time 20 s). The HCD collision energy was set to 25% Normalized Collision Energy (NCE) and the polydimethylcyclosiloxane background ion at 445.120025 Da was used for internal calibration (lock mass). The generated MS/MS peak lists were searched with the Mascot algorithm using the Mascot Daemon interface (version 2.5.1, www.matrixscience.com) at 99% confidence against the in the Swiss-Prot database with taxonomy set to human complemented with Gag, EGPF, DHFR, VSV-G and FLAG-VSV-G protein sequences. Acetylation of protein N-termini, pyroglutamate formation of N-terminal glutamine and methionine oxidation to methionine-sulfoxide were set as variable modifications. Mass tolerance on precursor ions was set to 10 ppm and on fragment ions to 20 mmu. Trypsin was set as enzyme allowing 1 missed cleavage. The peptide charge was set to 1+, 2+, 3+, and instrument setting was put to ESI-QUAD. False discovery rates (FDR) were obtained by searches against the reversed version of the complete search database and by retaining only the peptide to spectra matches (PSMs) with the highest score in standard or reverse search. The false discovery rate was then calculated by dividing the number of PSMs against the reverse database by the number of PSMs against both databases.",2018-03-29,
PXD005073,https://www.ebi.ac.uk/pride/ws/archive/project/PXD005073,Kinase activity ranking (KAR) quantifies the contribution of protein kinases to the regulation of cell viability,New method to determine kinase activity based on phosphoproteomics data,"[""Homo sapiens (Human)""]","[""cell suspension culture""]","[{""ptm"":""phosphorylated residue"",""UNIMOD"":""21""},{""ptm"":""iodoacetamide derivatized residue"",""UNIMOD"":""4""},{""ptm"":""deaminated residue"",""UNIMOD"":""385""},{""ptm"":""monohydroxylated residue"",""UNIMOD"":""35""}]","[""LTQ Orbitrap""]","[""Biomedical""]","[""Shotgun proteomics""]","[""MS1 intensity based label-free quantification method""]",AML kinase Phosphorylation,"Peptides were identified using Mascot and quantified using Pescal, a in house developed software for label free quantification that uses extracted ion chromatograms (XICs)",2016-09-30,"[[""DOI:10.1074/mcp.O116.064360"",""PMID:28674151""]]"
