PXD;RAW;cell;treated;comment
PXD008381;160116_K052_OffLRP_RP_f06.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f07.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f08.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f09.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f10.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f11.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f12.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f13.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f14.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f15.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f16.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f17.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f18.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f19.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f20.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f21.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f22.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f23.raw.xz;KO52;No;
PXD008381;160116_K052_OffLRP_RP_f24.raw.xz;KO52;No;
PXD008381;20160205_PGM_K052_SCX_RP_01.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_02.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_03.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_04.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_05.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_06.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_07.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_08.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_09.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_10.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_11.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_12.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_13.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_14.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_15.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_16.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_17.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_18.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_19.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_20.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_21.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_22.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_23.raw.xz;KO52;No;SCX
PXD008381;20160205_PGM_K052_SCX_RP_24.raw.xz;KO52;No;SCX
PXD009149;HL60_18hr_225uM_Zinc_1.raw.xz;HL60;Zn;
PXD009149;HL60_18hr_225uM_Zinc_2.raw.xz;HL60;Zn;
PXD009149;HL60_18hr_225uM_Zinc_3.raw.xz;HL60;Zn;
PXD009149;HL60_18hr_ctrl_1.raw.xz;HL60;No;
PXD009149;HL60_18hr_ctrl_2.raw.xz;HL60;No;
PXD009149;HL60_18hr_ctrl_3.raw.xz;HL60;No;
PXD009149;HL60_18hr_ctrl_4.raw.xz;HL60;No;
PXD009149;HL60_1hr_ctrl_1.raw.xz;HL60;No;
PXD009149;HL60_1hr_ctrl_2.raw.xz;HL60;No;
PXD009149;HL60_1hr_ctrl_3.raw.xz;HL60;No;
PXD009149;HL60_1hr_ctrl_4.raw.xz;HL60;No;
PXD009149;HL60_1hr_Zinc_1.raw.xz;HL60;Zn;
PXD009149;HL60_1hr_Zinc_2.raw.xz;HL60;Zn;
PXD009149;HL60_1hr_Zinc_3.raw.xz;HL60;Zn;
PXD009149;HL60_1hr_Zinc_4.raw.xz;HL60;Zn;
PXD009149;HL60_24hr_225uM_Zinc_1.raw.xz;HL60;Zn;
PXD009149;HL60_24hr_225uM_Zinc_2.raw.xz;HL60;Zn;
PXD009149;HL60_24hr_225uM_Zinc_3.raw.xz;HL60;Zn;
PXD009149;HL60_24hr_225uM_Zinc_4.raw.xz;HL60;Zn;
PXD009149;HL60_24hr_ctrl_1.raw.xz;HL60;No;
PXD009149;HL60_24hr_ctrl_2.raw.xz;HL60;No;
PXD009149;HL60_24hr_ctrl_3.raw.xz;HL60;No;
PXD009149;HL60_24hr_ctrl_4.raw.xz;HL60;No;
PXD009149;HL60_36hr_225uM_Zinc_1.raw.xz;HL60;Zn;
PXD009149;HL60_36hr_225uM_Zinc_2.raw.xz;HL60;Zn;
PXD009149;HL60_36hr_225uM_Zinc_3.raw.xz;HL60;Zn;
PXD009149;HL60_36hr_225uM_Zinc_4.raw.xz;HL60;Zn;
PXD009149;HL60_36hr_ctrl_1.raw.xz;HL60;No;
PXD009149;HL60_36hr_ctrl_2.raw.xz;HL60;No;
PXD009149;HL60_36hr_ctrl_3.raw.xz;HL60;No;
PXD009149;HL60_36hr_ctrl_4.raw.xz;HL60;No;
PXD009149;HL60_48hr_225uM_Zinc_1.raw.xz;HL60;Zn;
PXD009149;HL60_48hr_225uM_Zinc_2_160517015504.raw.xz;HL60;Zn;
PXD009149;HL60_48hr_225uM_Zinc_3_160517100009.raw.xz;HL60;Zn;
PXD009149;HL60_48hr_225uM_Zinc_4.raw.xz;HL60;Zn;
PXD009149;HL60_48hr_ctrl_1.raw.xz;HL60;No;
PXD009149;HL60_48hr_ctrl_2.raw.xz;HL60;No;
PXD009149;HL60_48hr_ctrl_3_160517055748.raw.xz;HL60;No;
PXD009149;HL60_48hr_ctrl_4.raw.xz;HL60;No;
PXD009149;HL60_6hr_ctrl_1.raw.xz;HL60;No;
PXD009149;HL60_6hr_ctrl_2.raw.xz;HL60;No;
PXD009149;HL60_6hr_ctrl_3.raw.xz;HL60;No;
PXD009149;HL60_6hr_ctrl_4.raw.xz;HL60;No;
PXD009149;HL60_6hr_Zinc_1.raw.xz;HL60;Zn;
PXD009149;HL60_6hr_Zinc_2.raw.xz;HL60;Zn;
PXD009149;HL60_6hr_Zinc_3.raw.xz;HL60;Zn;
PXD009149;HL60_6hr_Zinc_4.raw.xz;HL60;Zn;
PXD005045;RAW_BeWo_P32_1.raw;BeWo;No;
PXD005045;RAW_BeWo_P32_2.raw;BeWo;No;
PXD005045;RAW_BeWo_P32_3.raw;BeWo;No;
PXD005045;RAW_BeWo_P34_1.raw;BeWo;No;
PXD005045;RAW_BeWo_P34_2.raw;BeWo;No;
PXD005045;RAW_BeWo_P34_3.raw;BeWo;No;
PXD005045;RAW_BeWo_P35_1.raw;BeWo;No;
PXD005045;RAW_BeWo_P35_2.raw;BeWo;No;
PXD005045;RAW_BeWo_P35_3.raw;BeWo;No;
PXD005045;RAW_HTR8_SVneo_P79_1.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P79_2.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P79_3.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P80_1.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P80_2.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P80_3.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P81_1.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P81_2.raw;HTR8/SVneo;No;
PXD005045;RAW_HTR8_SVneo_P81_3.raw;HTR8/SVneo;No;
PXD009933;17_A1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_A2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_A3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_A4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_A5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_A6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_B1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_B2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_B3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_B4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_B5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_B6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_C1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_C2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_C3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_C4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_C5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_C6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_D1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_D2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_D3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_D4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_D5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;17_D6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_A1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_A2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_A3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_A4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_A5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_A6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_B1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_B2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_B3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_B4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_B5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_B6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_C1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_C2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_C3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_C4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_C5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_C6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_D1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_D2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_D3.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_D4.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_D5.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;92_D6.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;93_A1.raw;HDF;No;young, senescent, untreated or gammaT3-treated
PXD009933;93_A2.raw;HDF;No;young, senescent, untreated or gammaT3-treated
