,h_uniprot,mouse_uniprot
120,O00763,E9Q4Z2
121,O00767,P13011
122,O14494,Q61469
123,O14495,Q99JY8
124,O14497,E9QAQ7
125,O14498,Q6GU68
126,O14523,Q80X80
127,O14530,Q9CQ79
128,O14531,A0A0R4J1N0
129,O14545,Q3UDK1
130,O14548,E9PZS8
131,O14556,S4R2G5
132,O14579,O89079
133,O14594,A0A0R4IZX5
134,O14613,Q8JZX9
135,O14617,O54774
136,O14646,P40201
137,O14647,E9PZM4
138,O14656,Q9ER39
139,O14657,Q9ER41
140,O14672,O35598
141,O14684,Q9JM51
142,O14686,A0A0A0MQ73
143,O14718,Q80XL3
144,O14733,Q8CE90
145,O14745,P70441
146,O14756,Q9R092
147,O14772,G5E8F4
148,O14775,P62881
149,O14776,Q8CGF7
150,O14777,Q9D0F1
151,O14782,O35066
152,O14791,A2VDH7
153,O14796,Q45HK4
154,O14802,B2RXC6
155,O14807,O08989
156,O14818,Q9Z2U0
157,O14828,Q3UXS0
158,O14829,O35655
159,O14841,Q8K010
160,O14879,E9PV48
161,O14907,Q9DBG9
162,O14908,Q9Z0G0
163,O14926,Q32M02
164,O14929,A2ATU9
165,O14933,Q9QZU9
166,O14939,Q6NV49
167,O14949,Q9CQ69
168,O14958,F6QYE1
169,O14966,E9QLQ7
170,O14967,P52194
171,O14974,Q9DBR7
172,O14975,O35488
173,O14976,A0A0R4J0F6
174,O14980,Q6P5F9
175,O14983,Q8R429
176,O14986,P70181
177,O15014,Q8BZ47
178,O15018,E9Q1M1
179,O15020,Q68FG2
180,O15031,B2RXS4
181,O15040,Q3UH45
182,O15042,Q6NV83
183,O15054,Q5NCY0
184,O15061,Q70IV5
185,O15066,Q61771
186,O15067,Q5SUR0
187,O15069,Q5SWP3
188,O15075,Q9JLM8
189,O15084,A0A2I3BQ07
190,O15085,Q68FM7
191,O15111,E9QNL4
192,O15116,Q8VC85
193,O15117,O35601
194,O15118,O35604
195,O15120,Q8K3K7
196,O15121,O09005
197,O15127,Q9ERN0
198,O15143,Q91Z25
199,O15144,Q9CVB6
200,O15145,Q9JM76
201,O15164,Q64127
202,O15173,Q80UU9
203,O15195,G5E8C6
204,O15212,Q03958
205,O15213,Q9Z0H1
206,O15226,A0A668KL68
207,O15229,Q91WN4
208,O15230,Q61001
209,O15239,O35683
210,O15240,Q0VGU4
211,O15254,Q9EPL9
212,O15264,Q9Z1B7
213,O15269,O35704
214,O15270,P97363
215,O15294,Q8CGY8
216,O15335,O55226
217,O15344,O70583
218,O15355,Q61074
219,O15371,O70194
220,O15381,Q9DBY8
221,O15397,Q7TMY7
222,O15400,Q8BH40
223,O15427,P57787
224,O15438,B2RX12
225,O15439,E9Q236
226,O15446,Q76KJ5
227,O15460,Q5SX75
228,O15498,Q9CQW1
229,O15511,Q9CPW4
230,O15523,Q62095
231,O15537,Q9Z1L4
232,O15540,E9Q0H6
233,O15541,Q8R3P8
234,O15551,Q9Z0G9
235,O43143,O35286
236,O43148,Q9D0L8
237,O43149,A0A140LJ04
238,O43150,E9PX52
239,O43155,Q8BLU0
240,O43156,Q91V83
241,O43157,Q8CJH3
242,O43166,Q8C0T5
243,O43172,Q9DAW6
244,O43181,E9QPX3
245,O43184,Q61824
246,O43186,A0A0A0MQN6
247,O43237,Q6PDL0
248,O43242,P14685
249,O43252,Q60967
250,O43264,O54692
251,O43281,Q64355
252,O43290,Q9Z315
253,O43293,O54784
254,O43294,Q62219
255,O43295,F8VPQ4
256,O43310,E9Q1U6
257,O43324,Q9D1M4
258,O43347,Q61474
259,O43353,P58801
260,O43379,E9QK36
261,O43390,Q8VHM5
262,O43395,Q922U1
263,O43402,O70378
264,O43490,G5E8G5
265,O43505,Q8BWP8
266,O43516,Q8K1I7
267,O43520,Q148W0
268,O43521,O54918
269,O43557,Q9QYH9
270,O43566,P97492
271,O43581,A0A498WGM0
272,O43583,Q9CQJ6
273,O43592,Q9CRT8
274,O43615,O35857
275,O43639,O55033
276,O43660,Q922V4
277,O43665,Q9CQE5
278,O43677,Q9CQY9
279,O43678,Q9CQ75
280,O43681,O54984
281,O43704,Q9QWG7
282,O43719,Q8BGC0
283,O43741,Q6PAM0
284,O43747,Q8CBB7
285,O43752,Q9JKK1
286,O43765,Q8BJU0
287,O43772,Q9Z2Z6
288,O43776,Q8BP47
289,O43809,Q9CQF3
290,O43815,O55106
291,O43818,Q91WM3
292,O43819,Q8VCL2
293,O43822,Q8C6G1
294,O43823,Q9DBR0
295,O43852,O35887
296,O43854,O35474
297,O43865,Q80SW1
298,O43866,Q9QWK4
299,O43895,B1AVD2
300,O43896,E9Q9B0
301,O43913,Q9WUV0
302,O43920,Q99LY9
303,O43929,O88708
304,O60216,Q61550
305,O60218,G5E895
306,O60220,Q9WVA2
307,O60237,A6H644
308,O60240,Q8CGN5
309,O60262,G3X9Q2
310,O60264,Q91ZW3
311,O60268,Q8R0A7
312,O60282,P28738
313,O60287,E9PU96
314,O60292,G3X9J0
315,O60293,B2RT41
316,O60299,A2AHG0
317,O60303,Q8C753
318,O60306,Q8CFQ3
319,O60307,Q3U214
320,O60318,Q9WUU9
321,O60331,F8WHW6
322,O60343,E0CX53
323,O60443,Q9Z2D3
324,O60449,A2AW86
325,O60462,O35375
326,O60476,P39098
327,O60477,Q920P3
328,O60486,Q9QZC2
329,O60488,Q9QUJ7
330,O60493,Q78ZM0
331,O60494,Q9JLB4
332,O60502,Q9EQQ9
333,O60518,Q8BIV3
334,O60522,F2Z429
335,O60547,Q8K0C9
336,O60563,Q9QWV9
337,O60565,O70326
338,O60566,Q9Z1S0
339,O60568,Q9R0E1
340,O60603,G3X8Y8
341,O60662,A2AUC9
342,O60664,Q9DBG5
343,O60669,O70451
344,O60678,Q922H1
345,O60701,O70475
346,O60749,Q9CWK8
347,O60760,Q9JHF7
348,O60763,Q9Z1Z0
349,O60783,Q9CR88
350,O60784,Q3UDC3
351,O60825,A0A087WRM7
352,O60826,Q9JIG7
353,O60832,Q9ESX5
354,O60840,Q7TNI3
355,O60844,Q8K0C5
356,O60861,F6QB26
357,O60869,Q9JMG1
358,O60870,Q8K339
359,O60880,O88890
360,O60882,P57748
361,O60883,Q99JG2
362,O60884,Q9QYJ0
363,O60885,Q3UH70
364,O60890,Q99J31
365,O60925,Q9CQF7
366,O60928,P86046
367,O60938,O35367
368,O60939,Q56A07
369,O60942,O55236
370,O75037,F8VQE2
371,O75051,P70207
372,O75054,A0A0A6YX40
373,O75061,Q80TZ3
374,O75083,O88342
375,O75110,A2AQC3
376,O75112,Q9JKS4
377,O75113,Q6A037
378,O75131,Q8BT60
379,O75145,P60469
380,O75146,Q9JKY5
381,O75151,Q9WTU0
382,O75155,Q6ZQ73
383,O75157,E9Q7M2
384,O75165,D4AFX7
385,O75170,A0A5F8MQ25
386,O75306,Q91WD5
387,O75323,Q7TMG8
388,O75326,Q9QUR8
389,O75330,Q00547
390,O75339,A0A0R4J0F8
391,O75340,P12815
392,O75348,Q9CR51
393,O75351,P46467
394,O75355,Q8BFW6
395,O75365,Q9D658
396,O75366,O88398
397,O75367,Q9QZQ8
398,O75368,Q9JJU8
399,O75369,Q80X90
400,O75379,Q8BSN6
401,O75380,A0A1Y7VM38
402,O75381,Q9R0A0
403,O75385,Q6PB82
404,O75396,O08547
405,O75400,A0A6Q6PUT5
406,O75420,Q99MR1
407,O75427,Q921G6
408,O75436,P40336
409,O75438,P0DN34
410,O75439,Q9CXT8
411,O75452,Q8CGV4
412,O75460,Q9EQY0
413,O75462,Q9JM58
414,O75475,Q99JF8
415,O75477,Q91X78
416,O75487,P51655
417,O75489,Q9DCT2
418,O75506,Q9CQZ1
419,O75526,Q9DAE2
420,O75528,Q8R0L9
421,O75533,G5E866
422,O75534,Q91W50
423,O75554,Q61048
424,O75558,Q3U5V8
425,O75563,Q3UND0
426,O75569,Q9WTX2
427,O75582,Q8C050
428,O75594,O88593
429,O75607,Q9CPP0
430,O75643,Q6P4T2
431,O75663,Q8BH58
432,O75683,P70279
433,O75688,Q99NF7
434,O75691,E9QK83
435,O75695,Q9EPK2
436,O75717,A0A2K6EDP7
437,O75718,Q9CYD3
438,O75746,Q8BH59
439,O75781,Q9Z0P4
440,O75791,O89100
441,O75792,Q9CWY8
442,O75815,Q9QZK2
443,O75822,Q66JS6
444,O75828,Q8K354
445,O75843,O88512
446,O75844,Q80W54
447,O75874,O88844
448,O75881,Q60991
449,O75882,Q9WU60
450,O75884,O88851
451,O75886,O88811
452,O75891,Q8R0Y6
453,O75899,Q80T41
454,O75907,Q9Z2A7
455,O75909,Q3U3M5
456,O75911,O88876
457,O75915,Q8R5J9
458,O75923,A0A0N4SV63
459,O75934,Q9D287
460,O75936,Q924Y0
461,O75937,Q6NZB0
462,O75940,Q8BGT7
463,O75947,Q9DCX2
464,O75969,O88987
465,O75973,O88992
466,O75976,O89001
467,O75995,Q8K352
468,O76003,A0A1B0GS58
469,O76013,B1AQ75
470,O76027,Q9JHQ0
471,O76031,Q9JHS4
472,O76038,Q91WD9
473,O76041,B7ZCI2
474,O76070,Q9Z0F7
475,O76071,Q99KN2
476,O76076,A2AHD1
477,O76094,F8VQC1
478,O76096,O89098
479,O94760,Q9CWS0
480,O94768,Q8BG48
481,O94772,Q8K356
482,O94776,Q9R190
483,O94804,O55098
484,O94805,Q99MR0
485,O94806,Q5FWX6
486,O94808,Q9Z2Z9
487,O94811,Q7TQD2
488,O94819,Q8BNW9
489,O94822,Q6A009
490,O94826,Q9CZW5
491,O94829,Q8K0C1
492,O94830,Q80Y98
493,O94855,Q6NXL1
494,O94864,Q9CZV5
495,O94874,Q8CCJ3
496,O94875,B9EKP8
497,O94886,Q91YT8
498,O94887,Q91VS8
499,O94888,G5E8R8
500,O94903,A0A1B0GRP7
501,O94906,Q91YR7
502,O94907,O54908
503,O94910,E9Q3V9
504,O94916,Q9WV30
505,O94919,Q8C522
506,O94925,D3Z7P3
507,O94955,Q9CTN4
508,O94992,Q8R409
509,O95049,Q921G9
510,O95057,Q91Z61
511,O95084,Q9D6X6
512,O95104,Q7TSH6
513,O95136,P52592
514,O95139,Q3UIU2
515,O95140,Q80U63
516,O95147,Q9JLY7
517,O95155,A0A5F8MP95
518,O95159,Q9DB43
519,O95163,Q7TT37
520,O95164,Q9Z2M6
521,O95168,Q9CQC7
522,O95169,Q9D6J5
523,O95171,Q9EQG3
524,O95182,Q9Z1P6
525,O95183,Q9Z2P8
526,O95197,Q9ES97
527,O95202,Q9Z2I0
528,O95210,Q8C7E7
529,O95218,Q9R020
530,O95219,Q91YJ2
531,O95236,B2RT54
532,O95239,P33174
533,O95243,A0A0R4J0A8
534,O95248,Q6ZPE2
535,O95251,Q5SVQ0
536,O95274,Q91YK8
537,O95278,Q9WUA5
538,O95292,Q8BH80
539,O95294,Q9Z268
540,O95295,Q9Z266
541,O95297,Q3TEW6
542,O95298,Q9CQ54
543,O95302,Q9Z247
544,O95340,O88428
545,O95347,Q8CG48
546,O95352,A0A0A0MQN4
547,O95365,O88939
548,O95373,Q9EPL8
549,O95376,Q9Z1K6
550,O95382,A0A0A0MQ82
551,O95391,Q8BHJ9
552,O95395,Q5JCT0
553,O95396,A2BDX3
554,O95400,Q9CWK3
555,O95405,A2A8R0
556,O95425,A0A1B0GS91
557,O95428,B7ZN28
558,O95445,Q9Z1R3
559,O95456,Q9JK23
560,O95466,A0A1W2P6X3
561,O95470,Q8R0X7
562,O95477,P41233
563,O95479,A2A7A7
564,O95486,Q3U2P1
565,O95487,Q80ZX0
566,O95497,Q9Z0K8
567,O95571,Q9DCM0
568,O95573,Q9CZW4
569,O95613,F8VPV0
570,O95625,G5E8B9
571,O95628,A0A0R4J1K1
572,O95630,Q9CQ26
573,O95631,O09118
574,O95633,Q9EQC7
575,O95672,Q9JMI0
576,O95674,Q99L43
577,O95678,Q8BGZ7
578,O95685,A2AJW4
579,O95696,G5E8P1
580,O95716,P35276
581,O95721,Q9ERB0
582,O95727,Q149L7
583,O95741,Q9Z140
584,O95747,Q6P9R2
585,O95749,Q9WTN0
586,O95758,G3UXA6
587,O95760,Q8BVZ5
588,O95782,P17426
589,O95786,Q6Q899
590,O95801,Q8R3H9
591,O95807,Q9CXL1
592,O95810,Q63918
593,O95816,Q91YN9
594,O95817,Q9JLV1
595,O95822,Q99J39
596,O95831,Q9Z0X1
597,O95832,O88551
598,O95833,Q9D7P7
599,O95834,E9QK48
600,O95848,Q9D142
601,O95861,A0A1B0GRV0
602,O95864,Q9Z0R9
603,O95865,Q99LD8
604,O95873,Q9Z1R4
605,O95881,Q9CQU0
606,O95926,Q9D198
607,O95936,O54839
608,O95954,Q91XD4
609,O95980,Q9Z0J1
610,O95989,Q9JI46
611,O95994,O88312
612,O96005,Q8VBZ3
613,O96007,A0A0R4J206
614,O96008,Q9QYA2
615,O96011,Q9Z210
616,O96013,O35099
617,O96019,Q9Z2N8
618,P00156,P00158
619,P00167,P56395
620,P00326,P00329
621,P00338,A0A1B0GSX0
622,P00352,P24549
623,P00387,F2Z456
624,P00390,P47791
625,P00395,P00397
626,P00403,P00405
627,P00414,P00416
628,P00441,P08228
629,P00450,E9PZD8
630,P00480,P11725
631,P00488,Q8BH61
632,P00491,Q543K9
633,P00492,P00493
634,P00505,P05202
635,P00519,P00520
636,P00558,P09411
637,P00734,P19221
638,P00740,P16294
639,P00742,Q3U3V1
640,P00747,P20918
641,P00748,Q80YC5
642,P00846,P00848
643,P00918,P00920
644,P00966,P16460
645,P01008,P32261
646,P01009,A0A0R4J0X5
647,P01019,Q3UTR7
648,P01023,Q6GQT1
649,P01024,P01027
650,P01031,P06684
651,P01034,P21460
652,P01040,P56567
653,P01042,A0A0R4J038
654,P01111,Q9D091
655,P01112,Q61411
656,P01116,P32883
657,P01266,O08710
658,P01275,P55095
659,P01350,P48757
660,P01584,P10749
661,P01599,A0A0G2JEK4
662,P01602,A0A0B4J1I1
663,P01619,A0A075B5M9
664,P01730,P06332
665,P01780,A0A075B5R5
666,P01833,O70570
667,P01871,A0A075B6A0
668,P01911,Q3UUV9
669,P02008,A7M7S6
670,P02100,Q9CR49
671,P02452,P11087
672,P02458,P28481
673,P02461,P08121
674,P02462,P02463
675,P02533,Q61781
676,P02538,P50446
677,P02549,P08032
678,P02647,Q00623
679,P02649,P08226
680,P02675,Q8K0E8
681,P02689,P24526
682,P02730,P04919
683,P02741,P14847
684,P02743,P12246
685,P02745,P98086
686,P02747,Q02105
687,P02748,A0A0R4J032
688,P02749,Q01339
689,P02750,Q91XL1
690,P02751,P11276
691,P02760,Q07456
692,P02763,Q60590
693,P02765,P29699
694,P02775,Q9EQI5
695,P02787,Q921I1
696,P02790,Q91X72
697,P02792,Q9CPX4
698,P03886,P03888
699,P03891,P03893
700,P03905,P03911
701,P03915,P03921
702,P03928,P03930
703,P03950,P21570
704,P03956,Q9EPL5
705,P03973,P97430
706,P03999,P51491
707,P04003,P08607
708,P04004,P29788
709,P04040,P24270
710,P04066,Q99LJ1
711,P04080,Q62426
712,P04083,P10107
713,P04114,E9Q414
714,P04179,P09671
715,P04180,P16301
716,P04181,P29758
717,P04196,A0A0R4J039
718,P04217,Q19LI2
719,P04259,P50446
720,P04264,P04104
721,P04271,P50114
722,P04275,E9QPU1
723,P04279,Q8BS30
724,P04350,Q9D6F9
725,P04406,A0A0A0MQF6
726,P04792,P14602
727,P04818,P07607
728,P04839,Q61093
729,P04843,Q91YQ5
730,P04844,Q9DBG6
731,P04899,P08752
732,P04920,A0A0R4J101
733,P05023,Q8VDN2
734,P05026,P14094
735,P05060,P16014
736,P05062,Q91Y97
737,P05091,P47738
738,P05106,O54890
739,P05108,Q9QZ82
740,P05109,P27005
741,P05120,P12388
742,P05121,G5E899
743,P05129,P63318
744,P05141,P51881
745,P05154,P70458
746,P05160,Q07968
747,P05162,Q9CQW5
748,P05164,P11247
749,P05177,P00186
750,P05186,P09242
751,P05187,F8VPQ6
752,P05198,Q6ZWX6
753,P05230,P61148
754,P05362,P13597
755,P05386,P47955
756,P05387,P99027
757,P05451,P43137
758,P05455,P32067
759,P05543,Q3UEL9
760,P05546,P49182
761,P05556,P09055
762,P05771,P68404
763,P05783,P05784
764,P05787,P11679
765,P05813,Q9QXC6
766,P05937,P12658
767,P05997,Q3U962
768,P06127,P13379
769,P06213,P15208
770,P06239,E9Q696
771,P06241,P39688
772,P06307,Q8R041
773,P06312,A0A0G2JF28
774,P06340,Q9QWV1
775,P06396,P13020
776,P06576,P56480
777,P06702,J3QPE5
778,P06703,P14069
779,P06727,P06728
780,P06729,P08920
781,P06732,P07310
782,P06737,Q9ET01
783,P06748,Q61937
784,P06756,P43406
785,P06870,P15947
786,P07093,Q07235
787,P07099,Q9D379
788,P07101,P24529
789,P07148,P12710
790,P07196,P08551
791,P07199,P27790
792,P07204,P15306
793,P07205,P09041
794,P07305,P10922
795,P07327,P00329
796,P07357,Q8K182
797,P07360,Q8VCG4
798,P07384,O35350
799,P07451,P16015
800,P07585,P28654
801,P07686,P20060
802,P07738,P15327
803,P07814,Q8CGC7
804,P07858,P10605
805,P07902,A2AMS3
806,P07919,P99028
807,P07948,P25911
808,P07954,P97807
809,P07996,Q80YQ1
810,P08034,P28230
811,P08100,P15409
812,P08133,P14824
813,P08138,Q9Z0W1
814,P08172,Q9ERZ4
815,P08183,P21447
816,P08185,Q06770
817,P08217,P05208
818,P08236,P12265
819,P08238,P11499
820,P08240,Q9DBG7
821,P08243,Q61024
822,P08246,Q3UP87
823,P08253,P33434
824,P08254,Q922W6
825,P08294,O09164
826,P08311,P28293
827,P08473,Q61391
828,P08476,Q04998
829,P08493,P19788
830,P08514,Q9QUM0
831,P08559,P35486
832,P08567,Q9JHK5
833,P08571,P10810
834,P08572,P08122
835,P08574,Q9D0M3
836,P08575,P06800
837,P08579,Q9CQI7
838,P08581,F8VQL0
839,P08582,Q9R0R1
840,P08590,P09542
841,P08621,Q62376
842,P08670,P20152
843,P08727,P19001
844,P08729,Q9DCV7
845,P08754,Q9DC51
846,P08779,Q9Z2K1
847,P09093,Q9CQ52
848,P09104,P17183
849,P09172,Q64237
850,P09211,P19157
851,P09327,Q62468
852,P09382,P16045
853,P09417,Q8BVI4
854,P09467,Q9QXD6
855,P09486,A0A1L1SSH9
856,P09497,Q6IRU5
857,P09525,P97429
858,P09543,P16330
859,P09601,P14901
860,P09619,E9QN12
861,P09669,Q9CPQ1
862,P09681,P48756
863,P09758,Q8BGV3
864,P09848,F8VPT3
865,P09874,Q921K2
866,P09917,P48999
867,P09923,F8VPQ6
868,P09960,P24527
869,P0C2W1,Q8K3B1
870,P0C7M8,P0C7M9
871,P0C7P0,B1AR13
872,P0C7U0,Q8C8T7
873,P0C870,P0C872
874,P0CG12,P0CG14
875,P0DJ93,E9Q942
876,P0DTE4,Q80X89
877,P10109,P46656
878,P10114,Q80ZJ1
879,P10124,P13609
880,P10153,Q923L7
881,P10155,O08848
882,P10253,P70699
883,P10301,P10833
884,P10412,P43274
885,P10415,P10417
886,P10451,F8WIP8
887,P10523,P20443
888,P10599,P10639
889,P10606,Q9D881
890,P10643,D3YXF5
891,P10644,Q9DBC7
892,P10645,P26339
893,P10646,O54819
894,P10721,P05532
895,P10745,A0A0R4J0H3
896,P10809,P63038
897,P10915,Q9QUP5
898,P11021,P20029
899,P11047,F8VQJ3
900,P11055,P13541
901,P11161,P08152
902,P11166,P17809
903,P11172,P13439
904,P11177,Q9D051
905,P11182,P53395
906,P11215,E9Q5K8
907,P11216,Q8CI94
908,P11217,Q9WUB3
909,P11274,Q6PAJ1
910,P11277,Q3UGX2
911,P11279,P11438
912,P11309,P06803
913,P11387,Q04750
914,P11388,Q01320
915,P11413,Q00612
916,P11488,P20612
917,P11498,E9QPD7
918,P11511,P28649
919,P11532,P11531
920,P11678,P49290
921,P11717,Q07113
922,P11766,P28474
923,P12004,P17918
924,P12036,P19246
925,P12074,Q9DCW5
926,P12104,P55050
927,P12107,Q61245
928,P12110,Q02788
929,P12111,E9PWQ3
930,P12235,P48962
931,P12270,F6ZDS4
932,P12271,Q9Z275
933,P12273,P02816
934,P12277,Q04447
935,P12532,P30275
936,P12544,P11032
937,P12724,P97426
938,P12814,Q7TPR4
939,P12838,Q5G866
940,P12882,Q5SX40
941,P12883,Q91Z83
942,P12931,P05480
943,P12955,Q11136
944,P12956,A0A0R4J187
945,P13010,P27641
946,P13073,P19783
947,P13196,Q8VC19
948,P13224,B2RR03
949,P13284,Q9ESY9
950,P13489,A0A1B0GSG5
951,P13497,P98063
952,P13498,Q61462
953,P13521,Q03517
954,P13533,Q02566
955,P13535,P13542
956,P13611,E9PYH0
957,P13612,Q792F9
958,P13639,P58252
959,P13645,A2A513
960,P13647,Q922U2
961,P13667,A0A0R4J0Z1
962,P13671,E9Q6D8
963,P13674,Q60715
964,P13688,Q925P3
965,P13716,P10518
966,P13726,A0A0R4J088
967,P13727,Q61878
968,P13747,A7VMS2
969,P13796,Q61233
970,P13807,Q9Z1E4
971,P13861,Q8K1M3
972,P13866,Q9QXI6
973,P13929,P21550
974,P13984,Q8R0A0
975,P13995,P18155
976,P14060,P24815
977,P14151,B1B507
978,P14174,P34884
979,P14210,Q08048
980,P14222,P10820
981,P14317,P49710
982,P14410,F8VQM5
983,P14415,P14231
984,P14543,P10493
985,P14550,Q9JII6
986,P14625,P08113
987,P14678,P27048
988,P14770,O88186
989,P14780,P41245
990,P14854,P56391
991,P14868,Q922B2
992,P14921,A0A5F8MPR7
993,P14923,Q02257
994,P14927,Q9CQB4
995,P15085,Q7TPZ8
996,P15086,B2RS76
997,P15088,P15089
998,P15090,P04117
999,P15121,P45376
1000,P15144,P97449
1001,P15169,Q9JJN5
1002,P15259,O70250
1003,P15291,P15535
1004,P15328,P35846
1005,P15374,P58321
1006,P15391,P25918
1007,P15428,Q8VCC1
1008,P15529,O88174
1009,P15531,P15532
1010,P15586,Q8BFR4
1011,P15814,A0A0G2JE99
1012,P15848,A0A0R4J138
1013,P15924,E9Q557
1014,P16035,Q6PI17
1015,P16050,P39654
1016,P16104,P27661
1017,P16144,A2A863
1018,P16152,P48758
1019,P16157,A0A0R4J1N7
1020,P16219,Q07417
1021,P16233,Q6P8U6
1022,P16234,P26618
1023,P16284,B1ARB3
1024,P16383,Q8BKT3
1025,P16389,P63141
1026,P16401,P43276
1027,P16402,P43277
1028,P16403,P15864
1029,P16444,P31428
1030,P16452,P49222
1031,P16499,Q8K0A8
1032,P16519,P21661
1033,P16615,O55143
1034,P16870,Q00493
1035,P16930,P35505
1036,P16949,P54227
1037,P16989,Q9JKB3
1038,P17026,Q9ERU3
1039,P17050,Q9QWR8
1040,P17096,A0A338P6F6
1041,P17152,Q8BK08
1042,P17174,P05201
1043,P17252,Q4VA93
1044,P17275,P09450
1045,P17301,Q62469
1046,P17302,Q6S5G4
1047,P17540,Q6P8J7
1048,P17568,Q9CR61
1049,P17600,O88935
1050,P17655,O08529
1051,P17661,P31001
1052,P17677,P06837
1053,P17813,Q63961
1054,P17858,P12382
1055,P17900,Q60648
1056,P17931,Q8C253
1057,P18031,P35821
1058,P18054,P39655
1059,P18065,P47877
1060,P18077,O55142
1061,P18084,G5E8F8
1062,P18124,F6XI62
1063,P18206,Q64727
1064,P18428,Q61805
1065,P18433,P18052
1066,P18510,P25085
1067,P18545,P09174
1068,P18583,H9KV00
1069,P18615,P19426
1070,P18669,Q9DBJ1
1071,P18754,Q6PFB2
1072,P18827,P18828
1073,P18859,P97450
1074,P19012,B1AQ77
1075,P19013,P07744
1076,P19021,P97467
1077,P19022,P15116
1078,P19075,Q8R3G9
1079,P19086,O70443
1080,P19087,P50149
1081,P19174,Q62077
1082,P19320,Q3UPN1
1083,P19338,P09405
1084,P19367,P17710
1085,P19387,A0A1D5RML8
1086,P19397,Q61451
1087,P19474,Q3U7K7
1088,P19525,Q03963
1089,P19634,Q61165
1090,P19652,Q60590
1091,P19784,O54833
1092,P19801,E9PYN9
1093,P19827,F8WJ05
1094,P19838,P25799
1095,P19878,O70145
1096,P19883,P47931
1097,P20020,G5E829
1098,P20042,Q99L45
1099,P20073,A0A2C9F2D2
1100,P20273,Q3UP36
1101,P20290,Q64152
