,PXD,RAW,Useable,cell_line,disease,tissue_type,treatment,sub_cell,pool_id,file_path
10,PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH6.mgf.gzip/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH6.mgf.gzip.ionbot.csv
11,PXD000612,20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,8,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH8.mgf.gzip/20120204_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep2_pH8.mgf.gzip.ionbot.csv
12,PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH11.mgf.gzip/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH11.mgf.gzip.ionbot.csv
13,PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH3.mgf.gzip/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH3.mgf.gzip.ionbot.csv
14,PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH4.mgf.gzip/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH4.mgf.gzip.ionbot.csv
15,PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH5.mgf.gzip/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH5.mgf.gzip.ionbot.csv
16,PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH6.mgf.gzip/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH6.mgf.gzip.ionbot.csv
17,PXD000612,20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,9,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH8.mgf.gzip/20120218_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep3_pH8.mgf.gzip.ionbot.csv
18,PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH11,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH11.mgf.gzip/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH11.mgf.gzip.ionbot.csv
19,PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH3,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH3.mgf.gzip/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH3.mgf.gzip.ionbot.csv
20,PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH4,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH4.mgf.gzip/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH4.mgf.gzip.ionbot.csv
21,PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH5,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH5.mgf.gzip/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH5.mgf.gzip.ionbot.csv
22,PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH6,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH6.mgf.gzip/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH6.mgf.gzip.ionbot.csv
23,PXD000612,20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH8,yes,HeLa,adenocarcinoma,cervix,Nocodazole,HeLa S3,10,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH8.mgf.gzip/20120220_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_Nocodazole_rep4_pH8.mgf.gzip.ionbot.csv
24,PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH11.mgf.gzip/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH11.mgf.gzip.ionbot.csv
25,PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH3.mgf.gzip/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH3.mgf.gzip.ionbot.csv
26,PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH4.mgf.gzip/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH4.mgf.gzip.ionbot.csv
27,PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH5.mgf.gzip/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH5.mgf.gzip.ionbot.csv
28,PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH6.mgf.gzip/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH6.mgf.gzip.ionbot.csv
29,PXD000612,20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,11,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH8.mgf.gzip/20120302_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep1_pH8.mgf.gzip.ionbot.csv
30,PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH11.mgf.gzip/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH11.mgf.gzip.ionbot.csv
31,PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH3.mgf.gzip/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH3.mgf.gzip.ionbot.csv
32,PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH4.mgf.gzip/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH4.mgf.gzip.ionbot.csv
33,PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH5.mgf.gzip/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH5.mgf.gzip.ionbot.csv
34,PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH6.mgf.gzip/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH6.mgf.gzip.ionbot.csv
35,PXD000612,20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,12,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH8.mgf.gzip/20120303_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep2_pH8.mgf.gzip.ionbot.csv
36,PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH11.mgf.gzip/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH11.mgf.gzip.ionbot.csv
37,PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH3.mgf.gzip/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH3.mgf.gzip.ionbot.csv
38,PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH4.mgf.gzip/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH4.mgf.gzip.ionbot.csv
39,PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH5.mgf.gzip/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH5.mgf.gzip.ionbot.csv
40,PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH6.mgf.gzip/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH6.mgf.gzip.ionbot.csv
41,PXD000612,20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,13,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH8.mgf.gzip/20120304_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep3_pH8.mgf.gzip.ionbot.csv
42,PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH11,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH11.mgf.gzip/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH11.mgf.gzip.ionbot.csv
43,PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH3,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH3.mgf.gzip/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH3.mgf.gzip.ionbot.csv
44,PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH4,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH4.mgf.gzip/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH4.mgf.gzip.ionbot.csv
45,PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH5,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH5.mgf.gzip/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH5.mgf.gzip.ionbot.csv
46,PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH6,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH6.mgf.gzip/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH6.mgf.gzip.ionbot.csv
47,PXD000612,20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH8,yes,HeLa,adenocarcinoma,cervix,EGF5,HeLa S3,14,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH8.mgf.gzip/20120308_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF5_rep4_pH8.mgf.gzip.ionbot.csv
48,PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH11,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH11.mgf.gzip/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH11.mgf.gzip.ionbot.csv
49,PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH3,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH3.mgf.gzip/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH3.mgf.gzip.ionbot.csv
50,PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH4,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH4.mgf.gzip/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH4.mgf.gzip.ionbot.csv
51,PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH5,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH5.mgf.gzip/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH5.mgf.gzip.ionbot.csv
52,PXD000612,20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH6,yes,HeLa,adenocarcinoma,cervix,EGF15,HeLa S3,15,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000612/IONBOT_v0.7.0/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH6.mgf.gzip/20120310_EXQ5_KiSh_SA_LabelFree_HeLa_Proteome_EGF15_rep1_pH6.mgf.gzip.ionbot.csv
