,assay_id,project_id,filename,cell_id,cell_line,disease,treatment,tissue_type,sub_cell,organ_id,PXD_accession,all_PSM,sign_PSM,peptides,proteins
17,30977,1815,3B17-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13457,12736,11602,2863
18,30978,1815,3B18-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13569,12880,11789,2916
19,30979,1815,3B18-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13488,12831,11704,2865
20,30980,1815,3B19-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13564,12835,11682,2948
21,30981,1815,3B19-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13460,12743,11669,2957
22,30982,1815,3B20-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13385,12517,11291,2864
23,30983,1815,3B20-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13562,12704,11421,2851
24,30984,1815,3B2-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12298,11564,10082,2680
25,30985,1815,3B21-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11345,10686,9696,2757
26,30986,1815,3B21-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10734,10070,9160,2674
27,30987,1815,3B2-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12321,11569,10065,2658
28,30988,1815,3B22-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9980,9395,8673,2587
29,30989,1815,3B22-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9582,9000,8294,2493
30,30990,1815,3B23-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9485,8973,8265,2452
31,30991,1815,3B23-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,9047,8538,7856,2441
32,30992,1815,3B24-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,8785,8217,7550,2405
33,30993,1815,3B24-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,8779,8282,7602,2444
34,30994,1815,3B3-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12585,11955,10515,2653
35,30995,1815,3B3-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12592,11914,10437,2627
36,30996,1815,3B4-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12214,11526,10367,2713
37,30997,1815,3B4-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10934,10294,9226,2474
38,30998,1815,3B5-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12493,11807,10640,2683
39,30999,1815,3B5-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,13410,12724,11515,2829
40,31000,1815,3B6-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12615,11994,10990,2722
41,31001,1815,3B6-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11566,10867,9978,2542
42,31002,1815,3B7-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10477,9949,8880,2285
43,31003,1815,3B7-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,10293,9746,8615,2278
44,31004,1815,3B8-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11837,11146,10123,2574
45,31005,1815,3B8-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11788,11094,10096,2529
46,31006,1815,3B9-1,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,12315,11756,10651,2657
47,31007,1815,3B9-2,545,Hep3B,hepatocellular carcinoma,/,liver,/,,PXD000533,11999,11430,10329,2563
48,31008,1815,H10-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11151,10296,9384,2368
49,31009,1815,H10-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11335,10567,9593,2390
50,31010,1815,H1-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11289,10350,9325,2450
51,31011,1815,H11-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10993,10378,9077,2371
52,31012,1815,H11-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11237,10481,9164,2390
53,31013,1815,H1-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11282,10389,9399,2455
54,31014,1815,H12-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11778,10909,9734,2415
55,31015,1815,H12-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11859,11046,9875,2401
56,31016,1815,H13-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13006,12152,10936,2737
57,31017,1815,H13-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12746,11759,10596,2672
58,31018,1815,H14-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13336,12498,11110,2823
59,31019,1815,H14-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13710,12820,11354,2830
60,31020,1815,H15-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12990,12279,10738,2747
61,31021,1815,H15-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13096,12264,10796,2780
62,31022,1815,H16-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13100,12063,10748,2747
63,31023,1815,H16-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13842,13001,11530,2832
64,31024,1815,H17-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13155,12278,10868,2762
65,31025,1815,H17-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12850,12016,10716,2678
66,31026,1815,H18-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13497,12435,11088,2764
67,31027,1815,H18-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13930,12926,11601,2819
68,31028,1815,H19-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13455,12340,11079,2848
69,31029,1815,H19-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13544,12585,11234,2827
70,31030,1815,H20-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12960,11888,10507,2731
71,31031,1815,H20-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,13616,12401,10931,2790
72,31032,1815,H2-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11867,11042,9407,2482
73,31033,1815,H21-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10533,9728,8756,2628
74,31034,1815,H21-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10200,9341,8401,2551
75,31035,1815,H2-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11903,10921,9292,2420
76,31036,1815,H22-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,9098,8313,7489,2377
77,31037,1815,H22-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8953,8232,7411,2379
78,31038,1815,H23-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8951,8265,7437,2316
79,31039,1815,H23-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8884,8177,7382,2294
80,31040,1815,H24-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,8422,7610,6828,2234
81,31041,1815,H24-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,7995,7280,6501,2197
82,31042,1815,H3-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11087,10330,8950,2332
83,31043,1815,H3-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11195,10421,9017,2323
84,31044,1815,H4-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10948,10120,8971,2337
85,31045,1815,H4-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11400,10536,9266,2360
86,31046,1815,H5-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12195,11287,9932,2540
87,31047,1815,H5-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12189,11278,9875,2538
88,31048,1815,H6-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12477,11673,10479,2548
89,31049,1815,H6-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11831,11047,9909,2483
90,31050,1815,H7-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11472,10665,9492,2461
91,31051,1815,H7-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12385,11597,10257,2645
92,31052,1815,H8-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12548,11742,10515,2537
93,31053,1815,H8-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,12400,11597,10418,2479
94,31054,1815,H9-1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,11700,10937,9903,2444
95,31055,1815,H9-2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000533,10905,10149,9150,2302
96,31488,1832,CHPP_97H_RP1_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7110,6598,5840,2181
97,31489,1832,CHPP_97H_RP1_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7874,7300,6496,2349
98,31490,1832,CHPP_97H_RP10_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10133,9427,8374,2705
99,31491,1832,CHPP_97H_RP10_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9978,9314,8290,2726
100,31492,1832,CHPP_97H_RP11_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9942,9237,8121,2736
101,31493,1832,CHPP_97H_RP11_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9574,8865,7781,2655
102,31494,1832,CHPP_97H_RP12_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9421,8934,7886,2709
103,31495,1832,CHPP_97H_RP12_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9597,8988,7942,2691
104,31496,1832,CHPP_97H_RP13_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9013,8466,7478,2618
105,31497,1832,CHPP_97H_RP13_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8747,8239,7291,2581
106,31498,1832,CHPP_97H_RP14_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9230,8579,7605,2672
107,31499,1832,CHPP_97H_RP14_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9037,8371,7399,2629
108,31500,1832,CHPP_97H_RP15_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,6716,6209,5408,1988
109,31501,1832,CHPP_97H_RP15_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7772,7216,6312,2263
110,31502,1832,CHPP_97H_RP16_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9207,8429,7348,2438
111,31503,1832,CHPP_97H_RP16_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9060,8385,7410,2527
112,31504,1832,CHPP_97H_RP17_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8522,7871,6879,2417
113,31505,1832,CHPP_97H_RP17_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8585,7967,6968,2445
114,31506,1832,CHPP_97H_RP18_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8166,7628,6614,2328
115,31507,1832,CHPP_97H_RP18_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8674,7993,6983,2413
116,31508,1832,CHPP_97H_RP19_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,6778,6329,5439,2006
117,31509,1832,CHPP_97H_RP19_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7268,6784,5763,2079
118,31510,1832,CHPP_97H_RP2_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9556,8866,7917,2674
119,31511,1832,CHPP_97H_RP2_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10034,9317,8381,2788
120,31512,1832,CHPP_97H_RP20_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8191,7668,6581,2336
121,31513,1832,CHPP_97H_RP20_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8273,7767,6698,2413
122,31514,1832,CHPP_97H_RP21_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7836,7287,6284,2279
123,31515,1832,CHPP_97H_RP21_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7933,7435,6410,2276
124,31516,1832,CHPP_97H_RP22_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7553,7060,6109,2193
125,31517,1832,CHPP_97H_RP22_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,6857,6332,5470,2074
126,31518,1832,CHPP_97H_RP23_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7924,7430,6622,2406
127,31519,1832,CHPP_97H_RP23_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,8294,7682,6820,2464
128,31520,1832,CHPP_97H_RP24_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7612,7098,6195,2298
129,31521,1832,CHPP_97H_RP24_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,7763,7228,6294,2264
130,31522,1832,CHPP_97H_RP3_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,12759,11634,10514,2759
131,31523,1832,CHPP_97H_RP3_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,13076,11934,10740,2788
132,31524,1832,CHPP_97H_RP4_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,11726,10501,9423,2737
133,31525,1832,CHPP_97H_RP4_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,11989,10901,9784,2859
134,31526,1832,CHPP_97H_RP5_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10442,9488,8428,2746
135,31527,1832,CHPP_97H_RP5_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10282,9473,8413,2768
136,31528,1832,CHPP_97H_RP6_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10146,9288,8328,2762
137,31529,1832,CHPP_97H_RP6_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10365,9599,8552,2822
138,31530,1832,CHPP_97H_RP7_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10054,9376,8314,2845
139,31531,1832,CHPP_97H_RP7_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10112,9449,8371,2786
140,31532,1832,CHPP_97H_RP8_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,9987,9316,8368,2721
141,31533,1832,CHPP_97H_RP8_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10089,9462,8491,2775
142,31534,1832,CHPP_97H_RP9_1,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10417,9615,8592,2807
143,31535,1832,CHPP_97H_RP9_2,546,MHCC97,hepatocellular carcinoma,/,liver,MHCC97H,,PXD000529,10331,9540,8501,2766
144,31536,1832,CHPP_LM3_RP1_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10611,9691,8626,2698
145,31537,1832,CHPP_LM3_RP1_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10960,9989,8962,2764
146,31538,1832,CHPP_LM3_RP10_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10144,9293,8126,2522
147,31539,1832,CHPP_LM3_RP10_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10142,9309,8167,2581
148,31540,1832,CHPP_LM3_RP11_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8957,8187,7141,2467
149,31541,1832,CHPP_LM3_RP11_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9069,8293,7224,2463
150,31542,1832,CHPP_LM3_RP12_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10047,9171,7957,2653
151,31543,1832,CHPP_LM3_RP12_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8607,7772,6722,2433
152,31544,1832,CHPP_LM3_RP13_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9270,8287,7203,2427
153,31545,1832,CHPP_LM3_RP13_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9662,8878,7701,2504
154,31546,1832,CHPP_LM3_RP14_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9406,8553,7462,2538
155,31547,1832,CHPP_LM3_RP14_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9390,8557,7489,2524
156,31548,1832,CHPP_LM3_RP15_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9683,8825,7634,2504
157,31549,1832,CHPP_LM3_RP15_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9351,8523,7365,2389
158,31550,1832,CHPP_LM3_RP16_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8723,8042,6998,2321
159,31551,1832,CHPP_LM3_RP16_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8892,8173,7068,2315
160,31552,1832,CHPP_LM3_RP17_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8706,7927,6851,2339
161,31553,1832,CHPP_LM3_RP17_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8843,8017,6859,2313
162,31554,1832,CHPP_LM3_RP18_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9329,8596,7321,2373
163,31555,1832,CHPP_LM3_RP18_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9516,8702,7342,2390
164,31556,1832,CHPP_LM3_RP19_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8363,7675,6602,2328
165,31557,1832,CHPP_LM3_RP19_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8542,7686,6612,2313
166,31558,1832,CHPP_LM3_RP2_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,12880,11763,10359,2475
167,31559,1832,CHPP_LM3_RP2_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,12943,11814,10425,2493
168,31560,1832,CHPP_LM3_RP20_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8168,7470,6409,2228
169,31561,1832,CHPP_LM3_RP20_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8217,7606,6506,2248
170,31562,1832,CHPP_LM3_RP21_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8184,7525,6477,2254
171,31563,1832,CHPP_LM3_RP21_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8213,7433,6431,2254
172,31564,1832,CHPP_LM3_RP22_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8159,7478,6477,2271
173,31565,1832,CHPP_LM3_RP22_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,8532,7774,6804,2379
174,31566,1832,CHPP_LM3_RP23_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,7934,7361,6443,2265
175,31567,1832,CHPP_LM3_RP23_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,7963,7237,6385,2261
176,31568,1832,CHPP_LM3_RP24_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,7841,7173,6371,2326
177,31569,1832,CHPP_LM3_RP24_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,7976,7355,6513,2293
178,31570,1832,CHPP_LM3_RP3_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,13004,11729,10378,2608
179,31571,1832,CHPP_LM3_RP3_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,13554,12099,10701,2661
180,31572,1832,CHPP_LM3_RP4_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,11512,10411,9158,2571
181,31573,1832,CHPP_LM3_RP4_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,11678,10532,9304,2607
182,31574,1832,CHPP_LM3_RP5_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10854,9844,8625,2552
183,31575,1832,CHPP_LM3_RP5_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10812,9864,8714,2558
184,31576,1832,CHPP_LM3_RP6_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10336,9338,8106,2528
185,31577,1832,CHPP_LM3_RP6_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10762,9910,8649,2556
186,31578,1832,CHPP_LM3_RP7_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10593,9576,8349,2545
187,31579,1832,CHPP_LM3_RP7_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9791,8931,7791,2482
188,31580,1832,CHPP_LM3_RP8_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,9938,9165,8059,2572
189,31581,1832,CHPP_LM3_RP8_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10303,9361,8222,2624
190,31582,1832,CHPP_LM3_RP9_1,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10139,9202,8059,2535
191,31583,1832,CHPP_LM3_RP9_2,574,MHCC97,hepatocellular carcinoma,/,liver,HCCLM3,,PXD000529,10158,9194,8013,2531
192,31056,1816,QEXI09098,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,91566,21121,7410,1324
193,31057,1816,QEXI09100,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,97462,23693,8563,1366
194,31058,1816,QEXI09102,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,99148,24500,8729,1411
195,31059,1816,QEXI09104,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,98249,23905,8490,1425
196,31060,1816,QEXI09106,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,96849,23305,8187,1424
197,31061,1816,QEXI09108,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,97849,23968,8595,1456
198,31062,1816,QEXI09110,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,97127,23187,8223,1391
199,31063,1816,QEXI09112,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,98873,24161,8673,1423
200,31064,1816,QEXI09114,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,93475,21544,7629,1315
201,31065,1816,QEXI09116,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,96255,22971,8044,1383
202,31066,1816,QEXI09118,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,95029,21604,7556,1415
203,31067,1816,QEXI09120,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,98453,24351,8748,1487
204,31068,1816,QEXI09122,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,96645,22809,8164,1414
205,31069,1816,QEXI09124,547,Jurkat,T-cell leukemia,/,blood,/,,PXD004280,90822,20214,7278,1402
