PXD,RAW,Useable,cell_line,disease,file_path,pool_id,sub_cell,tissue_type,treatment,all_PSM,sign_PSM,peptides,proteins
PXD018450,06_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/06_1.mgf.gzip/06_1.mgf.gzip.ionbot.csv,1,/,liver,/,24267,3246,1048,130
PXD018450,06_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/06_2.mgf.gzip/06_2.mgf.gzip.ionbot.csv,2,/,liver,/,24578,3317,1045,141
PXD018450,07_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/07_1.mgf.gzip/07_1.mgf.gzip.ionbot.csv,1,/,liver,/,12029,1722,814,83
PXD018450,07_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/07_2.mgf.gzip/07_2.mgf.gzip.ionbot.csv,2,/,liver,/,11235,1623,770,79
PXD018450,08_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/08_1.mgf.gzip/08_1.mgf.gzip.ionbot.csv,1,/,liver,/,34744,4470,2109,185
PXD018450,08_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/08_2.mgf.gzip/08_2.mgf.gzip.ionbot.csv,2,/,liver,/,39409,5189,2397,217
PXD018450,09_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/09_1.mgf.gzip/09_1.mgf.gzip.ionbot.csv,1,/,liver,/,53296,7033,2307,195
PXD018450,09_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/09_2.mgf.gzip/09_2.mgf.gzip.ionbot.csv,2,/,liver,/,54111,7254,2375,200
PXD018450,10_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/10_1.mgf.gzip/10_1.mgf.gzip.ionbot.csv,1,/,liver,/,52632,6820,2465,137
PXD018450,10_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/10_2.mgf.gzip/10_2.mgf.gzip.ionbot.csv,2,/,liver,/,52734,7003,2537,133
PXD018450,11_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/11_1.mgf.gzip/11_1.mgf.gzip.ionbot.csv,1,/,liver,/,82296,10835,3009,249
PXD018450,11_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/11_2.mgf.gzip/11_2.mgf.gzip.ionbot.csv,2,/,liver,/,84468,11162,3072,261
PXD018450,12_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/12_1.mgf.gzip/12_1.mgf.gzip.ionbot.csv,1,/,liver,/,108944,15077,3156,298
PXD018450,12_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/12_2.mgf.gzip/12_2.mgf.gzip.ionbot.csv,2,/,liver,/,109469,15038,3038,300
PXD018450,13_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/13_1.mgf.gzip/13_1.mgf.gzip.ionbot.csv,1,/,liver,/,96187,12995,3676,318
PXD018450,13_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/13_2.mgf.gzip/13_2.mgf.gzip.ionbot.csv,2,/,liver,/,96942,13024,3739,300
PXD018450,14_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/14_1.mgf.gzip/14_1.mgf.gzip.ionbot.csv,1,/,liver,/,88733,11901,3588,305
PXD018450,14_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/14_2.mgf.gzip/14_2.mgf.gzip.ionbot.csv,2,/,liver,/,89090,11921,3571,277
PXD018450,15_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/15_1.mgf.gzip/15_1.mgf.gzip.ionbot.csv,1,/,liver,/,96163,13083,3998,264
PXD018450,15_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/15_2.mgf.gzip/15_2.mgf.gzip.ionbot.csv,2,/,liver,/,97311,13092,4029,272
PXD018450,16_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/16_1.mgf.gzip/16_1.mgf.gzip.ionbot.csv,1,/,liver,/,73036,9763,3989,237
PXD018450,16_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/16_2.mgf.gzip/16_2.mgf.gzip.ionbot.csv,2,/,liver,/,70787,9529,3904,229
PXD018450,17_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/17_1.mgf.gzip/17_1.mgf.gzip.ionbot.csv,1,/,liver,/,89067,11997,3576,280
PXD018450,17_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/17_2.mgf.gzip/17_2.mgf.gzip.ionbot.csv,2,/,liver,/,89618,12217,3587,299
PXD018450,18_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/18_1.mgf.gzip/18_1.mgf.gzip.ionbot.csv,1,/,liver,/,35284,4794,1524,157
PXD018450,18_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/18_2.mgf.gzip/18_2.mgf.gzip.ionbot.csv,2,/,liver,/,34648,4614,1457,142
PXD018450,19_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/19_1.mgf.gzip/19_1.mgf.gzip.ionbot.csv,1,/,liver,/,89052,12664,3218,255
PXD018450,19_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/19_2.mgf.gzip/19_2.mgf.gzip.ionbot.csv,2,/,liver,/,95071,13485,3325,260
PXD018450,20_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/20_1.mgf.gzip/20_1.mgf.gzip.ionbot.csv,1,/,liver,/,113417,16117,3134,295
PXD018450,20_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/20_2.mgf.gzip/20_2.mgf.gzip.ionbot.csv,2,/,liver,/,115780,16506,3182,299
PXD018450,21_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/21_1.mgf.gzip/21_1.mgf.gzip.ionbot.csv,1,/,liver,/,118358,16918,4123,331
PXD018450,21_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/21_2.mgf.gzip/21_2.mgf.gzip.ionbot.csv,2,/,liver,/,119138,17129,4195,325
PXD018450,22_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/22_1.mgf.gzip/22_1.mgf.gzip.ionbot.csv,1,/,liver,/,106110,14827,4653,371
PXD018450,22_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/22_2.mgf.gzip/22_2.mgf.gzip.ionbot.csv,2,/,liver,/,110823,15218,4785,381
PXD018450,23_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/23_1.mgf.gzip/23_1.mgf.gzip.ionbot.csv,1,/,liver,/,54616,7432,2951,235
PXD018450,23_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/23_2.mgf.gzip/23_2.mgf.gzip.ionbot.csv,2,/,liver,/,51363,7148,2831,251
PXD018450,24_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/24_1.mgf.gzip/24_1.mgf.gzip.ionbot.csv,1,/,liver,/,73923,9995,3851,313
PXD018450,24_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/24_2.mgf.gzip/24_2.mgf.gzip.ionbot.csv,2,/,liver,/,78497,10462,4031,327
PXD018450,25_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/25_1.mgf.gzip/25_1.mgf.gzip.ionbot.csv,1,/,liver,/,61748,7732,2876,289
PXD018450,25_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/25_2.mgf.gzip/25_2.mgf.gzip.ionbot.csv,2,/,liver,/,61114,7868,2889,266
PXD018450,26_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/26_1.mgf.gzip/26_1.mgf.gzip.ionbot.csv,1,/,liver,/,63130,7782,2929,225
PXD018450,26_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/26_2.mgf.gzip/26_2.mgf.gzip.ionbot.csv,2,/,liver,/,63531,7761,3006,228
PXD018450,27_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/27_1.mgf.gzip/27_1.mgf.gzip.ionbot.csv,1,/,liver,/,78332,10133,3520,283
PXD018450,27_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/27_2.mgf.gzip/27_2.mgf.gzip.ionbot.csv,2,/,liver,/,82364,10394,3550,285
PXD018450,28_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/28_1.mgf.gzip/28_1.mgf.gzip.ionbot.csv,1,/,liver,/,99099,13183,5126,309
PXD018450,28_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/28_2.mgf.gzip/28_2.mgf.gzip.ionbot.csv,1,/,liver,/,99706,13401,5275,338
PXD018450,29_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/29_1.mgf.gzip/29_1.mgf.gzip.ionbot.csv,2,/,liver,/,96336,12826,4558,330
PXD018450,29_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/29_2.mgf.gzip/29_2.mgf.gzip.ionbot.csv,1,/,liver,/,95805,12894,4534,305
PXD018450,30_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/30_1.mgf.gzip/30_1.mgf.gzip.ionbot.csv,2,/,liver,/,91781,11866,4276,303
PXD018450,30_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/30_2.mgf.gzip/30_2.mgf.gzip.ionbot.csv,1,/,liver,/,89282,11964,4294,295
PXD018450,31_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/31_1.mgf.gzip/31_1.mgf.gzip.ionbot.csv,2,/,liver,/,80842,10384,4549,321
PXD018450,31_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/31_2.mgf.gzip/31_2.mgf.gzip.ionbot.csv,1,/,liver,/,81854,10521,4551,329
PXD018450,32_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/32_1.mgf.gzip/32_1.mgf.gzip.ionbot.csv,2,/,liver,/,86488,11081,4688,305
PXD018450,32_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/32_2.mgf.gzip/32_2.mgf.gzip.ionbot.csv,1,/,liver,/,86067,11010,4693,283
PXD018450,33_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/33_1.mgf.gzip/33_1.mgf.gzip.ionbot.csv,2,/,liver,/,74941,9442,3611,292
PXD018450,33_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/33_2.mgf.gzip/33_2.mgf.gzip.ionbot.csv,1,/,liver,/,72242,9235,3485,275
PXD018450,34_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/34_1.mgf.gzip/34_1.mgf.gzip.ionbot.csv,2,/,liver,/,31818,3759,1936,81
PXD018450,34_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/34_2.mgf.gzip/34_2.mgf.gzip.ionbot.csv,1,/,liver,/,31118,3619,1874,75
PXD018450,35_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/35_1.mgf.gzip/35_1.mgf.gzip.ionbot.csv,2,/,liver,/,80659,10372,3466,199
PXD018450,35_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/35_2.mgf.gzip/35_2.mgf.gzip.ionbot.csv,1,/,liver,/,81418,10498,3469,221
PXD018450,36_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/36_1.mgf.gzip/36_1.mgf.gzip.ionbot.csv,2,/,liver,/,44872,4974,1929,145
PXD018450,36_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/36_2.mgf.gzip/36_2.mgf.gzip.ionbot.csv,1,/,liver,/,46114,5031,1912,138
PXD018450,37_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/37_1.mgf.gzip/37_1.mgf.gzip.ionbot.csv,2,/,liver,/,96724,12916,4932,308
PXD018450,37_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/37_2.mgf.gzip/37_2.mgf.gzip.ionbot.csv,1,/,liver,/,96194,13019,4977,297
PXD018450,38_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/38_1.mgf.gzip/38_1.mgf.gzip.ionbot.csv,1,/,liver,/,93182,12945,5169,319
PXD018450,38_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/38_2.mgf.gzip/38_2.mgf.gzip.ionbot.csv,2,/,liver,/,92953,12820,5118,323
PXD018450,39_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/39_1.mgf.gzip/39_1.mgf.gzip.ionbot.csv,1,/,liver,/,90949,12274,4355,338
PXD018450,39_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/39_2.mgf.gzip/39_2.mgf.gzip.ionbot.csv,2,/,liver,/,92080,12386,4316,338
PXD018450,40_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/40_1.mgf.gzip/40_1.mgf.gzip.ionbot.csv,1,/,liver,/,93636,13046,6180,324
PXD018450,40_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/40_2.mgf.gzip/40_2.mgf.gzip.ionbot.csv,2,/,liver,/,95414,13379,6341,328
PXD018450,41_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/41_1.mgf.gzip/41_1.mgf.gzip.ionbot.csv,1,/,liver,/,91587,12233,4401,322
PXD018450,41_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/41_2.mgf.gzip/41_2.mgf.gzip.ionbot.csv,2,/,liver,/,88514,12064,4392,318
PXD018450,42_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/42_1.mgf.gzip/42_1.mgf.gzip.ionbot.csv,1,/,liver,/,46589,5853,2588,153
PXD018450,42_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/42_2.mgf.gzip/42_2.mgf.gzip.ionbot.csv,2,/,liver,/,47016,5910,2654,130
PXD018450,43_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/43_1.mgf.gzip/43_1.mgf.gzip.ionbot.csv,1,/,liver,/,79616,10688,3510,225
PXD018450,43_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/43_2.mgf.gzip/43_2.mgf.gzip.ionbot.csv,2,/,liver,/,79501,10491,3419,198
PXD018450,44_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/44_1.mgf.gzip/44_1.mgf.gzip.ionbot.csv,1,/,liver,/,102592,14160,5694,213
PXD018450,44_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/44_2.mgf.gzip/44_2.mgf.gzip.ionbot.csv,2,/,liver,/,102275,14320,5698,216
PXD018450,45_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/45_1.mgf.gzip/45_1.mgf.gzip.ionbot.csv,1,/,liver,/,104472,15019,4728,275
PXD018450,45_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/45_2.mgf.gzip/45_2.mgf.gzip.ionbot.csv,2,/,liver,/,104151,14980,4742,278
PXD018450,46_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/46_1.mgf.gzip/46_1.mgf.gzip.ionbot.csv,1,/,liver,/,104190,14553,4567,304
PXD018450,46_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/46_2.mgf.gzip/46_2.mgf.gzip.ionbot.csv,2,/,liver,/,105883,14741,4637,315
PXD018450,47_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/47_1.mgf.gzip/47_1.mgf.gzip.ionbot.csv,1,/,liver,/,91352,12592,3305,304
PXD018450,47_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/47_2.mgf.gzip/47_2.mgf.gzip.ionbot.csv,1,/,liver,/,91116,12463,3316,303
PXD018450,48_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/48_1.mgf.gzip/48_1.mgf.gzip.ionbot.csv,2,/,liver,/,101411,14062,4996,317
PXD018450,48_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/48_2.mgf.gzip/48_2.mgf.gzip.ionbot.csv,1,/,liver,/,101671,14183,4994,317
PXD018450,49_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/49_1.mgf.gzip/49_1.mgf.gzip.ionbot.csv,2,/,liver,/,81427,11285,3495,266
PXD018450,49_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/49_2.mgf.gzip/49_2.mgf.gzip.ionbot.csv,1,/,liver,/,79794,11111,3451,265
PXD018450,50_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/50_1.mgf.gzip/50_1.mgf.gzip.ionbot.csv,2,/,liver,/,38684,5321,2067,101
PXD018450,50_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/50_2.mgf.gzip/50_2.mgf.gzip.ionbot.csv,1,/,liver,/,39946,5202,2036,91
PXD018450,51_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/51_1.mgf.gzip/51_1.mgf.gzip.ionbot.csv,2,/,liver,/,56495,7427,2694,133
PXD018450,51_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/51_2.mgf.gzip/51_2.mgf.gzip.ionbot.csv,1,/,liver,/,57557,7500,2666,135
PXD018450,52_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/52_1.mgf.gzip/52_1.mgf.gzip.ionbot.csv,2,/,liver,/,73191,10068,3219,165
PXD018450,52_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/52_2.mgf.gzip/52_2.mgf.gzip.ionbot.csv,1,/,liver,/,72683,10092,3220,177
PXD018450,53_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/53_1.mgf.gzip/53_1.mgf.gzip.ionbot.csv,2,/,liver,/,76649,10915,3843,165
PXD018450,53_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/53_2.mgf.gzip/53_2.mgf.gzip.ionbot.csv,1,/,liver,/,75898,10867,3776,151
PXD018450,54_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/54_1.mgf.gzip/54_1.mgf.gzip.ionbot.csv,2,/,liver,/,95108,13889,2859,215
PXD018450,54_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/54_2.mgf.gzip/54_2.mgf.gzip.ionbot.csv,1,/,liver,/,96591,13859,2864,212
PXD018450,55_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/55_1.mgf.gzip/55_1.mgf.gzip.ionbot.csv,2,/,liver,/,87529,12568,3806,220
PXD018450,55_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/55_2.mgf.gzip/55_2.mgf.gzip.ionbot.csv,1,/,liver,/,86046,12407,3762,210
