,PXD,RAW,Useable,cell_line,disease,file_path,pool_id,sub_cell,tissue_type,treatment,parser_fails
36,PXD018450,19_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/19_1.mgf.gzip/19_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
37,PXD018450,19_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/19_2.mgf.gzip/19_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
38,PXD018450,20_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/20_1.mgf.gzip/20_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
39,PXD018450,20_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/20_2.mgf.gzip/20_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
40,PXD018450,21_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/21_1.mgf.gzip/21_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
41,PXD018450,21_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/21_2.mgf.gzip/21_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
42,PXD018450,22_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/22_1.mgf.gzip/22_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
43,PXD018450,22_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/22_2.mgf.gzip/22_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
44,PXD018450,23_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/23_1.mgf.gzip/23_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
45,PXD018450,23_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/23_2.mgf.gzip/23_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
46,PXD018450,24_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/24_1.mgf.gzip/24_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
47,PXD018450,24_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/24_2.mgf.gzip/24_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
48,PXD018450,25_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/25_1.mgf.gzip/25_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
49,PXD018450,25_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/25_2.mgf.gzip/25_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
50,PXD018450,26_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/26_1.mgf.gzip/26_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
51,PXD018450,26_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/26_2.mgf.gzip/26_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
52,PXD018450,27_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/27_1.mgf.gzip/27_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
53,PXD018450,27_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/27_2.mgf.gzip/27_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
54,PXD018450,28_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/28_1.mgf.gzip/28_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
55,PXD018450,28_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/28_2.mgf.gzip/28_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
56,PXD018450,29_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/29_1.mgf.gzip/29_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
57,PXD018450,29_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/29_2.mgf.gzip/29_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
58,PXD018450,30_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/30_1.mgf.gzip/30_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
59,PXD018450,30_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/30_2.mgf.gzip/30_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
60,PXD018450,31_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/31_1.mgf.gzip/31_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
61,PXD018450,31_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/31_2.mgf.gzip/31_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
62,PXD018450,32_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/32_1.mgf.gzip/32_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
63,PXD018450,32_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/32_2.mgf.gzip/32_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
64,PXD018450,33_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/33_1.mgf.gzip/33_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
65,PXD018450,33_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/33_2.mgf.gzip/33_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
66,PXD018450,34_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/34_1.mgf.gzip/34_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
67,PXD018450,34_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/34_2.mgf.gzip/34_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
68,PXD018450,35_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/35_1.mgf.gzip/35_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
69,PXD018450,35_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/35_2.mgf.gzip/35_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
70,PXD018450,36_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/36_1.mgf.gzip/36_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
71,PXD018450,36_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/36_2.mgf.gzip/36_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
72,PXD018450,37_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/37_1.mgf.gzip/37_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
73,PXD018450,37_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/37_2.mgf.gzip/37_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
74,PXD018450,38_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/38_1.mgf.gzip/38_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
75,PXD018450,38_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/38_2.mgf.gzip/38_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
76,PXD018450,39_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/39_1.mgf.gzip/39_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
77,PXD018450,39_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/39_2.mgf.gzip/39_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
78,PXD018450,40_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/40_1.mgf.gzip/40_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
79,PXD018450,40_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/40_2.mgf.gzip/40_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
80,PXD018450,41_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/41_1.mgf.gzip/41_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
81,PXD018450,41_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/41_2.mgf.gzip/41_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
82,PXD018450,42_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/42_1.mgf.gzip/42_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
83,PXD018450,42_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/42_2.mgf.gzip/42_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
84,PXD018450,43_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/43_1.mgf.gzip/43_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
85,PXD018450,43_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/43_2.mgf.gzip/43_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
86,PXD018450,44_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/44_1.mgf.gzip/44_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
87,PXD018450,44_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/44_2.mgf.gzip/44_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
88,PXD018450,45_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/45_1.mgf.gzip/45_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
89,PXD018450,45_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/45_2.mgf.gzip/45_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
90,PXD018450,46_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/46_1.mgf.gzip/46_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
91,PXD018450,46_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/46_2.mgf.gzip/46_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
92,PXD018450,47_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/47_1.mgf.gzip/47_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
93,PXD018450,47_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/47_2.mgf.gzip/47_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
94,PXD018450,48_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/48_1.mgf.gzip/48_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
95,PXD018450,48_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/48_2.mgf.gzip/48_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
96,PXD018450,49_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/49_1.mgf.gzip/49_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
97,PXD018450,49_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/49_2.mgf.gzip/49_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
98,PXD018450,50_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/50_1.mgf.gzip/50_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
99,PXD018450,50_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/50_2.mgf.gzip/50_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
100,PXD018450,51_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/51_1.mgf.gzip/51_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
101,PXD018450,51_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/51_2.mgf.gzip/51_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
102,PXD018450,52_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/52_1.mgf.gzip/52_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
103,PXD018450,52_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/52_2.mgf.gzip/52_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
104,PXD018450,53_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/53_1.mgf.gzip/53_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
105,PXD018450,53_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/53_2.mgf.gzip/53_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
106,PXD018450,54_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/54_1.mgf.gzip/54_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
107,PXD018450,54_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/54_2.mgf.gzip/54_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
108,PXD018450,55_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/55_1.mgf.gzip/55_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
109,PXD018450,55_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/55_2.mgf.gzip/55_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
110,PXD018450,56_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/56_1.mgf.gzip/56_1.mgf.gzip.ionbot.csv,2,/,liver,/,no
111,PXD018450,56_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/56_2.mgf.gzip/56_2.mgf.gzip.ionbot.csv,1,/,liver,/,no
112,PXD018450,57_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/57_1.mgf.gzip/57_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
113,PXD018450,57_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/57_2.mgf.gzip/57_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
114,PXD018450,58_1,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/58_1.mgf.gzip/58_1.mgf.gzip.ionbot.csv,1,/,liver,/,no
115,PXD018450,58_2,yes,HepG2,hepatoblastoma,/home/compomics/mounts/conode55/pride/PRIDE_DATA/PXD018450/IONBOT_v0.7.0/58_2.mgf.gzip/58_2.mgf.gzip.ionbot.csv,2,/,liver,/,no
