,PXD,RAW,Useable,cell_line,disease,tissue_type,treatment,sub_cell,pool_id,file_path,ionbot_version
23,PXD000533,3B20-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B20-2.mgf.gzip/3B20-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
24,PXD000533,3B2-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B2-1.mgf.gzip/3B2-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
25,PXD000533,3B21-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B21-1.mgf.gzip/3B21-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
26,PXD000533,3B21-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B21-2.mgf.gzip/3B21-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
27,PXD000533,3B2-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B2-2.mgf.gzip/3B2-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
28,PXD000533,3B22-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B22-1.mgf.gzip/3B22-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
29,PXD000533,3B22-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B22-2.mgf.gzip/3B22-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
30,PXD000533,3B23-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B23-1.mgf.gzip/3B23-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
31,PXD000533,3B23-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B23-2.mgf.gzip/3B23-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
32,PXD000533,3B24-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B24-1.mgf.gzip/3B24-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
33,PXD000533,3B24-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B24-2.mgf.gzip/3B24-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
34,PXD000533,3B3-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B3-1.mgf.gzip/3B3-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
35,PXD000533,3B3-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B3-2.mgf.gzip/3B3-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
36,PXD000533,3B4-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B4-1.mgf.gzip/3B4-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
37,PXD000533,3B4-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B4-2.mgf.gzip/3B4-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
38,PXD000533,3B5-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B5-1.mgf.gzip/3B5-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
39,PXD000533,3B5-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B5-2.mgf.gzip/3B5-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
40,PXD000533,3B6-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B6-1.mgf.gzip/3B6-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
41,PXD000533,3B6-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B6-2.mgf.gzip/3B6-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
42,PXD000533,3B7-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B7-1.mgf.gzip/3B7-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
43,PXD000533,3B7-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B7-2.mgf.gzip/3B7-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
44,PXD000533,3B8-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B8-1.mgf.gzip/3B8-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
45,PXD000533,3B8-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B8-2.mgf.gzip/3B8-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
46,PXD000533,3B9-1,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B9-1.mgf.gzip/3B9-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
47,PXD000533,3B9-2,yes,Hep3B,hepatocellular carcinoma,liver,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/3B9-2.mgf.gzip/3B9-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
48,PXD000533,H10-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H10-1.mgf.gzip/H10-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
49,PXD000533,H10-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H10-2.mgf.gzip/H10-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
50,PXD000533,H1-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H1-1.mgf.gzip/H1-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
51,PXD000533,H11-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H11-1.mgf.gzip/H11-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
52,PXD000533,H11-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H11-2.mgf.gzip/H11-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
53,PXD000533,H1-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H1-2.mgf.gzip/H1-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
54,PXD000533,H12-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H12-1.mgf.gzip/H12-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
55,PXD000533,H12-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H12-2.mgf.gzip/H12-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
56,PXD000533,H13-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H13-1.mgf.gzip/H13-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
57,PXD000533,H13-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H13-2.mgf.gzip/H13-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
58,PXD000533,H14-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H14-1.mgf.gzip/H14-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
59,PXD000533,H14-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H14-2.mgf.gzip/H14-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
60,PXD000533,H15-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H15-1.mgf.gzip/H15-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
61,PXD000533,H15-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H15-2.mgf.gzip/H15-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
62,PXD000533,H16-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H16-1.mgf.gzip/H16-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
63,PXD000533,H16-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H16-2.mgf.gzip/H16-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
64,PXD000533,H17-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H17-1.mgf.gzip/H17-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
65,PXD000533,H17-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H17-2.mgf.gzip/H17-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
66,PXD000533,H18-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H18-1.mgf.gzip/H18-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
67,PXD000533,H18-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H18-2.mgf.gzip/H18-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
68,PXD000533,H19-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H19-1.mgf.gzip/H19-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
69,PXD000533,H19-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H19-2.mgf.gzip/H19-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
70,PXD000533,H20-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H20-1.mgf.gzip/H20-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
71,PXD000533,H20-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H20-2.mgf.gzip/H20-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
72,PXD000533,H2-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H2-1.mgf.gzip/H2-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
73,PXD000533,H21-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H21-1.mgf.gzip/H21-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
74,PXD000533,H21-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H21-2.mgf.gzip/H21-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
75,PXD000533,H2-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H2-2.mgf.gzip/H2-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
76,PXD000533,H22-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H22-1.mgf.gzip/H22-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
77,PXD000533,H22-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H22-2.mgf.gzip/H22-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
78,PXD000533,H23-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H23-1.mgf.gzip/H23-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
79,PXD000533,H23-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H23-2.mgf.gzip/H23-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
80,PXD000533,H24-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H24-1.mgf.gzip/H24-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
81,PXD000533,H24-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H24-2.mgf.gzip/H24-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
82,PXD000533,H3-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H3-1.mgf.gzip/H3-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
83,PXD000533,H3-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H3-2.mgf.gzip/H3-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
84,PXD000533,H4-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H4-1.mgf.gzip/H4-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
85,PXD000533,H4-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H4-2.mgf.gzip/H4-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
86,PXD000533,H5-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H5-1.mgf.gzip/H5-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
87,PXD000533,H5-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H5-2.mgf.gzip/H5-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
88,PXD000533,H6-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H6-1.mgf.gzip/H6-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
89,PXD000533,H6-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H6-2.mgf.gzip/H6-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
90,PXD000533,H7-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H7-1.mgf.gzip/H7-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
91,PXD000533,H7-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H7-2.mgf.gzip/H7-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
92,PXD000533,H8-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H8-1.mgf.gzip/H8-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
93,PXD000533,H8-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H8-2.mgf.gzip/H8-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
94,PXD000533,H9-1,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H9-1.mgf.gzip/H9-1.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
95,PXD000533,H9-2,yes,MHCC97,hepatocellular carcinoma,liver,/,MHCC97H,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD000533/IONBOT_v0.8.0/H9-2.mgf.gzip/H9-2.mgf.gzip.ionbot.csv,IONBOT_v0.8.0
96,PXD004280,QEXI09098,yes,Jurkat,T-cell leukemia,blood,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD004280/IONBOT_v0.6.2/QEXI09098.mgf.ionbot.csv,IONBOT_v0.6.2
97,PXD004280,QEXI09100,yes,Jurkat,T-cell leukemia,blood,/,/,unk,/home/compomics/mounts/conode53/pride/PRIDE_DATA/PXD004280/IONBOT_v0.6.2/QEXI09100.mgf.ionbot.csv,IONBOT_v0.6.2
